codigo_cliente,ultima_compra_civil,dias_civis_sem_compra
CLI-00000113,2023-12-16,746
CLI-00000204,2023-12-16,746
CLI-00000989,2023-12-17,745
CLI-00001046,2023-12-18,744
CLI-00001178,2023-12-19,743
CLI-00000170,2023-12-20,742
CLI-00001821,2023-12-20,742
CLI-00000422,2023-12-21,741
CLI-00000659,2023-12-21,741
CLI-00001217,2023-12-22,740
CLI-00001630,2023-12-23,739
CLI-00000536,2023-12-25,737
CLI-00000971,2023-12-25,737
CLI-00000099,2023-12-26,736
CLI-00002090,2023-12-28,734
CLI-00000395,2024-01-01,730
CLI-00001390,2024-01-01,730
CLI-00000946,2024-01-02,729
CLI-00001741,2024-01-02,729
CLI-00000617,2024-01-03,728
CLI-00001136,2024-01-03,728
CLI-00001283,2024-01-03,728
CLI-00001691,2024-01-03,728
CLI-00000519,2024-01-04,727
CLI-00001281,2024-01-04,727
CLI-00000878,2024-01-05,726
CLI-00000958,2024-01-05,726
CLI-00000511,2024-01-06,725
CLI-00000962,2024-01-06,725
CLI-00001081,2024-01-06,725
CLI-00001525,2024-01-06,725
CLI-00003153,2024-01-06,725
CLI-00000223,2024-01-08,723
CLI-00000787,2024-01-08,723
CLI-00001229,2024-01-08,723
CLI-00000486,2024-01-09,722
CLI-00000585,2024-01-10,721
CLI-00000710,2024-01-10,721
CLI-00000772,2024-01-10,721
CLI-00001787,2024-01-11,720
CLI-00001793,2024-01-11,720
CLI-00000505,2024-01-12,719
CLI-00001050,2024-01-12,719
CLI-00001097,2024-01-12,719
CLI-00000401,2024-01-13,718
CLI-00000627,2024-01-13,718
CLI-00000839,2024-01-13,718
CLI-00000036,2024-01-15,716
CLI-00001539,2024-01-16,715
CLI-00001728,2024-01-16,715
CLI-00003525,2024-01-17,714
CLI-00001421,2024-01-18,713
CLI-00001640,2024-01-18,713
CLI-00002489,2024-01-18,713
CLI-00000250,2024-01-19,712
CLI-00000678,2024-01-19,712
CLI-00000819,2024-01-19,712
CLI-00000826,2024-01-19,712
CLI-00000187,2024-01-20,711
CLI-00000353,2024-01-20,711
CLI-00001124,2024-01-22,709
CLI-00000021,2024-01-23,708
CLI-00000912,2024-01-24,707
CLI-00000226,2024-01-25,706
CLI-00000800,2024-01-25,706
CLI-00001114,2024-01-25,706
CLI-00000153,2024-01-26,705
CLI-00000221,2024-01-26,705
CLI-00001459,2024-01-26,705
CLI-00000231,2024-01-28,703
CLI-00000108,2024-02-02,698
CLI-00000033,2024-02-03,697
CLI-00000261,2024-02-03,697
CLI-00000873,2024-02-04,696
CLI-00000094,2024-02-05,695
CLI-00000149,2024-02-05,695
CLI-00000591,2024-02-05,695
CLI-00000594,2024-02-05,695
CLI-00000181,2024-02-06,694
CLI-00000476,2024-02-06,694
CLI-00000709,2024-02-06,694
CLI-00001962,2024-02-06,694
CLI-00001705,2024-02-07,693
CLI-00000058,2024-02-08,692
CLI-00000378,2024-02-10,690
CLI-00000115,2024-02-11,689
CLI-00000152,2024-02-13,687
CLI-00001187,2024-02-13,687
CLI-00001484,2024-02-14,686
CLI-00000669,2024-02-15,685
CLI-00001132,2024-02-17,683
CLI-00001372,2024-02-18,682
CLI-00001378,2024-02-18,682
CLI-00001425,2024-02-18,682
CLI-00001805,2024-02-18,682
CLI-00002035,2024-02-18,682
CLI-00001105,2024-02-19,681
CLI-00001554,2024-02-19,681
CLI-00001802,2024-02-19,681
CLI-00001885,2024-02-19,681
CLI-00001002,2024-02-20,680
CLI-00000351,2024-02-21,679
CLI-00001194,2024-02-22,678
CLI-00001442,2024-02-22,678
CLI-00000248,2024-02-23,677
CLI-00001146,2024-02-24,676
CLI-00000217,2024-02-25,675
CLI-00000468,2024-02-25,675
CLI-00001092,2024-02-26,674
CLI-00001095,2024-02-26,674
CLI-00000008,2024-02-27,673
CLI-00000116,2024-02-28,672
CLI-00000666,2024-02-28,672
CLI-00002000,2024-02-28,672
CLI-00000911,2024-03-01,670
CLI-00000208,2024-03-03,668
CLI-00000661,2024-03-03,668
CLI-00000961,2024-03-03,668
CLI-00001176,2024-03-03,668
CLI-00000132,2024-03-04,667
CLI-00001843,2024-03-04,667
CLI-00000306,2024-03-05,666
CLI-00002093,2024-03-06,665
CLI-00001143,2024-03-11,660
CLI-00000470,2024-03-12,659
CLI-00000748,2024-03-12,659
CLI-00001016,2024-03-12,659
CLI-00000742,2024-03-13,658
CLI-00002077,2024-03-13,658
CLI-00000668,2024-03-15,656
CLI-00000976,2024-03-15,656
CLI-00001337,2024-03-15,656
CLI-00000202,2024-03-16,655
CLI-00000292,2024-03-17,654
CLI-00000432,2024-03-17,654
CLI-00001629,2024-03-17,654
CLI-00001797,2024-03-17,654
CLI-00002002,2024-03-17,654
CLI-00000387,2024-03-19,652
CLI-00000816,2024-03-21,650
CLI-00001583,2024-03-21,650
CLI-00000932,2024-03-23,648
CLI-00001289,2024-03-23,648
CLI-00000662,2024-03-24,647
CLI-00000399,2024-03-25,646
CLI-00000953,2024-03-25,646
CLI-00001736,2024-03-25,646
CLI-00000477,2024-03-26,645
CLI-00000973,2024-03-26,645
CLI-00000438,2024-03-27,644
CLI-00001287,2024-03-27,644
CLI-00000302,2024-03-28,643
CLI-00000587,2024-03-28,643
CLI-00001448,2024-03-28,643
CLI-00001457,2024-03-28,643
CLI-00000979,2024-04-02,638
CLI-00001166,2024-04-02,638
CLI-00001893,2024-04-02,638
CLI-00000882,2024-04-03,637
CLI-00001939,2024-04-03,637
CLI-00000825,2024-04-04,636
CLI-00001033,2024-04-04,636
CLI-00001480,2024-04-04,636
CLI-00001874,2024-04-04,636
CLI-00002092,2024-04-04,636
CLI-00000088,2024-04-05,635
CLI-00000260,2024-04-06,634
CLI-00000284,2024-04-06,634
CLI-00000950,2024-04-06,634
CLI-00002436,2024-04-06,634
CLI-00000338,2024-04-07,633
CLI-00000570,2024-04-07,633
CLI-00000598,2024-04-07,633
CLI-00000646,2024-04-07,633
CLI-00001389,2024-04-08,632
CLI-00000893,2024-04-09,631
CLI-00001912,2024-04-09,631
CLI-00002079,2024-04-09,631
CLI-00002490,2024-04-09,631
CLI-00000631,2024-04-10,630
CLI-00001724,2024-04-10,630
CLI-00000606,2024-04-11,629
CLI-00000193,2024-04-12,628
CLI-00001067,2024-04-12,628
CLI-00001288,2024-04-12,628
CLI-00002028,2024-04-12,628
CLI-00000653,2024-04-13,627
CLI-00002835,2024-04-13,627
CLI-00000269,2024-04-14,626
CLI-00000644,2024-04-14,626
CLI-00001096,2024-04-14,626
CLI-00001659,2024-04-15,625
CLI-00000359,2024-04-19,621
CLI-00002076,2024-04-20,620
CLI-00000554,2024-04-22,618
CLI-00000068,2024-04-24,616
CLI-00000664,2024-04-24,616
CLI-00000763,2024-04-24,616
CLI-00000092,2024-04-25,615
CLI-00000265,2024-04-25,615
CLI-00000895,2024-04-26,614
CLI-00000901,2024-04-27,613
CLI-00001191,2024-04-27,613
CLI-00000163,2024-04-28,612
CLI-00000059,2024-05-01,609
CLI-00001414,2024-05-01,609
CLI-00002040,2024-05-02,608
CLI-00001633,2024-05-03,607
CLI-00000462,2024-05-04,606
CLI-00003446,2024-05-05,605
CLI-00000118,2024-05-06,604
CLI-00000304,2024-05-06,604
CLI-00001286,2024-05-06,604
CLI-00000586,2024-05-07,603
CLI-00000841,2024-05-07,603
CLI-00001959,2024-05-07,603
CLI-00000639,2024-05-08,602
CLI-00000703,2024-05-09,601
CLI-00001500,2024-05-09,601
CLI-00002544,2024-05-09,601
CLI-00000623,2024-05-10,600
CLI-00000761,2024-05-10,600
CLI-00000696,2024-05-11,599
CLI-00000258,2024-05-12,598
CLI-00000448,2024-05-12,598
CLI-00001024,2024-05-12,598
CLI-00001977,2024-05-12,598
CLI-00001740,2024-05-13,597
CLI-00002151,2024-05-13,597
CLI-00000439,2024-05-14,596
CLI-00000625,2024-05-15,595
CLI-00000043,2024-05-17,593
CLI-00000287,2024-05-17,593
CLI-00000437,2024-05-17,593
CLI-00001075,2024-05-17,593
CLI-00001197,2024-05-17,593
CLI-00000144,2024-05-19,591
CLI-00000357,2024-05-19,591
CLI-00001054,2024-05-19,591
CLI-00000671,2024-05-20,590
CLI-00001950,2024-05-20,590
CLI-00000757,2024-05-21,589
CLI-00000848,2024-05-21,589
CLI-00001284,2024-05-21,589
CLI-00001382,2024-05-21,589
CLI-00000412,2024-05-22,588
CLI-00000496,2024-05-22,588
CLI-00001038,2024-05-23,587
CLI-00001902,2024-05-23,587
CLI-00000600,2024-05-24,586
CLI-00001632,2024-05-24,586
CLI-00000344,2024-05-25,585
CLI-00000749,2024-05-25,585
CLI-00000196,2024-05-26,584
CLI-00000803,2024-05-26,584
CLI-00001873,2024-06-02,577
CLI-00000243,2024-06-03,576
CLI-00001144,2024-06-04,575
CLI-00000275,2024-06-05,574
CLI-00001036,2024-06-05,574
CLI-00002330,2024-06-05,574
CLI-00000779,2024-06-06,573
CLI-00000274,2024-06-07,572
CLI-00000151,2024-06-08,571
CLI-00001806,2024-06-08,571
CLI-00002456,2024-06-08,571
CLI-00000007,2024-06-09,570
CLI-00000539,2024-06-09,570
CLI-00000630,2024-06-09,570
CLI-00000704,2024-06-09,570
CLI-00001294,2024-06-09,570
CLI-00001624,2024-06-09,570
CLI-00001130,2024-06-10,569
CLI-00001777,2024-06-10,569
CLI-00000781,2024-06-11,568
CLI-00000977,2024-06-12,567
CLI-00001041,2024-06-12,567
CLI-00001121,2024-06-12,567
CLI-00001507,2024-06-12,567
CLI-00000139,2024-06-13,566
CLI-00000317,2024-06-13,566
CLI-00000663,2024-06-13,566
CLI-00001211,2024-06-13,566
CLI-00001732,2024-06-13,566
CLI-00000532,2024-06-14,565
CLI-00001027,2024-06-14,565
CLI-00000031,2024-06-15,564
CLI-00000443,2024-06-15,564
CLI-00002086,2024-06-15,564
CLI-00000394,2024-06-16,563
CLI-00000850,2024-06-16,563
CLI-00000018,2024-06-17,562
CLI-00000694,2024-06-17,562
CLI-00001072,2024-06-17,562
CLI-00001184,2024-06-17,562
CLI-00001398,2024-06-18,561
CLI-00000142,2024-06-19,560
CLI-00000207,2024-06-19,560
CLI-00000956,2024-06-19,560
CLI-00000004,2024-06-20,559
CLI-00001012,2024-06-20,559
CLI-00001022,2024-06-20,559
CLI-00001040,2024-06-20,559
CLI-00002037,2024-06-20,559
CLI-00002043,2024-06-20,559
CLI-00000316,2024-06-21,558
CLI-00000732,2024-06-21,558
CLI-00001175,2024-06-21,558
CLI-00001182,2024-06-22,557
CLI-00002491,2024-06-22,557
CLI-00000024,2024-06-23,556
CLI-00001282,2024-06-23,556
CLI-00001682,2024-06-23,556
CLI-00000386,2024-06-24,555
CLI-00001333,2024-06-26,553
CLI-00002008,2024-06-26,553
CLI-00001865,2024-06-27,552
CLI-00002160,2024-06-27,552
CLI-00001128,2024-06-28,551
CLI-00000383,2024-07-01,548
CLI-00000500,2024-07-01,548
CLI-00002046,2024-07-01,548
CLI-00003448,2024-07-01,548
CLI-00003473,2024-07-01,548
CLI-00000245,2024-07-02,547
CLI-00000253,2024-07-02,547
CLI-00002081,2024-07-02,547
CLI-00000753,2024-07-03,546
CLI-00001157,2024-07-03,546
CLI-00001331,2024-07-03,546
CLI-00001335,2024-07-03,546
CLI-00001565,2024-07-03,546
CLI-00000143,2024-07-04,545
CLI-00000296,2024-07-04,545
CLI-00002071,2024-07-04,545
CLI-00002580,2024-07-04,545
CLI-00000691,2024-07-05,544
CLI-00001076,2024-07-05,544
CLI-00001250,2024-07-05,544
CLI-00000319,2024-07-07,542
CLI-00000676,2024-07-07,542
CLI-00000686,2024-07-07,542
CLI-00001127,2024-07-07,542
CLI-00001829,2024-07-07,542
CLI-00002821,2024-07-07,542
CLI-00001529,2024-07-08,541
CLI-00001642,2024-07-08,541
CLI-00001215,2024-07-09,540
CLI-00001695,2024-07-09,540
CLI-00001068,2024-07-10,539
CLI-00002061,2024-07-10,539
CLI-00000999,2024-07-12,537
CLI-00001243,2024-07-12,537
CLI-00001789,2024-07-12,537
CLI-00002688,2024-07-12,537
CLI-00000481,2024-07-13,536
CLI-00000927,2024-07-13,536
CLI-00000341,2024-07-14,535
CLI-00000430,2024-07-14,535
CLI-00000347,2024-07-15,534
CLI-00000413,2024-07-15,534
CLI-00000074,2024-07-16,533
CLI-00000082,2024-07-18,531
CLI-00000367,2024-07-18,531
CLI-00001300,2024-07-18,531
CLI-00001887,2024-07-18,531
CLI-00001559,2024-07-19,530
CLI-00001769,2024-07-19,530
CLI-00001790,2024-07-19,530
CLI-00002057,2024-07-19,530
CLI-00000129,2024-07-20,529
CLI-00000442,2024-07-20,529
CLI-00000832,2024-07-20,529
CLI-00001060,2024-07-20,529
CLI-00001164,2024-07-20,529
CLI-00001917,2024-07-20,529
CLI-00000003,2024-07-21,528
CLI-00001588,2024-07-21,528
CLI-00001643,2024-07-22,527
CLI-00000349,2024-07-23,526
CLI-00001304,2024-07-23,526
CLI-00001680,2024-07-23,526
CLI-00001876,2024-07-23,526
CLI-00000354,2024-07-25,524
CLI-00001342,2024-07-25,524
CLI-00001524,2024-07-25,524
CLI-00000822,2024-07-26,523
CLI-00000884,2024-07-26,523
CLI-00002094,2024-07-26,523
CLI-00000866,2024-07-27,522
CLI-00001927,2024-07-28,521
CLI-00000875,2024-08-01,517
CLI-00003082,2024-08-01,517
CLI-00000835,2024-08-02,516
CLI-00003567,2024-08-02,516
CLI-00000214,2024-08-03,515
CLI-00001752,2024-08-04,514
CLI-00003590,2024-08-04,514
CLI-00001213,2024-08-05,513
CLI-00002585,2024-08-05,513
CLI-00001122,2024-08-06,512
CLI-00000176,2024-08-07,511
CLI-00000811,2024-08-07,511
CLI-00000141,2024-08-08,510
CLI-00001616,2024-08-08,510
CLI-00000447,2024-08-09,509
CLI-00000775,2024-08-09,509
CLI-00000812,2024-08-09,509
CLI-00001426,2024-08-09,509
CLI-00002052,2024-08-10,508
CLI-00003182,2024-08-10,508
CLI-00000698,2024-08-11,507
CLI-00001098,2024-08-11,507
CLI-00002281,2024-08-11,507
CLI-00000487,2024-08-12,506
CLI-00001001,2024-08-12,506
CLI-00001627,2024-08-14,504
CLI-00002899,2024-08-14,504
CLI-00001945,2024-08-15,503
CLI-00003357,2024-08-15,503
CLI-00000735,2024-08-16,502
CLI-00003363,2024-08-16,502
CLI-00000125,2024-08-17,501
CLI-00000355,2024-08-18,500
CLI-00000379,2024-08-18,500
CLI-00000900,2024-08-18,500
CLI-00003314,2024-08-18,500
CLI-00001392,2024-08-19,499
CLI-00001951,2024-08-19,499
CLI-00000479,2024-08-20,498
CLI-00000006,2024-08-21,497
CLI-00000650,2024-08-21,497
CLI-00000680,2024-08-21,497
CLI-00000073,2024-08-22,496
CLI-00001172,2024-08-22,496
CLI-00001531,2024-08-22,496
CLI-00000328,2024-08-23,495
CLI-00000467,2024-08-24,494
CLI-00000705,2024-08-24,494
CLI-00001262,2024-08-24,494
CLI-00000801,2024-08-25,493
CLI-00002009,2024-08-27,491
CLI-00002366,2024-08-27,491
CLI-00001600,2024-08-28,490
CLI-00000283,2024-09-01,486
CLI-00000692,2024-09-01,486
CLI-00000922,2024-09-01,486
CLI-00000085,2024-09-02,485
CLI-00002346,2024-09-02,485
CLI-00003283,2024-09-02,485
CLI-00003359,2024-09-02,485
CLI-00000123,2024-09-03,484
CLI-00000322,2024-09-03,484
CLI-00001129,2024-09-03,484
CLI-00001761,2024-09-04,483
CLI-00001993,2024-09-05,482
CLI-00000361,2024-09-06,481
CLI-00000665,2024-09-06,481
CLI-00001270,2024-09-06,481
CLI-00001660,2024-09-06,481
CLI-00002829,2024-09-06,481
CLI-00000080,2024-09-07,480
CLI-00000380,2024-09-07,480
CLI-00000215,2024-09-08,479
CLI-00000562,2024-09-08,479
CLI-00001963,2024-09-08,479
CLI-00000175,2024-09-09,478
CLI-00000820,2024-09-09,478
CLI-00001626,2024-09-09,478
CLI-00000575,2024-09-10,477
CLI-00001059,2024-09-10,477
CLI-00001238,2024-09-10,477
CLI-00001721,2024-09-10,477
CLI-00002960,2024-09-10,477
CLI-00000017,2024-09-11,476
CLI-00000362,2024-09-11,476
CLI-00002726,2024-09-11,476
CLI-00000164,2024-09-12,475
CLI-00000425,2024-09-12,475
CLI-00001015,2024-09-12,475
CLI-00001400,2024-09-12,475
CLI-00000435,2024-09-13,474
CLI-00000440,2024-09-13,474
CLI-00000827,2024-09-13,474
CLI-00001572,2024-09-13,474
CLI-00001026,2024-09-14,473
CLI-00003253,2024-09-14,473
CLI-00000472,2024-09-16,471
CLI-00000765,2024-09-16,471
CLI-00001915,2024-09-16,471
CLI-00000013,2024-09-17,470
CLI-00000702,2024-09-17,470
CLI-00001048,2024-09-17,470
CLI-00001679,2024-09-17,470
CLI-00002703,2024-09-17,470
CLI-00001029,2024-09-18,469
CLI-00000658,2024-09-19,468
CLI-00001495,2024-09-19,468
CLI-00001596,2024-09-19,468
CLI-00000464,2024-09-20,467
CLI-00000929,2024-09-20,467
CLI-00000983,2024-09-20,467
CLI-00001117,2024-09-20,467
CLI-00002023,2024-09-20,467
CLI-00001910,2024-09-21,466
CLI-00000205,2024-09-22,465
CLI-00001006,2024-09-22,465
CLI-00002203,2024-09-22,465
CLI-00002267,2024-09-22,465
CLI-00000840,2024-09-23,464
CLI-00001592,2024-09-23,464
CLI-00000244,2024-09-24,463
CLI-00000921,2024-09-24,463
CLI-00001776,2024-09-24,463
CLI-00002367,2024-09-24,463
CLI-00000210,2024-09-25,462
CLI-00000513,2024-09-25,462
CLI-00002421,2024-09-25,462
CLI-00000030,2024-09-26,461
CLI-00000233,2024-09-26,461
CLI-00000014,2024-09-27,460
CLI-00000602,2024-09-27,460
CLI-00000640,2024-09-28,459
CLI-00001195,2024-09-28,459
CLI-00002813,2024-09-28,459
CLI-00001701,2024-10-01,456
CLI-00000131,2024-10-02,455
CLI-00000751,2024-10-02,455
CLI-00001472,2024-10-02,455
CLI-00003234,2024-10-02,455
CLI-00002064,2024-10-03,454
CLI-00003088,2024-10-03,454
CLI-00001292,2024-10-04,453
CLI-00001369,2024-10-04,453
CLI-00001750,2024-10-04,453
CLI-00000313,2024-10-05,452
CLI-00000114,2024-10-07,450
CLI-00000949,2024-10-07,450
CLI-00002828,2024-10-07,450
CLI-00000195,2024-10-08,449
CLI-00000321,2024-10-08,449
CLI-00000716,2024-10-08,449
CLI-00001241,2024-10-08,449
CLI-00001897,2024-10-08,449
CLI-00002097,2024-10-08,449
CLI-00001225,2024-10-09,448
CLI-00000212,2024-10-10,447
CLI-00000411,2024-10-10,447
CLI-00000011,2024-10-11,446
CLI-00000266,2024-10-11,446
