pedido_id,numero_pedido,data_pedido_civil
1421,PED-2023-001421,2023-02-04
219,PED-2023-000219,2023-02-05
583,PED-2023-000583,2023-02-05
947,PED-2023-000947,2023-02-05
1311,PED-2023-001311,2023-02-05
336,PED-2023-000336,2023-02-06
700,PED-2023-000700,2023-02-06
1064,PED-2023-001064,2023-02-06
89,PED-2023-000089,2023-02-07
453,PED-2023-000453,2023-02-07
817,PED-2023-000817,2023-02-07
1181,PED-2023-001181,2023-02-07
1408,PED-2023-001408,2023-02-07
206,PED-2023-000206,2023-02-08
570,PED-2023-000570,2023-02-08
934,PED-2023-000934,2023-02-08
1298,PED-2023-001298,2023-02-08
323,PED-2023-000323,2023-02-09
687,PED-2023-000687,2023-02-09
1051,PED-2023-001051,2023-02-09
76,PED-2023-000076,2023-02-10
440,PED-2023-000440,2023-02-10
804,PED-2023-000804,2023-02-10
1168,PED-2023-001168,2023-02-10
193,PED-2023-000193,2023-02-11
557,PED-2023-000557,2023-02-11
921,PED-2023-000921,2023-02-11
1285,PED-2023-001285,2023-02-11
310,PED-2023-000310,2023-02-12
674,PED-2023-000674,2023-02-12
1038,PED-2023-001038,2023-02-12
63,PED-2023-000063,2023-02-13
427,PED-2023-000427,2023-02-13
791,PED-2023-000791,2023-02-13
1155,PED-2023-001155,2023-02-13
180,PED-2023-000180,2023-02-14
544,PED-2023-000544,2023-02-14
908,PED-2023-000908,2023-02-14
1272,PED-2023-001272,2023-02-14
297,PED-2023-000297,2023-02-15
661,PED-2023-000661,2023-02-15
1025,PED-2023-001025,2023-02-15
1389,PED-2023-001389,2023-02-15
50,PED-2023-000050,2023-02-16
414,PED-2023-000414,2023-02-16
778,PED-2023-000778,2023-02-16
1142,PED-2023-001142,2023-02-16
167,PED-2023-000167,2023-02-17
531,PED-2023-000531,2023-02-17
895,PED-2023-000895,2023-02-17
1259,PED-2023-001259,2023-02-17
284,PED-2023-000284,2023-02-18
648,PED-2023-000648,2023-02-18
1012,PED-2023-001012,2023-02-18
1376,PED-2023-001376,2023-02-18
37,PED-2023-000037,2023-02-19
401,PED-2023-000401,2023-02-19
765,PED-2023-000765,2023-02-19
1129,PED-2023-001129,2023-02-19
154,PED-2023-000154,2023-02-20
518,PED-2023-000518,2023-02-20
882,PED-2023-000882,2023-02-20
1246,PED-2023-001246,2023-02-20
271,PED-2023-000271,2023-02-21
635,PED-2023-000635,2023-02-21
999,PED-2023-000999,2023-02-21
1363,PED-2023-001363,2023-02-21
24,PED-2023-000024,2023-02-22
388,PED-2023-000388,2023-02-22
752,PED-2023-000752,2023-02-22
1116,PED-2023-001116,2023-02-22
141,PED-2023-000141,2023-02-23
505,PED-2023-000505,2023-02-23
869,PED-2023-000869,2023-02-23
1233,PED-2023-001233,2023-02-23
258,PED-2023-000258,2023-02-24
622,PED-2023-000622,2023-02-24
986,PED-2023-000986,2023-02-24
1350,PED-2023-001350,2023-02-24
11,PED-2023-000011,2023-02-25
375,PED-2023-000375,2023-02-25
739,PED-2023-000739,2023-02-25
1103,PED-2023-001103,2023-02-25
128,PED-2023-000128,2023-02-26
492,PED-2023-000492,2023-02-26
856,PED-2023-000856,2023-02-26
1220,PED-2023-001220,2023-02-26
245,PED-2023-000245,2023-02-27
609,PED-2023-000609,2023-02-27
973,PED-2023-000973,2023-02-27
1337,PED-2023-001337,2023-02-27
362,PED-2023-000362,2023-02-28
726,PED-2023-000726,2023-02-28
1090,PED-2023-001090,2023-02-28
311,PED-2023-000311,2023-03-01
675,PED-2023-000675,2023-03-01
1039,PED-2023-001039,2023-03-01
64,PED-2023-000064,2023-03-02
428,PED-2023-000428,2023-03-02
792,PED-2023-000792,2023-03-02
1156,PED-2023-001156,2023-03-02
181,PED-2023-000181,2023-03-03
545,PED-2023-000545,2023-03-03
909,PED-2023-000909,2023-03-03
1273,PED-2023-001273,2023-03-03
298,PED-2023-000298,2023-03-04
662,PED-2023-000662,2023-03-04
1026,PED-2023-001026,2023-03-04
1390,PED-2023-001390,2023-03-04
51,PED-2023-000051,2023-03-05
415,PED-2023-000415,2023-03-05
779,PED-2023-000779,2023-03-05
1143,PED-2023-001143,2023-03-05
168,PED-2023-000168,2023-03-06
532,PED-2023-000532,2023-03-06
896,PED-2023-000896,2023-03-06
1260,PED-2023-001260,2023-03-06
285,PED-2023-000285,2023-03-07
649,PED-2023-000649,2023-03-07
1013,PED-2023-001013,2023-03-07
1377,PED-2023-001377,2023-03-07
38,PED-2023-000038,2023-03-08
402,PED-2023-000402,2023-03-08
766,PED-2023-000766,2023-03-08
1130,PED-2023-001130,2023-03-08
155,PED-2023-000155,2023-03-09
519,PED-2023-000519,2023-03-09
883,PED-2023-000883,2023-03-09
1247,PED-2023-001247,2023-03-09
272,PED-2023-000272,2023-03-10
636,PED-2023-000636,2023-03-10
1000,PED-2023-001000,2023-03-10
1364,PED-2023-001364,2023-03-10
25,PED-2023-000025,2023-03-11
389,PED-2023-000389,2023-03-11
753,PED-2023-000753,2023-03-11
1117,PED-2023-001117,2023-03-11
142,PED-2023-000142,2023-03-12
506,PED-2023-000506,2023-03-12
870,PED-2023-000870,2023-03-12
1234,PED-2023-001234,2023-03-12
259,PED-2023-000259,2023-03-13
623,PED-2023-000623,2023-03-13
987,PED-2023-000987,2023-03-13
1351,PED-2023-001351,2023-03-13
12,PED-2023-000012,2023-03-14
376,PED-2023-000376,2023-03-14
740,PED-2023-000740,2023-03-14
1104,PED-2023-001104,2023-03-14
129,PED-2023-000129,2023-03-15
493,PED-2023-000493,2023-03-15
857,PED-2023-000857,2023-03-15
1221,PED-2023-001221,2023-03-15
246,PED-2023-000246,2023-03-16
610,PED-2023-000610,2023-03-16
974,PED-2023-000974,2023-03-16
1338,PED-2023-001338,2023-03-16
363,PED-2023-000363,2023-03-17
727,PED-2023-000727,2023-03-17
1091,PED-2023-001091,2023-03-17
116,PED-2023-000116,2023-03-18
480,PED-2023-000480,2023-03-18
844,PED-2023-000844,2023-03-18
1208,PED-2023-001208,2023-03-18
1435,PED-2023-001435,2023-03-18
233,PED-2023-000233,2023-03-19
597,PED-2023-000597,2023-03-19
961,PED-2023-000961,2023-03-19
1325,PED-2023-001325,2023-03-19
350,PED-2023-000350,2023-03-20
714,PED-2023-000714,2023-03-20
1078,PED-2023-001078,2023-03-20
103,PED-2023-000103,2023-03-21
467,PED-2023-000467,2023-03-21
831,PED-2023-000831,2023-03-21
1195,PED-2023-001195,2023-03-21
1422,PED-2023-001422,2023-03-21
220,PED-2023-000220,2023-03-22
584,PED-2023-000584,2023-03-22
948,PED-2023-000948,2023-03-22
1312,PED-2023-001312,2023-03-22
337,PED-2023-000337,2023-03-23
701,PED-2023-000701,2023-03-23
1065,PED-2023-001065,2023-03-23
90,PED-2023-000090,2023-03-24
454,PED-2023-000454,2023-03-24
818,PED-2023-000818,2023-03-24
1182,PED-2023-001182,2023-03-24
1409,PED-2023-001409,2023-03-24
207,PED-2023-000207,2023-03-25
571,PED-2023-000571,2023-03-25
935,PED-2023-000935,2023-03-25
1299,PED-2023-001299,2023-03-25
324,PED-2023-000324,2023-03-26
688,PED-2023-000688,2023-03-26
1052,PED-2023-001052,2023-03-26
77,PED-2023-000077,2023-03-27
441,PED-2023-000441,2023-03-27
805,PED-2023-000805,2023-03-27
1169,PED-2023-001169,2023-03-27
194,PED-2023-000194,2023-03-28
558,PED-2023-000558,2023-03-28
922,PED-2023-000922,2023-03-28
1286,PED-2023-001286,2023-03-28
143,PED-2023-000143,2023-04-01
507,PED-2023-000507,2023-04-01
871,PED-2023-000871,2023-04-01
1235,PED-2023-001235,2023-04-01
260,PED-2023-000260,2023-04-02
624,PED-2023-000624,2023-04-02
988,PED-2023-000988,2023-04-02
1352,PED-2023-001352,2023-04-02
13,PED-2023-000013,2023-04-03
377,PED-2023-000377,2023-04-03
741,PED-2023-000741,2023-04-03
1105,PED-2023-001105,2023-04-03
130,PED-2023-000130,2023-04-04
494,PED-2023-000494,2023-04-04
858,PED-2023-000858,2023-04-04
1222,PED-2023-001222,2023-04-04
247,PED-2023-000247,2023-04-05
611,PED-2023-000611,2023-04-05
975,PED-2023-000975,2023-04-05
1339,PED-2023-001339,2023-04-05
364,PED-2023-000364,2023-04-06
728,PED-2023-000728,2023-04-06
1092,PED-2023-001092,2023-04-06
117,PED-2023-000117,2023-04-07
481,PED-2023-000481,2023-04-07
845,PED-2023-000845,2023-04-07
1209,PED-2023-001209,2023-04-07
1436,PED-2023-001436,2023-04-07
234,PED-2023-000234,2023-04-08
598,PED-2023-000598,2023-04-08
962,PED-2023-000962,2023-04-08
1326,PED-2023-001326,2023-04-08
351,PED-2023-000351,2023-04-09
715,PED-2023-000715,2023-04-09
1079,PED-2023-001079,2023-04-09
104,PED-2023-000104,2023-04-10
468,PED-2023-000468,2023-04-10
832,PED-2023-000832,2023-04-10
1196,PED-2023-001196,2023-04-10
1423,PED-2023-001423,2023-04-10
221,PED-2023-000221,2023-04-11
585,PED-2023-000585,2023-04-11
949,PED-2023-000949,2023-04-11
1313,PED-2023-001313,2023-04-11
338,PED-2023-000338,2023-04-12
702,PED-2023-000702,2023-04-12
1066,PED-2023-001066,2023-04-12
91,PED-2023-000091,2023-04-13
455,PED-2023-000455,2023-04-13
819,PED-2023-000819,2023-04-13
1183,PED-2023-001183,2023-04-13
1410,PED-2023-001410,2023-04-13
208,PED-2023-000208,2023-04-14
572,PED-2023-000572,2023-04-14
936,PED-2023-000936,2023-04-14
1300,PED-2023-001300,2023-04-14
325,PED-2023-000325,2023-04-15
689,PED-2023-000689,2023-04-15
1053,PED-2023-001053,2023-04-15
78,PED-2023-000078,2023-04-16
442,PED-2023-000442,2023-04-16
806,PED-2023-000806,2023-04-16
1170,PED-2023-001170,2023-04-16
195,PED-2023-000195,2023-04-17
559,PED-2023-000559,2023-04-17
923,PED-2023-000923,2023-04-17
1287,PED-2023-001287,2023-04-17
312,PED-2023-000312,2023-04-18
676,PED-2023-000676,2023-04-18
1040,PED-2023-001040,2023-04-18
65,PED-2023-000065,2023-04-19
429,PED-2023-000429,2023-04-19
793,PED-2023-000793,2023-04-19
1157,PED-2023-001157,2023-04-19
182,PED-2023-000182,2023-04-20
546,PED-2023-000546,2023-04-20
910,PED-2023-000910,2023-04-20
1274,PED-2023-001274,2023-04-20
299,PED-2023-000299,2023-04-21
663,PED-2023-000663,2023-04-21
1027,PED-2023-001027,2023-04-21
1391,PED-2023-001391,2023-04-21
52,PED-2023-000052,2023-04-22
416,PED-2023-000416,2023-04-22
780,PED-2023-000780,2023-04-22
1144,PED-2023-001144,2023-04-22
169,PED-2023-000169,2023-04-23
533,PED-2023-000533,2023-04-23
897,PED-2023-000897,2023-04-23
1261,PED-2023-001261,2023-04-23
286,PED-2023-000286,2023-04-24
650,PED-2023-000650,2023-04-24
1014,PED-2023-001014,2023-04-24
1378,PED-2023-001378,2023-04-24
39,PED-2023-000039,2023-04-25
403,PED-2023-000403,2023-04-25
767,PED-2023-000767,2023-04-25
1131,PED-2023-001131,2023-04-25
156,PED-2023-000156,2023-04-26
520,PED-2023-000520,2023-04-26
884,PED-2023-000884,2023-04-26
1248,PED-2023-001248,2023-04-26
273,PED-2023-000273,2023-04-27
637,PED-2023-000637,2023-04-27
1001,PED-2023-001001,2023-04-27
1365,PED-2023-001365,2023-04-27
26,PED-2023-000026,2023-04-28
390,PED-2023-000390,2023-04-28
754,PED-2023-000754,2023-04-28
1118,PED-2023-001118,2023-04-28
339,PED-2023-000339,2023-05-01
703,PED-2023-000703,2023-05-01
1067,PED-2023-001067,2023-05-01
92,PED-2023-000092,2023-05-02
456,PED-2023-000456,2023-05-02
820,PED-2023-000820,2023-05-02
1184,PED-2023-001184,2023-05-02
1411,PED-2023-001411,2023-05-02
209,PED-2023-000209,2023-05-03
573,PED-2023-000573,2023-05-03
937,PED-2023-000937,2023-05-03
1301,PED-2023-001301,2023-05-03
326,PED-2023-000326,2023-05-04
690,PED-2023-000690,2023-05-04
1054,PED-2023-001054,2023-05-04
79,PED-2023-000079,2023-05-05
443,PED-2023-000443,2023-05-05
807,PED-2023-000807,2023-05-05
1171,PED-2023-001171,2023-05-05
196,PED-2023-000196,2023-05-06
560,PED-2023-000560,2023-05-06
924,PED-2023-000924,2023-05-06
1288,PED-2023-001288,2023-05-06
313,PED-2023-000313,2023-05-07
677,PED-2023-000677,2023-05-07
1041,PED-2023-001041,2023-05-07
66,PED-2023-000066,2023-05-08
430,PED-2023-000430,2023-05-08
794,PED-2023-000794,2023-05-08
1158,PED-2023-001158,2023-05-08
183,PED-2023-000183,2023-05-09
547,PED-2023-000547,2023-05-09
911,PED-2023-000911,2023-05-09
1275,PED-2023-001275,2023-05-09
300,PED-2023-000300,2023-05-10
664,PED-2023-000664,2023-05-10
1028,PED-2023-001028,2023-05-10
1392,PED-2023-001392,2023-05-10
53,PED-2023-000053,2023-05-11
417,PED-2023-000417,2023-05-11
781,PED-2023-000781,2023-05-11
1145,PED-2023-001145,2023-05-11
170,PED-2023-000170,2023-05-12
534,PED-2023-000534,2023-05-12
898,PED-2023-000898,2023-05-12
1262,PED-2023-001262,2023-05-12
287,PED-2023-000287,2023-05-13
651,PED-2023-000651,2023-05-13
1015,PED-2023-001015,2023-05-13
1379,PED-2023-001379,2023-05-13
40,PED-2023-000040,2023-05-14
404,PED-2023-000404,2023-05-14
768,PED-2023-000768,2023-05-14
1132,PED-2023-001132,2023-05-14
157,PED-2023-000157,2023-05-15
521,PED-2023-000521,2023-05-15
885,PED-2023-000885,2023-05-15
1249,PED-2023-001249,2023-05-15
274,PED-2023-000274,2023-05-16
638,PED-2023-000638,2023-05-16
1002,PED-2023-001002,2023-05-16
1366,PED-2023-001366,2023-05-16
27,PED-2023-000027,2023-05-17
391,PED-2023-000391,2023-05-17
755,PED-2023-000755,2023-05-17
1119,PED-2023-001119,2023-05-17
144,PED-2023-000144,2023-05-18
508,PED-2023-000508,2023-05-18
872,PED-2023-000872,2023-05-18
1236,PED-2023-001236,2023-05-18
261,PED-2023-000261,2023-05-19
625,PED-2023-000625,2023-05-19
989,PED-2023-000989,2023-05-19
1353,PED-2023-001353,2023-05-19
14,PED-2023-000014,2023-05-20
378,PED-2023-000378,2023-05-20
742,PED-2023-000742,2023-05-20
1106,PED-2023-001106,2023-05-20
131,PED-2023-000131,2023-05-21
495,PED-2023-000495,2023-05-21
859,PED-2023-000859,2023-05-21
1223,PED-2023-001223,2023-05-21
248,PED-2023-000248,2023-05-22
612,PED-2023-000612,2023-05-22
976,PED-2023-000976,2023-05-22
1340,PED-2023-001340,2023-05-22
1,PED-2023-000001,2023-05-23
365,PED-2023-000365,2023-05-23
729,PED-2023-000729,2023-05-23
1093,PED-2023-001093,2023-05-23
118,PED-2023-000118,2023-05-24
482,PED-2023-000482,2023-05-24
846,PED-2023-000846,2023-05-24
1210,PED-2023-001210,2023-05-24
1437,PED-2023-001437,2023-05-24
235,PED-2023-000235,2023-05-25
599,PED-2023-000599,2023-05-25
963,PED-2023-000963,2023-05-25
1327,PED-2023-001327,2023-05-25
352,PED-2023-000352,2023-05-26
716,PED-2023-000716,2023-05-26
1080,PED-2023-001080,2023-05-26
105,PED-2023-000105,2023-05-27
469,PED-2023-000469,2023-05-27
833,PED-2023-000833,2023-05-27
1197,PED-2023-001197,2023-05-27
1424,PED-2023-001424,2023-05-27
222,PED-2023-000222,2023-05-28
586,PED-2023-000586,2023-05-28
950,PED-2023-000950,2023-05-28
1314,PED-2023-001314,2023-05-28
171,PED-2023-000171,2023-06-01
535,PED-2023-000535,2023-06-01
899,PED-2023-000899,2023-06-01
1263,PED-2023-001263,2023-06-01
288,PED-2023-000288,2023-06-02
652,PED-2023-000652,2023-06-02
1016,PED-2023-001016,2023-06-02
1380,PED-2023-001380,2023-06-02
41,PED-2023-000041,2023-06-03
405,PED-2023-000405,2023-06-03
769,PED-2023-000769,2023-06-03
1133,PED-2023-001133,2023-06-03
158,PED-2023-000158,2023-06-04
522,PED-2023-000522,2023-06-04
886,PED-2023-000886,2023-06-04
1250,PED-2023-001250,2023-06-04
275,PED-2023-000275,2023-06-05
639,PED-2023-000639,2023-06-05
1003,PED-2023-001003,2023-06-05
1367,PED-2023-001367,2023-06-05
28,PED-2023-000028,2023-06-06
392,PED-2023-000392,2023-06-06
756,PED-2023-000756,2023-06-06
1120,PED-2023-001120,2023-06-06
145,PED-2023-000145,2023-06-07
509,PED-2023-000509,2023-06-07
873,PED-2023-000873,2023-06-07
1237,PED-2023-001237,2023-06-07
262,PED-2023-000262,2023-06-08
626,PED-2023-000626,2023-06-08
990,PED-2023-000990,2023-06-08
1354,PED-2023-001354,2023-06-08
15,PED-2023-000015,2023-06-09
379,PED-2023-000379,2023-06-09
743,PED-2023-000743,2023-06-09
1107,PED-2023-001107,2023-06-09
132,PED-2023-000132,2023-06-10
496,PED-2023-000496,2023-06-10
860,PED-2023-000860,2023-06-10
1224,PED-2023-001224,2023-06-10
249,PED-2023-000249,2023-06-11
613,PED-2023-000613,2023-06-11
977,PED-2023-000977,2023-06-11
1341,PED-2023-001341,2023-06-11
2,PED-2023-000002,2023-06-12
366,PED-2023-000366,2023-06-12
730,PED-2023-000730,2023-06-12
1094,PED-2023-001094,2023-06-12
119,PED-2023-000119,2023-06-13
483,PED-2023-000483,2023-06-13
847,PED-2023-000847,2023-06-13
1211,PED-2023-001211,2023-06-13
1438,PED-2023-001438,2023-06-13
236,PED-2023-000236,2023-06-14
600,PED-2023-000600,2023-06-14
964,PED-2023-000964,2023-06-14
1328,PED-2023-001328,2023-06-14
353,PED-2023-000353,2023-06-15
717,PED-2023-000717,2023-06-15
1081,PED-2023-001081,2023-06-15
106,PED-2023-000106,2023-06-16
470,PED-2023-000470,2023-06-16
834,PED-2023-000834,2023-06-16
1198,PED-2023-001198,2023-06-16
1425,PED-2023-001425,2023-06-16
223,PED-2023-000223,2023-06-17
587,PED-2023-000587,2023-06-17
951,PED-2023-000951,2023-06-17
1315,PED-2023-001315,2023-06-17
340,PED-2023-000340,2023-06-18
704,PED-2023-000704,2023-06-18
1068,PED-2023-001068,2023-06-18
93,PED-2023-000093,2023-06-19
457,PED-2023-000457,2023-06-19
821,PED-2023-000821,2023-06-19
1185,PED-2023-001185,2023-06-19
1412,PED-2023-001412,2023-06-19
210,PED-2023-000210,2023-06-20
574,PED-2023-000574,2023-06-20
938,PED-2023-000938,2023-06-20
1302,PED-2023-001302,2023-06-20
327,PED-2023-000327,2023-06-21
691,PED-2023-000691,2023-06-21
1055,PED-2023-001055,2023-06-21
80,PED-2023-000080,2023-06-22
444,PED-2023-000444,2023-06-22
808,PED-2023-000808,2023-06-22
1172,PED-2023-001172,2023-06-22
197,PED-2023-000197,2023-06-23
561,PED-2023-000561,2023-06-23
925,PED-2023-000925,2023-06-23
1289,PED-2023-001289,2023-06-23
314,PED-2023-000314,2023-06-24
678,PED-2023-000678,2023-06-24
1042,PED-2023-001042,2023-06-24
67,PED-2023-000067,2023-06-25
431,PED-2023-000431,2023-06-25
795,PED-2023-000795,2023-06-25
1159,PED-2023-001159,2023-06-25
184,PED-2023-000184,2023-06-26
548,PED-2023-000548,2023-06-26
912,PED-2023-000912,2023-06-26
1276,PED-2023-001276,2023-06-26
301,PED-2023-000301,2023-06-27
665,PED-2023-000665,2023-06-27
1029,PED-2023-001029,2023-06-27
1393,PED-2023-001393,2023-06-27
54,PED-2023-000054,2023-06-28
418,PED-2023-000418,2023-06-28
782,PED-2023-000782,2023-06-28
1146,PED-2023-001146,2023-06-28
3,PED-2023-000003,2023-07-01
367,PED-2023-000367,2023-07-01
731,PED-2023-000731,2023-07-01
1095,PED-2023-001095,2023-07-01
120,PED-2023-000120,2023-07-02
484,PED-2023-000484,2023-07-02
848,PED-2023-000848,2023-07-02
1212,PED-2023-001212,2023-07-02
1439,PED-2023-001439,2023-07-02
237,PED-2023-000237,2023-07-03
601,PED-2023-000601,2023-07-03
965,PED-2023-000965,2023-07-03
1329,PED-2023-001329,2023-07-03
354,PED-2023-000354,2023-07-04
718,PED-2023-000718,2023-07-04
1082,PED-2023-001082,2023-07-04
107,PED-2023-000107,2023-07-05
471,PED-2023-000471,2023-07-05
835,PED-2023-000835,2023-07-05
1199,PED-2023-001199,2023-07-05
1426,PED-2023-001426,2023-07-05
224,PED-2023-000224,2023-07-06
588,PED-2023-000588,2023-07-06
952,PED-2023-000952,2023-07-06
1316,PED-2023-001316,2023-07-06
341,PED-2023-000341,2023-07-07
705,PED-2023-000705,2023-07-07
1069,PED-2023-001069,2023-07-07
94,PED-2023-000094,2023-07-08
458,PED-2023-000458,2023-07-08
822,PED-2023-000822,2023-07-08
1186,PED-2023-001186,2023-07-08
1413,PED-2023-001413,2023-07-08
211,PED-2023-000211,2023-07-09
575,PED-2023-000575,2023-07-09
939,PED-2023-000939,2023-07-09
1303,PED-2023-001303,2023-07-09
328,PED-2023-000328,2023-07-10
692,PED-2023-000692,2023-07-10
1056,PED-2023-001056,2023-07-10
81,PED-2023-000081,2023-07-11
445,PED-2023-000445,2023-07-11
809,PED-2023-000809,2023-07-11
1173,PED-2023-001173,2023-07-11
198,PED-2023-000198,2023-07-12
562,PED-2023-000562,2023-07-12
926,PED-2023-000926,2023-07-12
1290,PED-2023-001290,2023-07-12
315,PED-2023-000315,2023-07-13
679,PED-2023-000679,2023-07-13
1043,PED-2023-001043,2023-07-13
68,PED-2023-000068,2023-07-14
432,PED-2023-000432,2023-07-14
796,PED-2023-000796,2023-07-14
1160,PED-2023-001160,2023-07-14
185,PED-2023-000185,2023-07-15
549,PED-2023-000549,2023-07-15
913,PED-2023-000913,2023-07-15
1277,PED-2023-001277,2023-07-15
302,PED-2023-000302,2023-07-16
666,PED-2023-000666,2023-07-16
1030,PED-2023-001030,2023-07-16
1394,PED-2023-001394,2023-07-16
55,PED-2023-000055,2023-07-17
419,PED-2023-000419,2023-07-17
783,PED-2023-000783,2023-07-17
1147,PED-2023-001147,2023-07-17
172,PED-2023-000172,2023-07-18
536,PED-2023-000536,2023-07-18
900,PED-2023-000900,2023-07-18
1264,PED-2023-001264,2023-07-18
289,PED-2023-000289,2023-07-19
653,PED-2023-000653,2023-07-19
1017,PED-2023-001017,2023-07-19
1381,PED-2023-001381,2023-07-19
42,PED-2023-000042,2023-07-20
406,PED-2023-000406,2023-07-20
770,PED-2023-000770,2023-07-20
1134,PED-2023-001134,2023-07-20
159,PED-2023-000159,2023-07-21
523,PED-2023-000523,2023-07-21
887,PED-2023-000887,2023-07-21
1251,PED-2023-001251,2023-07-21
276,PED-2023-000276,2023-07-22
640,PED-2023-000640,2023-07-22
1004,PED-2023-001004,2023-07-22
1368,PED-2023-001368,2023-07-22
29,PED-2023-000029,2023-07-23
393,PED-2023-000393,2023-07-23
757,PED-2023-000757,2023-07-23
1121,PED-2023-001121,2023-07-23
146,PED-2023-000146,2023-07-24
510,PED-2023-000510,2023-07-24
874,PED-2023-000874,2023-07-24
1238,PED-2023-001238,2023-07-24
263,PED-2023-000263,2023-07-25
627,PED-2023-000627,2023-07-25
991,PED-2023-000991,2023-07-25
1355,PED-2023-001355,2023-07-25
16,PED-2023-000016,2023-07-26
