produto_id,sku,unidades_vendidas,unidades_devolvidas,taxa_devolucao_pct
91,AUR-00000091,1117,18,1.6114592658907789
40,AUR-00000040,1195,19,1.5899581589958159
64,AUR-00000064,1195,19,1.5899581589958159
43,AUR-00000043,1117,17,1.5219337511190689
67,AUR-00000067,1117,17,1.5219337511190689
16,AUR-00000016,1195,18,1.5062761506276151
104,AUR-00000104,1195,18,1.5062761506276151
80,AUR-00000080,1200,18,1.5000000000000000
87,AUR-00000087,817,12,1.4687882496940024
23,AUR-00000023,821,12,1.4616321559074300
47,AUR-00000047,821,12,1.4616321559074300
63,AUR-00000063,821,12,1.4616321559074300
111,AUR-00000111,821,12,1.4616321559074300
62,AUR-00000062,1047,15,1.4326647564469914
19,AUR-00000019,1117,16,1.4324082363473590
107,AUR-00000107,1117,16,1.4324082363473590
83,AUR-00000083,1125,16,1.4222222222222222
90,AUR-00000090,1336,18,1.3473053892215569
49,AUR-00000049,969,13,1.3415892672858617
73,AUR-00000073,969,13,1.3415892672858617
2,AUR-00000002,1343,18,1.3402829486224870
26,AUR-00000026,1343,18,1.3402829486224870
50,AUR-00000050,1343,18,1.3402829486224870
66,AUR-00000066,1343,18,1.3402829486224870
1,AUR-00000001,969,12,1.2383900928792570
25,AUR-00000025,969,12,1.2383900928792570
65,AUR-00000065,969,12,1.2383900928792570
89,AUR-00000089,969,12,1.2383900928792570
75,AUR-00000075,1109,12,1.0820559062218215
99,AUR-00000099,1109,12,1.0820559062218215
11,AUR-00000011,1117,12,1.0743061772605192
35,AUR-00000035,1117,12,1.0743061772605192
51,AUR-00000051,1117,12,1.0743061772605192
59,AUR-00000059,1117,12,1.0743061772605192
113,AUR-00000113,0,0,NULL
114,AUR-00000114,0,0,NULL
115,AUR-00000115,0,0,NULL
116,AUR-00000116,0,0,NULL
117,AUR-00000117,0,0,NULL
118,AUR-00000118,0,0,NULL
119,AUR-00000119,0,0,NULL
120,AUR-00000120,0,0,NULL
