pedido_id,numero_pedido,desconto_mercadoria
969,PED-2023-000969,0.00
970,PED-2023-000970,0.00
971,PED-2023-000971,0.00
972,PED-2023-000972,0.00
973,PED-2023-000973,0.00
974,PED-2023-000974,0.00
975,PED-2023-000975,0.00
976,PED-2023-000976,0.00
977,PED-2023-000977,0.00
978,PED-2023-000978,0.00
979,PED-2023-000979,0.00
980,PED-2023-000980,0.00
981,PED-2023-000981,0.00
982,PED-2023-000982,0.00
983,PED-2023-000983,0.00
984,PED-2023-000984,0.00
985,PED-2023-000985,0.00
986,PED-2023-000986,0.00
987,PED-2023-000987,0.00
988,PED-2023-000988,391.56
989,PED-2023-000989,358.15
990,PED-2023-000990,132.61
991,PED-2023-000991,214.00
992,PED-2023-000992,318.84
993,PED-2023-000993,185.30
994,PED-2023-000994,187.73
995,PED-2023-000995,296.71
996,PED-2023-000996,208.75
997,PED-2023-000997,300.53
998,PED-2023-000998,84.88
999,PED-2023-000999,112.43
1000,PED-2023-001000,335.36
1001,PED-2023-001001,0.00
1002,PED-2023-001002,0.00
1003,PED-2023-001003,0.00
1004,PED-2023-001004,0.00
1005,PED-2023-001005,0.00
1006,PED-2023-001006,0.00
1007,PED-2023-001007,0.00
1008,PED-2023-001008,0.00
1009,PED-2023-001009,0.00
1010,PED-2023-001010,0.00
1011,PED-2023-001011,0.00
1012,PED-2023-001012,0.00
1013,PED-2023-001013,0.00
1014,PED-2023-001014,0.00
1015,PED-2023-001015,0.00
1016,PED-2023-001016,0.00
1017,PED-2023-001017,0.00
1018,PED-2023-001018,0.00
1019,PED-2023-001019,0.00
1020,PED-2023-001020,0.00
1021,PED-2023-001021,385.34
1022,PED-2023-001022,89.20
1023,PED-2023-001023,453.68
1024,PED-2023-001024,182.15
1025,PED-2023-001025,194.85
1026,PED-2023-001026,446.26
1027,PED-2023-001027,309.10
1028,PED-2023-001028,418.98
1029,PED-2023-001029,198.06
1030,PED-2023-001030,118.92
1031,PED-2023-001031,239.75
1032,PED-2023-001032,343.44
1033,PED-2023-001033,206.16
1034,PED-2023-001034,0.00
1035,PED-2023-001035,0.00
1036,PED-2023-001036,0.00
1037,PED-2023-001037,0.00
1038,PED-2023-001038,0.00
1039,PED-2023-001039,0.00
1040,PED-2023-001040,0.00
1041,PED-2023-001041,0.00
1042,PED-2023-001042,0.00
1043,PED-2023-001043,0.00
1044,PED-2023-001044,0.00
1045,PED-2023-001045,0.00
1046,PED-2023-001046,0.00
1047,PED-2023-001047,0.00
1048,PED-2023-001048,0.00
1049,PED-2023-001049,0.00
1050,PED-2023-001050,0.00
1051,PED-2023-001051,0.00
1052,PED-2023-001052,0.00
1053,PED-2023-001053,0.00
1054,PED-2023-001054,61.56
1055,PED-2023-001055,264.82
1056,PED-2023-001056,244.04
1057,PED-2023-001057,129.81
1058,PED-2023-001058,504.24
1059,PED-2023-001059,104.95
1060,PED-2023-001060,247.49
1061,PED-2023-001061,485.81
1062,PED-2023-001062,96.34
1063,PED-2023-001063,487.67
1064,PED-2023-001064,196.29
1065,PED-2023-001065,209.65
1066,PED-2023-001066,262.16
1067,PED-2023-001067,287.36
1068,PED-2023-001068,0.00
1069,PED-2023-001069,0.00
1070,PED-2023-001070,0.00
1071,PED-2023-001071,0.00
1072,PED-2023-001072,0.00
1073,PED-2023-001073,0.00
1074,PED-2023-001074,0.00
1075,PED-2023-001075,0.00
1076,PED-2023-001076,0.00
1077,PED-2023-001077,0.00
1078,PED-2023-001078,0.00
1079,PED-2023-001079,0.00
1080,PED-2023-001080,0.00
1081,PED-2023-001081,0.00
1082,PED-2023-001082,0.00
1083,PED-2023-001083,0.00
1084,PED-2023-001084,0.00
1085,PED-2023-001085,0.00
1086,PED-2023-001086,0.00
1087,PED-2023-001087,0.00
1088,PED-2023-001088,270.91
1089,PED-2023-001089,115.59
1090,PED-2023-001090,292.84
1091,PED-2023-001091,142.13
1092,PED-2023-001092,162.79
1093,PED-2023-001093,543.28
1094,PED-2023-001094,96.47
1095,PED-2023-001095,290.62
1096,PED-2023-001096,267.06
1097,PED-2023-001097,141.34
1098,PED-2023-001098,544.81
1099,PED-2023-001099,113.64
1100,PED-2023-001100,224.70
1101,PED-2023-001101,0.00
1102,PED-2023-001102,0.00
1103,PED-2023-001103,0.00
1104,PED-2023-001104,0.00
1105,PED-2023-001105,0.00
1106,PED-2023-001106,0.00
1107,PED-2023-001107,0.00
1108,PED-2023-001108,0.00
1109,PED-2023-001109,0.00
1110,PED-2023-001110,0.00
1111,PED-2023-001111,0.00
1112,PED-2023-001112,0.00
1113,PED-2023-001113,0.00
1114,PED-2023-001114,0.00
1115,PED-2023-001115,0.00
1116,PED-2023-001116,0.00
1117,PED-2023-001117,0.00
1118,PED-2023-001118,0.00
1119,PED-2023-001119,0.00
1120,PED-2023-001120,0.00
1121,PED-2023-001121,121.18
1122,PED-2023-001122,180.98
1123,PED-2023-001123,155.15
1124,PED-2023-001124,136.62
1125,PED-2023-001125,311.22
1126,PED-2023-001126,114.25
1127,PED-2023-001127,188.05
1128,PED-2023-001128,302.72
1129,PED-2023-001129,126.55
1130,PED-2023-001130,324.08
1131,PED-2023-001131,156.89
1132,PED-2023-001132,178.66
1133,PED-2023-001133,590.43
1134,PED-2023-001134,0.00
1135,PED-2023-001135,0.00
1136,PED-2023-001136,0.00
1137,PED-2023-001137,0.00
1138,PED-2023-001138,0.00
1139,PED-2023-001139,0.00
1140,PED-2023-001140,0.00
1141,PED-2023-001141,0.00
1142,PED-2023-001142,0.00
1143,PED-2023-001143,0.00
1144,PED-2023-001144,0.00
1145,PED-2023-001145,0.00
1146,PED-2023-001146,0.00
1147,PED-2023-001147,0.00
1148,PED-2023-001148,0.00
1149,PED-2023-001149,0.00
1150,PED-2023-001150,0.00
1151,PED-2023-001151,0.00
1152,PED-2023-001152,0.00
1153,PED-2023-001153,0.00
1154,PED-2023-001154,91.91
1155,PED-2023-001155,98.33
1156,PED-2023-001156,153.96
1157,PED-2023-001157,186.50
1158,PED-2023-001158,118.84
1159,PED-2023-001159,151.94
1160,PED-2023-001160,275.21
1161,PED-2023-001161,148.83
1162,PED-2023-001162,205.68
1163,PED-2023-001163,176.02
1164,PED-2023-001164,150.87
1165,PED-2023-001165,347.94
1166,PED-2023-001166,125.19
1167,PED-2023-001167,94.36
1168,PED-2023-001168,0.00
1169,PED-2023-001169,0.00
1170,PED-2023-001170,0.00
1171,PED-2023-001171,0.00
1172,PED-2023-001172,0.00
1173,PED-2023-001173,0.00
1174,PED-2023-001174,0.00
1175,PED-2023-001175,0.00
1176,PED-2023-001176,0.00
1177,PED-2023-001177,0.00
1178,PED-2023-001178,0.00
1179,PED-2023-001179,0.00
1180,PED-2023-001180,0.00
1181,PED-2023-001181,0.00
1182,PED-2023-001182,0.00
1183,PED-2023-001183,0.00
1184,PED-2023-001184,0.00
1185,PED-2023-001185,0.00
1186,PED-2023-001186,0.00
1187,PED-2023-001187,0.00
1188,PED-2023-001188,214.04
1189,PED-2023-001189,141.10
1190,PED-2023-001190,48.77
1191,PED-2023-001191,166.33
1192,PED-2023-001192,112.18
1193,PED-2023-001193,151.36
1194,PED-2023-001194,161.46
1195,PED-2023-001195,119.69
1196,PED-2023-001196,174.77
1197,PED-2023-001197,215.59
1198,PED-2023-001198,133.10
1199,PED-2023-001199,169.43
1200,PED-2023-001200,306.85
1201,PED-2023-001201,0.00
1202,PED-2023-001202,0.00
1203,PED-2023-001203,0.00
1204,PED-2023-001204,0.00
1205,PED-2023-001205,0.00
1206,PED-2023-001206,0.00
1207,PED-2023-001207,0.00
1208,PED-2023-001208,0.00
1209,PED-2023-001209,0.00
1210,PED-2023-001210,0.00
1211,PED-2023-001211,0.00
1212,PED-2023-001212,0.00
1213,PED-2023-001213,0.00
1214,PED-2023-001214,0.00
1215,PED-2023-001215,0.00
1216,PED-2023-001216,0.00
1217,PED-2023-001217,0.00
1218,PED-2023-001218,0.00
1219,PED-2023-001219,0.00
1220,PED-2023-001220,0.00
1221,PED-2023-001221,123.97
1222,PED-2023-001222,63.46
1223,PED-2023-001223,239.95
1224,PED-2023-001224,107.57
1225,PED-2023-001225,123.07
1226,PED-2023-001226,246.81
1227,PED-2023-001227,87.15
1228,PED-2023-001228,172.39
1229,PED-2023-001229,165.22
1230,PED-2023-001230,58.09
1231,PED-2023-001231,192.07
1232,PED-2023-001232,136.86
1233,PED-2023-001233,172.17
1234,PED-2023-001234,0.00
1235,PED-2023-001235,0.00
1236,PED-2023-001236,0.00
1237,PED-2023-001237,0.00
1238,PED-2023-001238,0.00
1239,PED-2023-001239,0.00
1240,PED-2023-001240,0.00
1241,PED-2023-001241,0.00
1242,PED-2023-001242,0.00
1243,PED-2023-001243,0.00
1244,PED-2023-001244,0.00
1245,PED-2023-001245,0.00
1246,PED-2023-001246,0.00
1247,PED-2023-001247,0.00
1248,PED-2023-001248,0.00
1249,PED-2023-001249,0.00
1250,PED-2023-001250,0.00
1251,PED-2023-001251,0.00
1252,PED-2023-001252,0.00
1253,PED-2023-001253,0.00
1254,PED-2023-001254,17.19
1255,PED-2023-001255,347.58
1256,PED-2023-001256,328.43
1257,PED-2023-001257,125.99
1258,PED-2023-001258,254.34
1259,PED-2023-001259,87.40
1260,PED-2023-001260,157.08
1261,PED-2023-001261,257.25
1262,PED-2023-001262,70.60
1263,PED-2023-001263,273.94
1264,PED-2023-001264,68.10
1265,PED-2023-001265,76.51
1266,PED-2023-001266,200.73
1267,PED-2023-001267,90.08
1268,PED-2023-001268,0.00
1269,PED-2023-001269,0.00
1270,PED-2023-001270,0.00
1271,PED-2023-001271,0.00
1272,PED-2023-001272,0.00
1273,PED-2023-001273,0.00
1274,PED-2023-001274,0.00
1275,PED-2023-001275,0.00
1276,PED-2023-001276,0.00
1277,PED-2023-001277,0.00
1278,PED-2023-001278,0.00
1279,PED-2023-001279,0.00
1280,PED-2023-001280,0.00
1281,PED-2023-001281,0.00
1282,PED-2023-001282,0.00
1283,PED-2023-001283,0.00
1284,PED-2023-001284,0.00
1285,PED-2023-001285,0.00
1286,PED-2023-001286,0.00
1287,PED-2023-001287,0.00
1288,PED-2023-001288,429.83
1289,PED-2023-001289,170.39
1290,PED-2023-001290,395.33
1291,PED-2023-001291,154.75
1292,PED-2023-001292,165.50
1293,PED-2023-001293,472.04
1294,PED-2023-001294,65.77
1295,PED-2023-001295,373.38
1296,PED-2023-001296,167.30
1297,PED-2023-001297,114.51
1298,PED-2023-001298,294.91
1299,PED-2023-001299,96.10
1300,PED-2023-001300,158.94
1301,PED-2023-001301,0.00
1302,PED-2023-001302,0.00
1303,PED-2023-001303,0.00
1304,PED-2023-001304,0.00
1305,PED-2023-001305,0.00
1306,PED-2023-001306,0.00
1307,PED-2023-001307,0.00
1308,PED-2023-001308,0.00
1309,PED-2023-001309,0.00
1310,PED-2023-001310,0.00
1311,PED-2023-001311,0.00
1312,PED-2023-001312,0.00
1313,PED-2023-001313,0.00
1314,PED-2023-001314,0.00
1315,PED-2023-001315,0.00
1316,PED-2023-001316,0.00
1317,PED-2023-001317,0.00
1318,PED-2023-001318,0.00
1319,PED-2023-001319,0.00
1320,PED-2023-001320,0.00
1321,PED-2023-001321,189.68
1322,PED-2023-001322,304.28
1323,PED-2023-001323,259.27
1324,PED-2023-001324,207.86
1325,PED-2023-001325,494.80
1326,PED-2023-001326,169.05
1327,PED-2023-001327,197.33
1328,PED-2023-001328,423.28
1329,PED-2023-001329,89.27
1330,PED-2023-001330,426.57
1331,PED-2023-001331,169.49
1332,PED-2023-001332,181.42
1333,PED-2023-001333,304.36
1334,PED-2023-001334,0.00
1335,PED-2023-001335,0.00
1336,PED-2023-001336,0.00
1337,PED-2023-001337,0.00
1338,PED-2023-001338,0.00
1339,PED-2023-001339,0.00
1340,PED-2023-001340,0.00
1341,PED-2023-001341,0.00
1342,PED-2023-001342,0.00
1343,PED-2023-001343,0.00
1344,PED-2023-001344,0.00
1345,PED-2023-001345,0.00
1346,PED-2023-001346,0.00
1347,PED-2023-001347,0.00
1348,PED-2023-001348,0.00
1349,PED-2023-001349,0.00
1350,PED-2023-001350,0.00
1351,PED-2023-001351,0.00
1352,PED-2023-001352,0.00
1353,PED-2023-001353,0.00
1354,PED-2023-001354,149.45
1355,PED-2023-001355,205.19
1356,PED-2023-001356,258.08
1357,PED-2023-001357,331.72
1358,PED-2023-001358,190.08
1359,PED-2023-001359,239.62
1360,PED-2023-001360,464.27
1361,PED-2023-001361,228.29
1362,PED-2023-001362,328.98
1363,PED-2023-001363,280.14
1364,PED-2023-001364,222.11
1365,PED-2023-001365,470.16
1366,PED-2023-001366,87.92
1367,PED-2023-001367,149.16
1368,PED-2023-001368,0.00
1369,PED-2023-001369,0.00
1370,PED-2023-001370,0.00
1371,PED-2023-001371,0.00
1372,PED-2023-001372,0.00
1373,PED-2023-001373,0.00
1374,PED-2023-001374,0.00
1375,PED-2023-001375,0.00
1376,PED-2023-001376,0.00
1377,PED-2023-001377,0.00
1378,PED-2023-001378,0.00
1379,PED-2023-001379,0.00
1380,PED-2023-001380,0.00
1381,PED-2023-001381,0.00
1382,PED-2023-001382,0.00
1383,PED-2023-001383,0.00
1384,PED-2023-001384,0.00
1385,PED-2023-001385,0.00
1386,PED-2023-001386,0.00
1387,PED-2023-001387,0.00
1388,PED-2023-001388,281.98
1389,PED-2023-001389,261.66
1390,PED-2023-001390,95.35
1391,PED-2023-001391,295.11
1392,PED-2023-001392,235.48
1393,PED-2023-001393,255.48
1394,PED-2023-001394,265.58
1395,PED-2023-001395,226.55
1396,PED-2023-001396,278.89
1397,PED-2023-001397,360.81
1398,PED-2023-001398,204.34
1399,PED-2023-001399,257.11
1400,PED-2023-001400,493.17
1401,PED-2023-001401,0.00
1402,PED-2023-001402,0.00
1403,PED-2023-001403,0.00
1404,PED-2023-001404,0.00
1405,PED-2023-001405,0.00
1406,PED-2023-001406,0.00
1407,PED-2023-001407,0.00
1408,PED-2023-001408,0.00
1409,PED-2023-001409,0.00
1410,PED-2023-001410,0.00
1411,PED-2023-001411,0.00
1412,PED-2023-001412,0.00
1413,PED-2023-001413,0.00
1414,PED-2023-001414,0.00
1415,PED-2023-001415,0.00
1416,PED-2023-001416,0.00
1417,PED-2023-001417,0.00
1418,PED-2023-001418,0.00
1419,PED-2023-001419,0.00
1420,PED-2023-001420,0.00
1421,PED-2023-001421,269.19
1422,PED-2023-001422,60.72
1423,PED-2023-001423,317.79
1424,PED-2023-001424,125.05
1425,PED-2023-001425,135.67
1426,PED-2023-001426,323.55
1427,PED-2023-001427,210.45
1428,PED-2023-001428,309.39
1429,PED-2023-001429,285.78
1430,PED-2023-001430,104.67
1431,PED-2023-001431,320.85
1432,PED-2023-001432,260.16
1433,PED-2023-001433,276.29
1434,PED-2023-001434,0.00
1435,PED-2023-001435,0.00
1436,PED-2023-001436,0.00
1437,PED-2023-001437,0.00
1438,PED-2023-001438,0.00
1439,PED-2023-001439,0.00
1440,PED-2023-001440,0.00
1441,PED-2023-001441,0.00
1442,PED-2023-001442,0.00
1443,PED-2023-001443,0.00
1444,PED-2023-001444,0.00
1445,PED-2023-001445,0.00
1446,PED-2023-001446,0.00
1447,PED-2023-001447,0.00
1448,PED-2023-001448,0.00
1449,PED-2023-001449,0.00
1450,PED-2023-001450,0.00
1451,PED-2023-001451,0.00
1452,PED-2023-001452,0.00
1453,PED-2023-001453,0.00
1454,PED-2023-001454,41.85
1455,PED-2023-001455,161.84
1456,PED-2023-001456,151.98
1457,PED-2023-001457,83.80
1458,PED-2023-001458,342.05
1459,PED-2023-001459,69.80
1460,PED-2023-001460,166.42
1461,PED-2023-001461,343.31
1462,PED-2023-001462,67.86
1463,PED-2023-001463,351.74
1464,PED-2023-001464,139.34
1465,PED-2023-001465,150.49
1466,PED-2023-001466,354.17
1467,PED-2023-001467,199.68
1468,PED-2023-001468,0.00
1469,PED-2023-001469,0.00
1470,PED-2023-001470,0.00
1471,PED-2023-001471,0.00
1472,PED-2023-001472,0.00
1473,PED-2023-001473,0.00
1474,PED-2023-001474,0.00
1475,PED-2023-001475,0.00
1476,PED-2023-001476,0.00
1477,PED-2023-001477,0.00
1478,PED-2023-001478,0.00
1479,PED-2023-001479,0.00
1480,PED-2023-001480,0.00
1481,PED-2023-001481,0.00
1482,PED-2023-001482,0.00
1483,PED-2023-001483,0.00
1484,PED-2023-001484,0.00
1485,PED-2023-001485,0.00
1486,PED-2023-001486,0.00
1487,PED-2023-001487,0.00
1488,PED-2023-001488,143.80
1489,PED-2023-001489,71.75
1490,PED-2023-001490,167.90
1491,PED-2023-001491,82.91
1492,PED-2023-001492,99.20
1493,PED-2023-001493,354.79
1494,PED-2023-001494,65.76
1495,PED-2023-001495,187.60
1496,PED-2023-001496,175.00
1497,PED-2023-001497,95.33
1498,PED-2023-001498,382.57
1499,PED-2023-001499,78.58
1500,PED-2023-001500,154.55
1501,PED-2023-001501,0.00
1502,PED-2023-001502,0.00
1503,PED-2023-001503,0.00
1504,PED-2023-001504,0.00
1505,PED-2023-001505,0.00
1506,PED-2023-001506,0.00
1507,PED-2023-001507,0.00
1508,PED-2023-001508,0.00
1509,PED-2023-001509,0.00
1510,PED-2023-001510,0.00
1511,PED-2023-001511,0.00
1512,PED-2023-001512,0.00
1513,PED-2023-001513,0.00
1514,PED-2023-001514,0.00
1515,PED-2023-001515,0.00
1516,PED-2023-001516,0.00
1517,PED-2023-001517,0.00
1518,PED-2023-001518,0.00
1519,PED-2023-001519,0.00
1520,PED-2023-001520,0.00
1521,PED-2023-001521,66.39
1522,PED-2023-001522,274.18
1523,PED-2023-001523,255.98
1524,PED-2023-001524,102.64
1525,PED-2023-001525,164.36
1526,PED-2023-001526,70.39
1527,PED-2023-001527,106.92
1528,PED-2023-001528,175.54
1529,PED-2023-001529,82.71
1530,PED-2023-001530,199.14
1531,PED-2023-001531,97.73
1532,PED-2023-001532,115.12
1533,PED-2023-001533,401.88
1534,PED-2023-001534,0.00
1535,PED-2023-001535,0.00
1536,PED-2023-001536,0.00
1537,PED-2023-001537,0.00
1538,PED-2023-001538,0.00
1539,PED-2023-001539,0.00
1540,PED-2023-001540,0.00
1541,PED-2023-001541,0.00
1542,PED-2023-001542,0.00
1543,PED-2023-001543,0.00
1544,PED-2023-001544,0.00
1545,PED-2023-001545,0.00
1546,PED-2023-001546,0.00
1547,PED-2023-001547,0.00
1548,PED-2023-001548,0.00
1549,PED-2023-001549,0.00
1550,PED-2023-001550,0.00
1551,PED-2023-001551,0.00
1552,PED-2023-001552,0.00
1553,PED-2023-001553,0.00
1554,PED-2023-001554,45.85
1555,PED-2023-001555,296.71
1556,PED-2023-001556,208.75
1557,PED-2023-001557,300.53
1558,PED-2023-001558,84.88
1559,PED-2023-001559,112.43
1560,PED-2023-001560,338.77
1561,PED-2023-001561,115.93
1562,PED-2023-001562,298.81
1563,PED-2023-001563,92.70
1564,PED-2023-001564,93.93
1565,PED-2023-001565,201.08
1566,PED-2023-001566,81.34
1567,PED-2023-001567,50.52
1568,PED-2023-001568,0.00
1569,PED-2023-001569,0.00
1570,PED-2023-001570,0.00
1571,PED-2023-001571,0.00
1572,PED-2023-001572,0.00
1573,PED-2023-001573,0.00
1574,PED-2023-001574,0.00
1575,PED-2023-001575,0.00
1576,PED-2023-001576,0.00
1577,PED-2023-001577,0.00
1578,PED-2023-001578,0.00
1579,PED-2023-001579,0.00
1580,PED-2023-001580,0.00
1581,PED-2023-001581,0.00
1582,PED-2023-001582,0.00
1583,PED-2023-001583,0.00
1584,PED-2023-001584,0.00
1585,PED-2023-001585,0.00
1586,PED-2023-001586,0.00
1587,PED-2023-001587,0.00
1588,PED-2023-001588,418.98
1589,PED-2023-001589,198.06
1590,PED-2023-001590,118.92
1591,PED-2023-001591,239.75
1592,PED-2023-001592,343.44
1593,PED-2023-001593,206.16
1594,PED-2023-001594,116.46
1595,PED-2023-001595,279.69
1596,PED-2023-001596,137.48
1597,PED-2023-001597,329.54
1598,PED-2023-001598,99.12
1599,PED-2023-001599,130.03
1600,PED-2023-001600,157.78
1601,PED-2023-001601,0.00
1602,PED-2023-001602,0.00
1603,PED-2023-001603,0.00
1604,PED-2023-001604,0.00
1605,PED-2023-001605,0.00
1606,PED-2023-001606,0.00
1607,PED-2023-001607,0.00
1608,PED-2023-001608,0.00
1609,PED-2023-001609,0.00
1610,PED-2023-001610,0.00
1611,PED-2023-001611,0.00
1612,PED-2023-001612,0.00
1613,PED-2023-001613,0.00
1614,PED-2023-001614,0.00
1615,PED-2023-001615,0.00
1616,PED-2023-001616,0.00
1617,PED-2023-001617,0.00
1618,PED-2023-001618,0.00
1619,PED-2023-001619,0.00
1620,PED-2023-001620,0.00
1621,PED-2023-001621,414.41
1622,PED-2023-001622,96.34
1623,PED-2023-001623,487.67
1624,PED-2023-001624,196.29
1625,PED-2023-001625,209.65
1626,PED-2023-001626,262.16
1627,PED-2023-001627,303.07
1628,PED-2023-001628,254.59
1629,PED-2023-001629,222.26
1630,PED-2023-001630,128.21
1631,PED-2023-001631,265.49
1632,PED-2023-001632,306.76
1633,PED-2023-001633,134.90
1634,PED-2023-001634,0.00
1635,PED-2023-001635,0.00
1636,PED-2023-001636,0.00
1637,PED-2023-001637,0.00
1638,PED-2023-001638,0.00
1639,PED-2023-001639,0.00
1640,PED-2023-001640,0.00
1641,PED-2023-001641,0.00
1642,PED-2023-001642,0.00
1643,PED-2023-001643,0.00
1644,PED-2023-001644,0.00
1645,PED-2023-001645,0.00
1646,PED-2023-001646,0.00
1647,PED-2023-001647,0.00
1648,PED-2023-001648,0.00
1649,PED-2023-001649,0.00
1650,PED-2023-001650,0.00
1651,PED-2023-001651,0.00
1652,PED-2023-001652,0.00
1653,PED-2023-001653,0.00
1654,PED-2023-001654,66.51
1655,PED-2023-001655,290.62
1656,PED-2023-001656,267.06
1657,PED-2023-001657,141.34
1658,PED-2023-001658,544.81
1659,PED-2023-001659,113.64
1660,PED-2023-001660,267.80
1661,PED-2023-001661,521.41
1662,PED-2023-001662,103.48
1663,PED-2023-001663,291.46
1664,PED-2023-001664,187.57
1665,PED-2023-001665,193.75
1666,PED-2023-001666,292.85
1667,PED-2023-001667,309.28
1668,PED-2023-001668,0.00
1669,PED-2023-001669,0.00
1670,PED-2023-001670,0.00
1671,PED-2023-001671,0.00
1672,PED-2023-001672,0.00
1673,PED-2023-001673,0.00
1674,PED-2023-001674,0.00
1675,PED-2023-001675,0.00
1676,PED-2023-001676,0.00
1677,PED-2023-001677,0.00
1678,PED-2023-001678,0.00
1679,PED-2023-001679,0.00
1680,PED-2023-001680,0.00
1681,PED-2023-001681,0.00
1682,PED-2023-001682,0.00
1683,PED-2023-001683,0.00
1684,PED-2023-001684,0.00
1685,PED-2023-001685,0.00
1686,PED-2023-001686,0.00
1687,PED-2023-001687,0.00
1688,PED-2023-001688,302.72
1689,PED-2023-001689,126.55
1690,PED-2023-001690,324.08
1691,PED-2023-001691,156.89
1692,PED-2023-001692,178.66
1693,PED-2023-001693,590.43
1694,PED-2023-001694,104.12
1695,PED-2023-001695,316.38
1696,PED-2023-001696,290.08
1697,PED-2023-001697,152.87
1698,PED-2023-001698,585.33
1699,PED-2023-001699,122.42
1700,PED-2023-001700,242.23
1701,PED-2023-001701,0.00
1702,PED-2023-001702,0.00
1703,PED-2023-001703,0.00
1704,PED-2023-001704,0.00
1705,PED-2023-001705,0.00
1706,PED-2023-001706,0.00
1707,PED-2023-001707,0.00
1708,PED-2023-001708,0.00
1709,PED-2023-001709,0.00
1710,PED-2023-001710,0.00
1711,PED-2023-001711,0.00
1712,PED-2023-001712,0.00
1713,PED-2023-001713,0.00
1714,PED-2023-001714,0.00
1715,PED-2023-001715,0.00
1716,PED-2023-001716,0.00
1717,PED-2023-001717,0.00
1718,PED-2023-001718,0.00
1719,PED-2023-001719,0.00
1720,PED-2023-001720,0.00
1721,PED-2023-001721,134.89
1722,PED-2023-001722,205.68
