numero_pedido,quantidade_cobrancas_aprovadas,quantidade_meios,valor_cobrado_aprovado
PED-2023-002341,2,2,1667.66
PED-2023-002342,2,2,434.02
PED-2023-002343,2,2,1287.64
PED-2023-002344,2,2,1668.36
PED-2023-002345,2,2,808.98
PED-2023-002346,2,2,1785.90
PED-2023-002347,2,2,504.56
PED-2023-002348,2,2,797.60
PED-2023-002349,2,2,1437.50
PED-2023-002350,2,2,477.86
PED-2023-002351,2,2,1167.08
PED-2023-002352,2,2,1120.36
PED-2023-002353,2,2,798.02
PED-2023-002354,2,2,1495.67
PED-2023-002355,2,2,725.21
PED-2023-002356,2,2,996.58
PED-2023-002357,2,2,1883.38
PED-2023-002358,2,2,527.80
PED-2023-002359,2,2,1473.25
PED-2023-002360,2,2,1295.64
PED-2023-002361,2,2,913.34
PED-2023-002362,2,2,1947.37
PED-2023-002363,2,2,1010.23
PED-2023-002364,2,2,1407.37
PED-2023-002365,2,2,2397.08
PED-2023-002366,2,2,725.31
PED-2023-002367,2,2,2037.20
PED-2023-002368,2,2,2172.52
PED-2023-002369,2,2,1389.86
PED-2023-002370,2,2,2794.22
PED-2023-002371,2,2,1589.60
PED-2023-002372,2,2,1981.28
PED-2023-002373,2,2,2281.42
PED-2023-002374,2,2,609.38
PED-2023-002375,2,2,1726.04
PED-2023-002376,2,2,2545.16
PED-2023-002377,2,2,1072.02
PED-2023-002378,2,2,1391.34
PED-2023-002379,2,2,1490.96
PED-2023-002380,2,2,994.88
PED-2023-002381,2,2,1897.82
PED-2023-002382,2,2,499.78
PED-2023-002383,2,2,1452.04
PED-2023-002384,2,2,769.64
PED-2023-002385,2,2,600.74
PED-2023-002386,2,2,1215.98
PED-2023-002387,2,2,625.12
PED-2023-002388,2,2,729.35
PED-2023-002389,2,2,1478.31
PED-2023-002390,2,2,476.23
PED-2023-002391,2,2,1113.62
PED-2023-002392,2,2,1134.18
PED-2023-002393,2,2,703.68
PED-2023-002394,2,2,1604.69
PED-2023-002395,2,2,824.33
PED-2023-002396,2,2,1107.28
PED-2023-002397,2,2,2084.45
PED-2023-002398,2,2,579.31
PED-2023-002399,2,2,1620.20
PED-2023-002400,2,2,1440.38
PED-2023-002401,2,2,1192.58
PED-2023-002402,2,2,2399.66
PED-2023-002403,2,2,1348.48
PED-2023-002404,2,2,1718.24
PED-2023-002405,2,2,3048.62
PED-2023-002406,2,2,938.18
PED-2023-002407,2,2,2317.88
PED-2023-002408,2,2,2347.88
PED-2023-002409,2,2,1488.50
PED-2023-002410,2,2,1917.42
PED-2023-002411,2,2,1403.28
PED-2023-002412,2,2,1345.60
PED-2023-002413,2,2,2511.58
PED-2023-002414,2,2,675.14
PED-2023-002415,2,2,1890.44
PED-2023-002416,2,2,1493.00
PED-2023-002417,2,2,710.34
PED-2023-002418,2,2,1588.62
PED-2023-002419,2,2,1611.52
PED-2023-002420,2,2,1126.40
PED-2023-002421,2,2,1025.29
PED-2023-002422,2,2,372.77
PED-2023-002423,2,2,786.87
PED-2023-002424,2,2,862.68
PED-2023-002425,2,2,608.11
PED-2023-002426,2,2,1181.73
PED-2023-002427,2,2,609.20
PED-2023-002428,2,2,833.46
PED-2023-002429,2,2,1684.35
PED-2023-002430,2,2,532.67
PED-2023-002431,2,2,1252.26
PED-2023-002432,2,2,1284.87
PED-2023-002433,2,2,781.49
PED-2023-002434,2,2,2005.10
PED-2023-002435,2,2,1107.36
PED-2023-002436,2,2,1455.20
PED-2023-002437,2,2,2588.30
PED-2023-002438,2,2,806.66
PED-2023-002439,2,2,1989.08
PED-2023-002440,2,2,1997.16
PED-2023-002441,2,2,1291.22
PED-2023-002442,2,2,2596.94
PED-2023-002443,2,2,1469.04
PED-2023-002444,2,2,1849.76
PED-2023-002445,2,2,3278.78
PED-2023-002446,2,2,1003.94
PED-2023-002447,2,2,1561.64
PED-2023-002448,2,2,2369.80
PED-2023-002449,2,2,973.38
PED-2023-002450,2,2,2114.70
PED-2023-002451,2,2,1510.94
PED-2023-002452,2,2,1464.22
PED-2023-002453,2,2,1654.76
PED-2023-002454,2,2,394.06
PED-2023-002455,2,2,1067.40
PED-2023-002456,2,2,1465.07
PED-2023-002457,2,2,670.11
PED-2023-002458,2,2,1437.57
PED-2023-002459,2,2,448.12
PED-2023-002460,2,2,679.10
PED-2023-002461,2,2,1188.10
PED-2023-002462,2,2,418.49
PED-2023-002463,2,2,904.38
PED-2023-002464,2,2,1010.85
PED-2023-002465,2,2,679.05
PED-2023-002466,2,2,1335.49
PED-2023-002467,2,2,719.42
PED-2023-002468,2,2,1179.26
PED-2023-002469,2,2,2115.08
PED-2023-002470,2,2,662.24
PED-2023-002471,2,2,1647.38
PED-2023-002472,2,2,1633.54
PED-2023-002473,2,2,1081.04
PED-2023-002474,2,2,2189.48
PED-2023-002475,2,2,1215.02
PED-2023-002476,2,2,1573.82
PED-2023-002477,2,2,2805.56
PED-2023-002478,2,2,859.52
PED-2023-002479,2,2,2140.58
PED-2023-002480,2,2,2159.62
