pedido_id,numero_pedido,receita_mercadoria_liquida
955,PED-2023-000955,1115.03
956,PED-2023-000956,1144.77
957,PED-2023-000957,2173.48
958,PED-2023-000958,530.25
959,PED-2023-000959,1705.90
960,PED-2023-000960,1179.12
961,PED-2023-000961,597.39
962,PED-2023-000962,1301.54
963,PED-2023-000963,1342.64
964,PED-2023-000964,1010.86
965,PED-2023-000965,1030.08
966,PED-2023-000966,328.81
967,PED-2023-000967,950.22
968,PED-2023-000968,932.10
969,PED-2023-000969,686.48
970,PED-2023-000970,1400.36
971,PED-2023-000971,732.78
972,PED-2023-000972,1047.74
973,PED-2023-000973,1884.92
974,PED-2023-000974,596.48
975,PED-2023-000975,1482.98
976,PED-2023-000976,1458.18
977,PED-2023-000977,982.40
978,PED-2023-000978,1992.20
979,PED-2023-000979,1094.46
980,PED-2023-000980,1442.30
981,PED-2023-000981,2575.40
982,PED-2023-000982,793.76
983,PED-2023-000983,1976.18
984,PED-2023-000984,1984.26
985,PED-2023-000985,1278.32
986,PED-2023-000986,2584.04
987,PED-2023-000987,1456.14
988,PED-2023-000988,1445.30
989,PED-2023-000989,2907.73
990,PED-2023-000990,858.43
991,PED-2023-000991,1334.74
992,PED-2023-000992,2038.06
993,PED-2023-000993,775.18
994,PED-2023-000994,1914.07
995,PED-2023-000995,1214.23
996,PED-2023-000996,1255.47
997,PED-2023-000997,1354.23
998,PED-2023-000998,336.24
999,PED-2023-000999,1162.31
1000,PED-2023-001000,1320.10
1001,PED-2023-001001,796.08
1002,PED-2023-001002,1773.00
1003,PED-2023-001003,491.66
1004,PED-2023-001004,784.70
1005,PED-2023-001005,1424.60
1006,PED-2023-001006,464.96
1007,PED-2023-001007,1154.18
1008,PED-2023-001008,1107.46
1009,PED-2023-001009,785.12
1010,PED-2023-001010,1597.64
1011,PED-2023-001011,853.34
1012,PED-2023-001012,1179.26
1013,PED-2023-001013,2115.08
1014,PED-2023-001014,662.24
1015,PED-2023-001015,1647.38
1016,PED-2023-001016,1633.54
1017,PED-2023-001017,1081.04
1018,PED-2023-001018,2189.48
1019,PED-2023-001019,1215.02
1020,PED-2023-001020,1573.82
1021,PED-2023-001021,2420.22
1022,PED-2023-001022,770.32
1023,PED-2023-001023,1686.90
1024,PED-2023-001024,1977.47
1025,PED-2023-001025,1182.11
1026,PED-2023-001026,2335.06
1027,PED-2023-001027,1267.60
1028,PED-2023-001028,1549.40
1029,PED-2023-001029,2070.46
1030,PED-2023-001030,477.56
1031,PED-2023-001031,1473.39
1032,PED-2023-001032,2188.82
1033,PED-2023-001033,852.96
1034,PED-2023-001034,1378.44
1035,PED-2023-001035,1478.06
1036,PED-2023-001036,981.98
1037,PED-2023-001037,1884.92
1038,PED-2023-001038,486.88
1039,PED-2023-001039,1439.14
1040,PED-2023-001040,756.74
1041,PED-2023-001041,587.84
1042,PED-2023-001042,1203.08
1043,PED-2023-001043,612.22
1044,PED-2023-001044,916.22
1045,PED-2023-001045,1654.76
1046,PED-2023-001046,530.72
1047,PED-2023-001047,1318.58
1048,PED-2023-001048,1282.82
1049,PED-2023-001049,883.76
1050,PED-2023-001050,1794.92
1051,PED-2023-001051,973.90
1052,PED-2023-001052,1310.78
1053,PED-2023-001053,2345.24
1054,PED-2023-001054,666.44
1055,PED-2023-001055,1546.96
1056,PED-2023-001056,1564.86
1057,PED-2023-001057,1049.87
1058,PED-2023-001058,1882.52
1059,PED-2023-001059,1230.63
1060,PED-2023-001060,1457.85
1061,PED-2023-001061,2549.91
1062,PED-2023-001062,828.94
1063,PED-2023-001063,1817.31
1064,PED-2023-001064,2138.69
1065,PED-2023-001065,1265.95
1066,PED-2023-001066,1642.36
1067,PED-2023-001067,1103.02
1068,PED-2023-001068,1332.70
1069,PED-2023-001069,2498.68
1070,PED-2023-001070,662.24
1071,PED-2023-001071,1877.54
1072,PED-2023-001072,1480.10
1073,PED-2023-001073,697.44
1074,PED-2023-001074,1575.72
1075,PED-2023-001075,1598.62
1076,PED-2023-001076,1113.50
1077,PED-2023-001077,1194.44
1078,PED-2023-001078,399.20
1079,PED-2023-001079,989.78
1080,PED-2023-001080,932.10
1081,PED-2023-001081,686.48
1082,PED-2023-001082,1400.36
1083,PED-2023-001083,732.78
1084,PED-2023-001084,1047.74
1085,PED-2023-001085,1884.92
1086,PED-2023-001086,596.48
1087,PED-2023-001087,1482.98
1088,PED-2023-001088,1187.27
1089,PED-2023-001089,866.81
1090,PED-2023-001090,1699.36
1091,PED-2023-001091,952.33
1092,PED-2023-001092,1279.51
1093,PED-2023-001093,2032.12
1094,PED-2023-001094,697.29
1095,PED-2023-001095,1685.56
1096,PED-2023-001096,1717.20
1097,PED-2023-001097,1136.98
1098,PED-2023-001098,2039.23
1099,PED-2023-001099,1342.50
1100,PED-2023-001100,1612.16
1101,PED-2023-001101,3265.88
1102,PED-2023-001102,991.04
1103,PED-2023-001103,1548.74
1104,PED-2023-001104,2356.90
1105,PED-2023-001105,960.48
1106,PED-2023-001106,2101.80
1107,PED-2023-001107,1510.94
1108,PED-2023-001108,1464.22
1109,PED-2023-001109,1654.76
1110,PED-2023-001110,421.12
1111,PED-2023-001111,1274.74
1112,PED-2023-001112,1655.46
1113,PED-2023-001113,796.08
1114,PED-2023-001114,1773.00
1115,PED-2023-001115,491.66
1116,PED-2023-001116,784.70
1117,PED-2023-001117,1424.60
1118,PED-2023-001118,464.96
1119,PED-2023-001119,1154.18
1120,PED-2023-001120,1107.46
1121,PED-2023-001121,663.94
1122,PED-2023-001122,1416.66
1123,PED-2023-001123,698.19
1124,PED-2023-001124,1042.64
1125,PED-2023-001125,1803.86
1126,PED-2023-001126,547.99
1127,PED-2023-001127,1459.33
1128,PED-2023-001128,1330.82
1129,PED-2023-001129,954.49
1130,PED-2023-001130,1865.40
1131,PED-2023-001131,1058.13
1132,PED-2023-001132,1395.16
1133,PED-2023-001133,2215.13
1134,PED-2023-001134,859.52
1135,PED-2023-001135,2140.58
1136,PED-2023-001136,2159.62
1137,PED-2023-001137,1376.96
1138,PED-2023-001138,2781.32
1139,PED-2023-001139,1576.70
1140,PED-2023-001140,1968.38
1141,PED-2023-001141,2268.52
1142,PED-2023-001142,596.48
1143,PED-2023-001143,1713.14
1144,PED-2023-001144,2532.26
1145,PED-2023-001145,1059.12
1146,PED-2023-001146,1378.44
1147,PED-2023-001147,1478.06
1148,PED-2023-001148,981.98
1149,PED-2023-001149,1884.92
1150,PED-2023-001150,486.88
1151,PED-2023-001151,1439.14
1152,PED-2023-001152,756.74
1153,PED-2023-001153,587.84
1154,PED-2023-001154,1111.17
1155,PED-2023-001155,513.89
1156,PED-2023-001156,762.26
1157,PED-2023-001157,1468.26
1158,PED-2023-001158,411.88
1159,PED-2023-001159,1166.64
1160,PED-2023-001160,1007.61
1161,PED-2023-001161,734.93
1162,PED-2023-001162,1589.24
1163,PED-2023-001163,797.88
1164,PED-2023-001164,1159.91
1165,PED-2023-001165,1997.30
1166,PED-2023-001166,602.81
1167,PED-2023-001167,1717.42
1168,PED-2023-001168,1808.90
1169,PED-2023-001169,1179.68
1170,PED-2023-001170,2386.76
1171,PED-2023-001171,1335.58
1172,PED-2023-001172,1705.34
1173,PED-2023-001173,3035.72
1174,PED-2023-001174,925.28
1175,PED-2023-001175,2304.98
1176,PED-2023-001176,2334.98
1177,PED-2023-001177,1475.60
1178,PED-2023-001178,1904.52
1179,PED-2023-001179,1390.38
1180,PED-2023-001180,1332.70
1181,PED-2023-001181,2498.68
1182,PED-2023-001182,662.24
1183,PED-2023-001183,1877.54
1184,PED-2023-001184,1480.10
1185,PED-2023-001185,697.44
1186,PED-2023-001186,1575.72
1187,PED-2023-001187,1598.62
1188,PED-2023-001188,899.46
1189,PED-2023-001189,1053.34
1190,PED-2023-001190,350.43
1191,PED-2023-001191,823.45
1192,PED-2023-001192,819.92
1193,PED-2023-001193,535.12
1194,PED-2023-001194,1238.90
1195,PED-2023-001195,613.09
1196,PED-2023-001196,872.97
1197,PED-2023-001197,1669.33
1198,PED-2023-001198,463.38
1199,PED-2023-001199,1313.55
1200,PED-2023-001200,1151.33
1201,PED-2023-001201,982.40
1202,PED-2023-001202,1992.20
1203,PED-2023-001203,1094.46
1204,PED-2023-001204,1442.30
1205,PED-2023-001205,2575.40
1206,PED-2023-001206,793.76
1207,PED-2023-001207,1976.18
1208,PED-2023-001208,1984.26
1209,PED-2023-001209,1278.32
1210,PED-2023-001210,2584.04
1211,PED-2023-001211,1456.14
1212,PED-2023-001212,1836.86
1213,PED-2023-001213,3265.88
1214,PED-2023-001214,991.04
1215,PED-2023-001215,1548.74
1216,PED-2023-001216,2356.90
1217,PED-2023-001217,960.48
1218,PED-2023-001218,2101.80
1219,PED-2023-001219,1510.94
1220,PED-2023-001220,1464.22
1221,PED-2023-001221,1530.79
1222,PED-2023-001222,357.66
1223,PED-2023-001223,1034.79
1224,PED-2023-001224,1547.89
1225,PED-2023-001225,673.01
1226,PED-2023-001226,1526.19
1227,PED-2023-001227,404.51
1228,PED-2023-001228,612.31
1229,PED-2023-001229,1259.38
1230,PED-2023-001230,406.87
1231,PED-2023-001231,962.11
1232,PED-2023-001232,970.60
1233,PED-2023-001233,612.95
1234,PED-2023-001234,1597.64
1235,PED-2023-001235,853.34
1236,PED-2023-001236,1179.26
1237,PED-2023-001237,2115.08
1238,PED-2023-001238,662.24
1239,PED-2023-001239,1647.38
1240,PED-2023-001240,1633.54
1241,PED-2023-001241,1081.04
1242,PED-2023-001242,2189.48
1243,PED-2023-001243,1215.02
1244,PED-2023-001244,1573.82
1245,PED-2023-001245,2805.56
1246,PED-2023-001246,859.52
1247,PED-2023-001247,2140.58
1248,PED-2023-001248,2159.62
1249,PED-2023-001249,1376.96
1250,PED-2023-001250,2781.32
1251,PED-2023-001251,1576.70
1252,PED-2023-001252,1968.38
1253,PED-2023-001253,2268.52
1254,PED-2023-001254,579.29
1255,PED-2023-001255,1365.56
1256,PED-2023-001256,2203.83
1257,PED-2023-001257,933.13
1258,PED-2023-001258,1124.10
1259,PED-2023-001259,1390.66
1260,PED-2023-001260,824.90
1261,PED-2023-001261,1627.67
1262,PED-2023-001262,416.28
1263,PED-2023-001263,1165.20
1264,PED-2023-001264,688.64
1265,PED-2023-001265,511.33
1266,PED-2023-001266,1002.35
1267,PED-2023-001267,522.14
1268,PED-2023-001268,916.22
1269,PED-2023-001269,1654.76
1270,PED-2023-001270,530.72
1271,PED-2023-001271,1318.58
1272,PED-2023-001272,1282.82
1273,PED-2023-001273,883.76
1274,PED-2023-001274,1794.92
1275,PED-2023-001275,973.90
1276,PED-2023-001276,1310.78
1277,PED-2023-001277,2345.24
1278,PED-2023-001278,728.00
1279,PED-2023-001279,1811.78
1280,PED-2023-001280,1808.90
1281,PED-2023-001281,1179.68
1282,PED-2023-001282,2386.76
1283,PED-2023-001283,1335.58
1284,PED-2023-001284,1705.34
1285,PED-2023-001285,3035.72
1286,PED-2023-001286,925.28
1287,PED-2023-001287,2304.98
1288,PED-2023-001288,1905.15
1289,PED-2023-001289,1305.21
1290,PED-2023-001290,1509.19
1291,PED-2023-001291,1235.63
1292,PED-2023-001292,1167.20
1293,PED-2023-001293,2026.64
1294,PED-2023-001294,596.47
1295,PED-2023-001295,1504.16
1296,PED-2023-001296,1312.80
1297,PED-2023-001297,582.93
1298,PED-2023-001298,1280.81
1299,PED-2023-001299,1502.52
1300,PED-2023-001300,954.56
1301,PED-2023-001301,1194.44
1302,PED-2023-001302,399.20
1303,PED-2023-001303,989.78
1304,PED-2023-001304,932.10
1305,PED-2023-001305,686.48
1306,PED-2023-001306,1400.36
1307,PED-2023-001307,732.78
1308,PED-2023-001308,1047.74
1309,PED-2023-001309,1884.92
1310,PED-2023-001310,596.48
1311,PED-2023-001311,1482.98
1312,PED-2023-001312,1458.18
1313,PED-2023-001313,982.40
1314,PED-2023-001314,1992.20
1315,PED-2023-001315,1094.46
1316,PED-2023-001316,1442.30
1317,PED-2023-001317,2575.40
1318,PED-2023-001318,793.76
1319,PED-2023-001319,1976.18
1320,PED-2023-001320,1984.26
1321,PED-2023-001321,1088.64
1322,PED-2023-001322,2279.76
1323,PED-2023-001323,1196.87
1324,PED-2023-001324,1629.00
1325,PED-2023-001325,2771.08
1326,PED-2023-001326,821.99
1327,PED-2023-001327,1351.41
1328,PED-2023-001328,1933.62
1329,PED-2023-001329,871.21
1330,PED-2023-001330,1675.23
1331,PED-2023-001331,1341.45
1332,PED-2023-001332,1282.80
1333,PED-2023-001333,1350.40
1334,PED-2023-001334,421.12
1335,PED-2023-001335,1274.74
1336,PED-2023-001336,1655.46
1337,PED-2023-001337,796.08
1338,PED-2023-001338,1773.00
1339,PED-2023-001339,491.66
1340,PED-2023-001340,784.70
1341,PED-2023-001341,1424.60
1342,PED-2023-001342,464.96
1343,PED-2023-001343,1154.18
1344,PED-2023-001344,1107.46
1345,PED-2023-001345,785.12
1346,PED-2023-001346,1597.64
1347,PED-2023-001347,853.34
1348,PED-2023-001348,1179.26
1349,PED-2023-001349,2115.08
1350,PED-2023-001350,662.24
1351,PED-2023-001351,1647.38
1352,PED-2023-001352,1633.54
1353,PED-2023-001353,1081.04
1354,PED-2023-001354,2040.03
1355,PED-2023-001355,1009.83
1356,PED-2023-001356,1315.74
1357,PED-2023-001357,2473.84
1358,PED-2023-001358,669.44
1359,PED-2023-001359,1900.96
1360,PED-2023-001360,1695.35
1361,PED-2023-001361,1148.67
1362,PED-2023-001362,2452.34
1363,PED-2023-001363,1296.56
1364,PED-2023-001364,1746.27
1365,PED-2023-001365,1798.36
1366,PED-2023-001366,508.56
1367,PED-2023-001367,1563.98
1368,PED-2023-001368,2532.26
1369,PED-2023-001369,1059.12
1370,PED-2023-001370,1378.44
1371,PED-2023-001371,1478.06
1372,PED-2023-001372,981.98
1373,PED-2023-001373,1884.92
1374,PED-2023-001374,486.88
1375,PED-2023-001375,1439.14
1376,PED-2023-001376,756.74
1377,PED-2023-001377,587.84
1378,PED-2023-001378,1203.08
1379,PED-2023-001379,612.22
1380,PED-2023-001380,916.22
1381,PED-2023-001381,1654.76
1382,PED-2023-001382,530.72
1383,PED-2023-001383,1318.58
1384,PED-2023-001384,1282.82
1385,PED-2023-001385,883.76
1386,PED-2023-001386,1794.92
1387,PED-2023-001387,973.90
1388,PED-2023-001388,1028.80
1389,PED-2023-001389,2083.58
1390,PED-2023-001390,632.65
1391,PED-2023-001391,1516.67
1392,PED-2023-001392,1573.42
1393,PED-2023-001393,924.20
1394,PED-2023-001394,2121.18
1395,PED-2023-001395,1109.03
1396,PED-2023-001396,1426.45
1397,PED-2023-001397,2674.91
1398,PED-2023-001398,720.94
1399,PED-2023-001399,2047.87
1400,PED-2023-001400,1841.81
1401,PED-2023-001401,1475.60
1402,PED-2023-001402,1904.52
1403,PED-2023-001403,1390.38
1404,PED-2023-001404,1332.70
1405,PED-2023-001405,2498.68
1406,PED-2023-001406,662.24
1407,PED-2023-001407,1877.54
1408,PED-2023-001408,1480.10
1409,PED-2023-001409,697.44
1410,PED-2023-001410,1575.72
1411,PED-2023-001411,1598.62
1412,PED-2023-001412,1113.50
1413,PED-2023-001413,1194.44
1414,PED-2023-001414,399.20
1415,PED-2023-001415,989.78
1416,PED-2023-001416,932.10
1417,PED-2023-001417,686.48
1418,PED-2023-001418,1400.36
1419,PED-2023-001419,732.78
1420,PED-2023-001420,1047.74
1421,PED-2023-001421,1615.73
1422,PED-2023-001422,535.76
1423,PED-2023-001423,1165.19
1424,PED-2023-001424,1333.13
1425,PED-2023-001425,846.73
1426,PED-2023-001426,1668.65
1427,PED-2023-001427,884.01
1428,PED-2023-001428,1132.91
1429,PED-2023-001429,2289.62
1430,PED-2023-001430,689.09
1431,PED-2023-001431,1655.33
1432,PED-2023-001432,1724.10
1433,PED-2023-001433,1002.03
1434,PED-2023-001434,2584.04
1435,PED-2023-001435,1456.14
1436,PED-2023-001436,1836.86
1437,PED-2023-001437,3265.88
1438,PED-2023-001438,991.04
1439,PED-2023-001439,1548.74
1440,PED-2023-001440,2356.90
1441,PED-2023-001441,960.48
1442,PED-2023-001442,2101.80
1443,PED-2023-001443,1510.94
1444,PED-2023-001444,1464.22
1445,PED-2023-001445,1654.76
1446,PED-2023-001446,421.12
1447,PED-2023-001447,1274.74
1448,PED-2023-001448,1655.46
1449,PED-2023-001449,796.08
1450,PED-2023-001450,1773.00
1451,PED-2023-001451,491.66
1452,PED-2023-001452,784.70
1453,PED-2023-001453,1424.60
1454,PED-2023-001454,423.11
1455,PED-2023-001455,992.34
1456,PED-2023-001456,955.48
1457,PED-2023-001457,701.32
1458,PED-2023-001458,1255.59
1459,PED-2023-001459,783.54
1460,PED-2023-001460,1012.84
1461,PED-2023-001461,1771.77
1462,PED-2023-001462,594.38
1463,PED-2023-001463,1295.64
1464,PED-2023-001464,1494.20
1465,PED-2023-001465,930.55
1466,PED-2023-001466,1835.31
1467,PED-2023-001467,1015.34
1468,PED-2023-001468,1573.82
1469,PED-2023-001469,2805.56
1470,PED-2023-001470,859.52
1471,PED-2023-001471,2140.58
1472,PED-2023-001472,2159.62
1473,PED-2023-001473,1376.96
1474,PED-2023-001474,2781.32
1475,PED-2023-001475,1576.70
1476,PED-2023-001476,1968.38
1477,PED-2023-001477,2268.52
1478,PED-2023-001478,596.48
1479,PED-2023-001479,1713.14
1480,PED-2023-001480,2532.26
1481,PED-2023-001481,1059.12
1482,PED-2023-001482,1378.44
1483,PED-2023-001483,1478.06
1484,PED-2023-001484,981.98
1485,PED-2023-001485,1884.92
1486,PED-2023-001486,486.88
1487,PED-2023-001487,1439.14
1488,PED-2023-001488,612.94
1489,PED-2023-001489,516.09
1490,PED-2023-001490,1035.18
1491,PED-2023-001491,529.31
1492,PED-2023-001492,817.02
1493,PED-2023-001493,1299.97
1494,PED-2023-001494,464.96
1495,PED-2023-001495,1130.98
1496,PED-2023-001496,1107.82
1497,PED-2023-001497,788.43
1498,PED-2023-001498,1412.35
1499,PED-2023-001499,895.32
1500,PED-2023-001500,1156.23
1501,PED-2023-001501,2345.24
1502,PED-2023-001502,728.00
1503,PED-2023-001503,1811.78
1504,PED-2023-001504,1808.90
1505,PED-2023-001505,1179.68
1506,PED-2023-001506,2386.76
1507,PED-2023-001507,1335.58
1508,PED-2023-001508,1705.34
1509,PED-2023-001509,3035.72
1510,PED-2023-001510,925.28
1511,PED-2023-001511,2304.98
1512,PED-2023-001512,2334.98
1513,PED-2023-001513,1475.60
1514,PED-2023-001514,1904.52
1515,PED-2023-001515,1390.38
1516,PED-2023-001516,1332.70
1517,PED-2023-001517,2498.68
1518,PED-2023-001518,662.24
1519,PED-2023-001519,1877.54
1520,PED-2023-001520,1480.10
1521,PED-2023-001521,631.05
1522,PED-2023-001522,1301.54
1523,PED-2023-001523,1342.64
1524,PED-2023-001524,1010.86
1525,PED-2023-001525,1030.08
1526,PED-2023-001526,328.81
1527,PED-2023-001527,882.86
1528,PED-2023-001528,756.56
1529,PED-2023-001529,603.77
1530,PED-2023-001530,1201.22
1531,PED-2023-001531,635.05
1532,PED-2023-001532,932.62
1533,PED-2023-001533,1483.04
1534,PED-2023-001534,596.48
1535,PED-2023-001535,1482.98
1536,PED-2023-001536,1458.18
1537,PED-2023-001537,982.40
1538,PED-2023-001538,1992.20
1539,PED-2023-001539,1094.46
1540,PED-2023-001540,1442.30
1541,PED-2023-001541,2575.40
1542,PED-2023-001542,793.76
1543,PED-2023-001543,1976.18
1544,PED-2023-001544,1984.26
1545,PED-2023-001545,1278.32
1546,PED-2023-001546,2584.04
1547,PED-2023-001547,1456.14
1548,PED-2023-001548,1836.86
1549,PED-2023-001549,3265.88
1550,PED-2023-001550,991.04
1551,PED-2023-001551,1548.74
1552,PED-2023-001552,2356.90
1553,PED-2023-001553,960.48
1554,PED-2023-001554,2055.95
1555,PED-2023-001555,1214.23
1556,PED-2023-001556,1255.47
1557,PED-2023-001557,1354.23
1558,PED-2023-001558,336.24
1559,PED-2023-001559,1162.31
1560,PED-2023-001560,1316.69
1561,PED-2023-001561,680.15
1562,PED-2023-001562,1474.19
1563,PED-2023-001563,398.96
1564,PED-2023-001564,690.77
1565,PED-2023-001565,1223.52
1566,PED-2023-001566,383.62
1567,PED-2023-001567,1103.66
1568,PED-2023-001568,1107.46
1569,PED-2023-001569,785.12
1570,PED-2023-001570,1597.64
1571,PED-2023-001571,853.34
1572,PED-2023-001572,1179.26
1573,PED-2023-001573,2115.08
1574,PED-2023-001574,662.24
1575,PED-2023-001575,1647.38
1576,PED-2023-001576,1633.54
1577,PED-2023-001577,1081.04
1578,PED-2023-001578,2189.48
1579,PED-2023-001579,1215.02
1580,PED-2023-001580,1573.82
1581,PED-2023-001581,2805.56
1582,PED-2023-001582,859.52
1583,PED-2023-001583,2140.58
1584,PED-2023-001584,2159.62
1585,PED-2023-001585,1376.96
1586,PED-2023-001586,2781.32
1587,PED-2023-001587,1576.70
1588,PED-2023-001588,1549.40
1589,PED-2023-001589,2070.46
1590,PED-2023-001590,477.56
1591,PED-2023-001591,1473.39
1592,PED-2023-001592,2188.82
1593,PED-2023-001593,852.96
1594,PED-2023-001594,1261.98
1595,PED-2023-001595,1198.37
1596,PED-2023-001596,844.50
1597,PED-2023-001597,1555.38
1598,PED-2023-001598,387.76
1599,PED-2023-001599,1309.11
1600,PED-2023-001600,598.96
1601,PED-2023-001601,587.84
1602,PED-2023-001602,1203.08
1603,PED-2023-001603,612.22
1604,PED-2023-001604,916.22
1605,PED-2023-001605,1654.76
1606,PED-2023-001606,530.72
1607,PED-2023-001607,1318.58
1608,PED-2023-001608,1282.82
1609,PED-2023-001609,883.76
1610,PED-2023-001610,1794.92
1611,PED-2023-001611,973.90
1612,PED-2023-001612,1310.78
1613,PED-2023-001613,2345.24
1614,PED-2023-001614,728.00
1615,PED-2023-001615,1811.78
1616,PED-2023-001616,1808.90
1617,PED-2023-001617,1179.68
1618,PED-2023-001618,2386.76
1619,PED-2023-001619,1335.58
1620,PED-2023-001620,1705.34
1621,PED-2023-001621,2621.31
1622,PED-2023-001622,828.94
1623,PED-2023-001623,1817.31
1624,PED-2023-001624,2138.69
1625,PED-2023-001625,1265.95
1626,PED-2023-001626,1642.36
1627,PED-2023-001627,1087.31
1628,PED-2023-001628,1078.11
1629,PED-2023-001629,2276.42
1630,PED-2023-001630,534.03
1631,PED-2023-001631,1612.05
1632,PED-2023-001632,1173.34
1633,PED-2023-001633,562.54
1634,PED-2023-001634,1575.72
1635,PED-2023-001635,1598.62
1636,PED-2023-001636,1113.50
1637,PED-2023-001637,1194.44
1638,PED-2023-001638,399.20
1639,PED-2023-001639,989.78
1640,PED-2023-001640,932.10
1641,PED-2023-001641,686.48
1642,PED-2023-001642,1400.36
1643,PED-2023-001643,732.78
1644,PED-2023-001644,1047.74
1645,PED-2023-001645,1884.92
1646,PED-2023-001646,596.48
1647,PED-2023-001647,1482.98
1648,PED-2023-001648,1458.18
1649,PED-2023-001649,982.40
1650,PED-2023-001650,1992.20
1651,PED-2023-001651,1094.46
1652,PED-2023-001652,1442.30
1653,PED-2023-001653,2575.40
1654,PED-2023-001654,727.25
1655,PED-2023-001655,1685.56
1656,PED-2023-001656,1717.20
1657,PED-2023-001657,1136.98
1658,PED-2023-001658,2039.23
1659,PED-2023-001659,1342.50
1660,PED-2023-001660,1569.06
1661,PED-2023-001661,2744.47
1662,PED-2023-001662,887.56
1663,PED-2023-001663,1257.28
1664,PED-2023-001664,2169.33
1665,PED-2023-001665,766.73
1666,PED-2023-001666,1808.95
1667,PED-2023-001667,1201.66
1668,PED-2023-001668,1464.22
1669,PED-2023-001669,1654.76
1670,PED-2023-001670,421.12
1671,PED-2023-001671,1274.74
1672,PED-2023-001672,1655.46
1673,PED-2023-001673,796.08
1674,PED-2023-001674,1773.00
1675,PED-2023-001675,491.66
1676,PED-2023-001676,784.70
1677,PED-2023-001677,1424.60
1678,PED-2023-001678,464.96
1679,PED-2023-001679,1154.18
1680,PED-2023-001680,1107.46
1681,PED-2023-001681,785.12
1682,PED-2023-001682,1597.64
1683,PED-2023-001683,853.34
1684,PED-2023-001684,1179.26
1685,PED-2023-001685,2115.08
