numero_pedido,saldo_financeiro,total_esperado,diferenca
PED-2023-000200,0,0,0
PED-2023-000201,0,0,0
PED-2023-000202,0,0,0
PED-2023-000203,0,0,0
PED-2023-000204,0,0,0
PED-2023-000205,0,0,0
PED-2023-000206,0,0,0
PED-2023-000207,0,0,0
PED-2023-000208,0,0,0
PED-2023-000209,0,0,0
PED-2023-000210,0,0,0
PED-2023-000211,0,0,0
PED-2023-000212,0,0,0
PED-2023-000213,0,0,0
PED-2023-000214,0,0,0
PED-2023-000215,0,0,0
PED-2023-000216,0,0,0
PED-2023-000217,0,0,0
PED-2023-000218,0,0,0
PED-2023-000219,0,0,0
PED-2023-000220,0,0,0
PED-2023-000221,0,0,0
PED-2023-000222,0,0,0
PED-2023-000223,0,0,0
PED-2023-000224,0,0,0
PED-2023-000225,0,0,0
PED-2023-000226,0,0,0
PED-2023-000227,0,0,0
PED-2023-000228,0,0,0
PED-2023-000229,0,0,0
PED-2023-000230,0,0,0
PED-2023-000231,0,0,0
PED-2023-000232,0,0,0
PED-2023-000233,0,0,0
PED-2023-000234,0,0,0
PED-2023-000235,0,0,0
PED-2023-000236,0,0,0
PED-2023-000237,0,0,0
PED-2023-000238,0,0,0
PED-2023-000239,0,0,0
PED-2023-000240,0,0,0
PED-2023-000241,0,0,0
PED-2023-000242,0,0,0
PED-2023-000243,0,0,0
PED-2023-000244,0,0,0
PED-2023-000245,0,0,0
PED-2023-000246,0,0,0
PED-2023-000247,0,0,0
PED-2023-000248,0,0,0
PED-2023-000249,0,0,0
PED-2023-000250,0,0,0
PED-2023-000251,0,0,0
PED-2023-000252,0,0,0
PED-2023-000253,0,0,0
PED-2023-000254,0,0,0
PED-2023-000255,0,0,0
PED-2023-000256,0,0,0
PED-2023-000257,0,0,0
PED-2023-000258,0,0,0
PED-2023-000259,0,0,0
PED-2023-000260,0,0,0
PED-2023-000261,0,0,0
PED-2023-000262,0,0,0
PED-2023-000263,0,0,0
PED-2023-000264,0,0,0
PED-2023-000265,0,0,0
PED-2023-000266,0,0,0
PED-2023-000267,0,0,0
PED-2023-000268,0,0,0
PED-2023-000269,0,0,0
PED-2023-000270,0,0,0
PED-2023-000271,0,0,0
PED-2023-000272,0,0,0
PED-2023-000273,0,0,0
PED-2023-000274,0,0,0
PED-2023-000275,0,0,0
PED-2023-000276,0,0,0
PED-2023-000277,0,0,0
PED-2023-000278,0,0,0
PED-2023-000279,0,0,0
PED-2023-000280,0,0,0
PED-2023-000281,0,0,0
PED-2023-000282,0,0,0
PED-2023-000283,0,0,0
PED-2023-000284,0,0,0
PED-2023-000285,0,0,0
PED-2023-000286,0,0,0
PED-2023-000287,0,0,0
PED-2023-000288,0,0,0
PED-2023-000289,0,0,0
PED-2023-000290,0,0,0
PED-2023-000291,0,0,0
PED-2023-000292,0,0,0
PED-2023-000293,0,0,0
PED-2023-000294,0,0,0
PED-2023-000295,0,0,0
PED-2023-000296,0,0,0
PED-2023-000297,0,0,0
PED-2023-000298,0,0,0
PED-2023-000299,0,0,0
PED-2023-000300,0,0,0
PED-2023-000301,0,0,0
PED-2023-000302,0,0,0
PED-2023-000303,0,0,0
PED-2023-000304,0,0,0
PED-2023-000305,0,0,0
PED-2023-000306,0,0,0
PED-2023-000307,0,0,0
PED-2023-000308,0,0,0
PED-2023-000309,0,0,0
PED-2023-000310,0,0,0
PED-2023-000311,0,0,0
PED-2023-000312,0,0,0
PED-2023-000313,0,0,0
PED-2023-000314,0,0,0
PED-2023-000315,0,0,0
PED-2023-000316,0,0,0
PED-2023-000317,0,0,0
PED-2023-000318,0,0,0
PED-2023-000319,0,0,0
PED-2023-000320,0,0,0
PED-2023-000321,0,0,0
PED-2023-000322,0,0,0
PED-2023-000323,0,0,0
PED-2023-000324,0,0,0
PED-2023-000325,0,0,0
PED-2023-000326,0,0,0
PED-2023-000327,0,0,0
PED-2023-000328,0,0,0
PED-2023-000329,0,0,0
PED-2023-000330,0,0,0
PED-2023-000331,0,0,0
PED-2023-000332,0,0,0
PED-2023-000333,0,0,0
PED-2023-000334,0,0,0
PED-2023-000335,0,0,0
PED-2023-000336,0,0,0
PED-2023-000337,0,0,0
PED-2023-000338,0,0,0
PED-2023-000339,0,0,0
PED-2023-000340,0,0,0
PED-2023-000341,0,0,0
PED-2023-000342,0,0,0
PED-2023-000343,0,0,0
PED-2023-000344,0,0,0
PED-2023-000345,0,0,0
PED-2023-000346,0,0,0
PED-2023-000347,0,0,0
PED-2023-000348,0,0,0
PED-2023-000349,0,0,0
PED-2023-000350,0,0,0
PED-2023-000351,0,0,0
PED-2023-000352,0,0,0
PED-2023-000353,0,0,0
PED-2023-000354,0,0,0
PED-2023-000355,0,0,0
PED-2023-000356,0,0,0
PED-2023-000357,0,0,0
PED-2023-000358,0,0,0
PED-2023-000359,0,0,0
PED-2023-000360,0,0,0
PED-2023-000361,0,0,0
PED-2023-000362,0,0,0
PED-2023-000363,0,0,0
PED-2023-000364,0,0,0
PED-2023-000365,0,0,0
PED-2023-000366,0,0,0
PED-2023-000367,0,0,0
PED-2023-000368,0,0,0
PED-2023-000369,0,0,0
PED-2023-000370,0,0,0
PED-2023-000371,0,0,0
PED-2023-000372,0,0,0
PED-2023-000373,0,0,0
PED-2023-000374,0,0,0
PED-2023-000375,0,0,0
PED-2023-000376,0,0,0
PED-2023-000377,0,0,0
PED-2023-000378,0,0,0
PED-2023-000379,0,0,0
PED-2023-000380,0,0,0
PED-2023-000381,0,0,0
PED-2023-000382,0,0,0
PED-2023-000383,0,0,0
PED-2023-000384,0,0,0
PED-2023-000385,0,0,0
PED-2023-000386,0,0,0
PED-2023-000387,0,0,0
PED-2023-000388,0,0,0
PED-2023-000389,0,0,0
PED-2023-000390,0,0,0
PED-2023-000391,0,0,0
PED-2023-000392,0,0,0
PED-2023-000393,0,0,0
PED-2023-000394,0,0,0
PED-2023-000395,0,0,0
PED-2023-000396,0,0,0
PED-2023-000397,0,0,0
PED-2023-000398,0,0,0
PED-2023-000399,0,0,0
PED-2023-000400,0,0,0
PED-2023-000401,0,0,0
PED-2023-000402,0,0,0
PED-2023-000403,0,0,0
PED-2023-000404,0,0,0
PED-2023-000405,0,0,0
PED-2023-000406,0,0,0
PED-2023-000407,0,0,0
PED-2023-000408,0,0,0
PED-2023-000409,0,0,0
PED-2023-000410,0,0,0
PED-2023-000411,0,0,0
PED-2023-000412,0,0,0
PED-2023-000413,0,0,0
PED-2023-000414,0,0,0
PED-2023-000415,0,0,0
PED-2023-000416,0,0,0
PED-2023-000417,0,0,0
PED-2023-000418,0,0,0
PED-2023-000419,0,0,0
PED-2023-000420,0,0,0
PED-2023-000421,0,0,0
PED-2023-000422,0,0,0
PED-2023-000423,0,0,0
PED-2023-000424,0,0,0
PED-2023-000425,0,0,0
PED-2023-000426,0,0,0
PED-2023-000427,0,0,0
PED-2023-000428,0,0,0
PED-2023-000429,0,0,0
PED-2023-000430,0,0,0
PED-2023-000431,0,0,0
PED-2023-000432,0,0,0
PED-2023-000433,0,0,0
PED-2023-000434,0,0,0
PED-2023-000435,0,0,0
PED-2023-000436,0,0,0
PED-2023-000437,0,0,0
PED-2023-000438,0,0,0
PED-2023-000439,0,0,0
PED-2023-000440,0,0,0
PED-2023-000441,0,0,0
PED-2023-000442,0,0,0
PED-2023-000443,0,0,0
PED-2023-000444,0,0,0
PED-2023-000445,0,0,0
PED-2023-000446,0,0,0
PED-2023-000447,0,0,0
PED-2023-000448,0,0,0
PED-2023-000449,0,0,0
PED-2023-000450,0,0,0
PED-2023-000451,0,0,0
PED-2023-000452,0,0,0
PED-2023-000453,0,0,0
PED-2023-000454,0,0,0
PED-2023-000455,0,0,0
PED-2023-000456,0,0,0
PED-2023-000457,0,0,0
PED-2023-000458,0,0,0
PED-2023-000459,0,0,0
PED-2023-000460,0,0,0
PED-2023-000461,0,0,0
PED-2023-000462,0,0,0
PED-2023-000463,0,0,0
PED-2023-000464,0,0,0
PED-2023-000465,0,0,0
PED-2023-000466,0,0,0
PED-2023-000467,0,0,0
PED-2023-000468,0,0,0
PED-2023-000469,0,0,0
PED-2023-000470,0,0,0
PED-2023-000471,0,0,0
PED-2023-000472,0,0,0
PED-2023-000473,0,0,0
PED-2023-000474,0,0,0
PED-2023-000475,0,0,0
PED-2023-000476,0,0,0
PED-2023-000477,0,0,0
PED-2023-000478,0,0,0
PED-2023-000479,0,0,0
PED-2023-000480,0,0,0
PED-2023-000481,0,0,0
PED-2023-000482,0,0,0
PED-2023-000483,0,0,0
PED-2023-000484,0,0,0
PED-2023-000485,0,0,0
PED-2023-000486,0,0,0
PED-2023-000487,0,0,0
PED-2023-000488,0,0,0
PED-2023-000489,0,0,0
PED-2023-000490,0,0,0
PED-2023-000491,0,0,0
PED-2023-000492,0,0,0
PED-2023-000493,0,0,0
PED-2023-000494,0,0,0
PED-2023-000495,0,0,0
PED-2023-000496,0,0,0
PED-2023-000497,0,0,0
PED-2023-000498,0,0,0
PED-2023-000499,0,0,0
PED-2023-000500,0,0,0
PED-2023-000501,0,0,0
PED-2023-000502,0,0,0
PED-2023-000503,0,0,0
PED-2023-000504,0,0,0
PED-2023-000505,0,0,0
PED-2023-000506,0,0,0
PED-2023-000507,0,0,0
PED-2023-000508,0,0,0
PED-2023-000509,0,0,0
PED-2023-000510,0,0,0
PED-2023-000511,0,0,0
PED-2023-000512,0,0,0
PED-2023-000513,0,0,0
PED-2023-000514,0,0,0
PED-2023-000515,0,0,0
PED-2023-000516,0,0,0
PED-2023-000517,0,0,0
PED-2023-000518,0,0,0
PED-2023-000519,0,0,0
PED-2023-000520,0,0,0
PED-2023-000521,0,0,0
PED-2023-000522,0,0,0
PED-2023-000523,0,0,0
PED-2023-000524,0,0,0
PED-2023-000525,0,0,0
PED-2023-000526,0,0,0
PED-2023-000527,0,0,0
PED-2023-000528,0,0,0
PED-2023-000529,0,0,0
PED-2023-000530,0,0,0
PED-2023-000531,0,0,0
PED-2023-000532,0,0,0
PED-2023-000533,0,0,0
PED-2023-000534,0,0,0
PED-2023-000535,0,0,0
PED-2023-000536,0,0,0
PED-2023-000537,0,0,0
PED-2023-000538,0,0,0
PED-2023-000539,0,0,0
PED-2023-000540,0,0,0
PED-2023-000541,0,0,0
PED-2023-000542,0,0,0
PED-2023-000543,0,0,0
PED-2023-000544,0,0,0
PED-2023-000545,0,0,0
PED-2023-000546,0,0,0
PED-2023-000547,0,0,0
PED-2023-000548,0,0,0
PED-2023-000549,0,0,0
PED-2023-000550,0,0,0
PED-2023-000551,0,0,0
PED-2023-000552,0,0,0
PED-2023-000553,0,0,0
PED-2023-000554,0,0,0
PED-2023-000555,0,0,0
PED-2023-000556,0,0,0
PED-2023-000557,0,0,0
PED-2023-000558,0,0,0
PED-2023-000559,0,0,0
PED-2023-000560,0,0,0
PED-2023-000561,0,0,0
PED-2023-000562,0,0,0
PED-2023-000563,0,0,0
PED-2023-000564,0,0,0
PED-2023-000565,0,0,0
PED-2023-000566,0,0,0
PED-2023-000567,0,0,0
PED-2023-000568,0,0,0
PED-2023-000569,0,0,0
PED-2023-000570,0,0,0
PED-2023-000571,0,0,0
PED-2023-000572,0,0,0
PED-2023-000573,0,0,0
PED-2023-000574,0,0,0
PED-2023-000575,0,0,0
PED-2023-000576,0,0,0
PED-2023-000577,0,0,0
PED-2023-000578,0,0,0
PED-2023-000579,0,0,0
PED-2023-000580,0,0,0
PED-2023-000581,0,0,0
PED-2023-000582,0,0,0
PED-2023-000583,0,0,0
PED-2023-000584,0,0,0
PED-2023-000585,0,0,0
PED-2023-000586,0,0,0
PED-2023-000587,0,0,0
PED-2023-000588,0,0,0
PED-2023-000589,0,0,0
PED-2023-000590,0,0,0
PED-2023-000591,0,0,0
PED-2023-000592,0,0,0
PED-2023-000593,0,0,0
PED-2023-000594,0,0,0
PED-2023-000595,0,0,0
PED-2023-000596,0,0,0
PED-2023-000597,0,0,0
PED-2023-000598,0,0,0
PED-2023-000599,0,0,0
PED-2023-000600,0,0,0
PED-2023-000601,0.00,0,0.00
PED-2023-000602,0.00,0,0.00
PED-2023-000603,0.00,0,0.00
PED-2023-000604,0.00,0,0.00
PED-2023-000605,0.00,0,0.00
PED-2023-000606,0.00,0,0.00
PED-2023-000607,0.00,0,0.00
PED-2023-000608,0.00,0,0.00
PED-2023-000609,0.00,0,0.00
PED-2023-000610,0.00,0,0.00
PED-2023-000611,0.00,0,0.00
PED-2023-000612,0.00,0,0.00
PED-2023-000613,0.00,0,0.00
PED-2023-000614,0.00,0,0.00
PED-2023-000615,0.00,0,0.00
PED-2023-000616,0.00,0,0.00
PED-2023-000617,0.00,0,0.00
PED-2023-000618,0.00,0,0.00
PED-2023-000619,0.00,0,0.00
PED-2023-000620,0.00,0,0.00
PED-2023-000621,0.00,0,0.00
PED-2023-000622,0.00,0,0.00
PED-2023-000623,0.00,0,0.00
PED-2023-000624,0.00,0,0.00
PED-2023-000625,0.00,0,0.00
PED-2023-000626,0.00,0,0.00
PED-2023-000627,0.00,0,0.00
PED-2023-000628,0.00,0,0.00
PED-2023-000629,0.00,0,0.00
PED-2023-000630,0.00,0,0.00
PED-2023-000631,0.00,0,0.00
PED-2023-000632,0.00,0,0.00
PED-2023-000633,0.00,0,0.00
PED-2023-000634,0.00,0,0.00
PED-2023-000635,0.00,0,0.00
PED-2023-000636,0.00,0,0.00
PED-2023-000637,0.00,0,0.00
PED-2023-000638,0.00,0,0.00
PED-2023-000639,0.00,0,0.00
PED-2023-000640,0.00,0,0.00
PED-2023-000641,0.00,0,0.00
PED-2023-000642,0.00,0,0.00
PED-2023-000643,0.00,0,0.00
PED-2023-000644,0.00,0,0.00
PED-2023-000645,0.00,0,0.00
PED-2023-000646,0.00,0,0.00
PED-2023-000647,0.00,0,0.00
PED-2023-000648,0.00,0,0.00
PED-2023-000649,0.00,0,0.00
PED-2023-000650,0.00,0,0.00
PED-2023-000651,0.00,0,0.00
PED-2023-000652,0.00,0,0.00
PED-2023-000653,0.00,0,0.00
PED-2023-000654,0.00,0,0.00
PED-2023-000655,0.00,0,0.00
PED-2023-000656,0.00,0,0.00
PED-2023-000657,0.00,0,0.00
PED-2023-000658,0.00,0,0.00
PED-2023-000659,0.00,0,0.00
PED-2023-000660,0.00,0,0.00
PED-2023-000661,0.00,0,0.00
PED-2023-000662,0.00,0,0.00
PED-2023-000663,0.00,0,0.00
PED-2023-000664,0.00,0,0.00
PED-2023-000665,0.00,0,0.00
PED-2023-000666,0.00,0,0.00
PED-2023-000667,0.00,0,0.00
PED-2023-000668,0.00,0,0.00
PED-2023-000669,0.00,0,0.00
PED-2023-000670,0.00,0,0.00
PED-2023-000671,0.00,0,0.00
PED-2023-000672,0.00,0,0.00
PED-2023-000673,0.00,0,0.00
PED-2023-000674,0.00,0,0.00
PED-2023-000675,0.00,0,0.00
PED-2023-000676,0.00,0,0.00
PED-2023-000677,0.00,0,0.00
PED-2023-000678,0.00,0,0.00
PED-2023-000679,0.00,0,0.00
PED-2023-000680,0.00,0,0.00
PED-2023-000681,0.00,0,0.00
PED-2023-000682,0.00,0,0.00
PED-2023-000683,0.00,0,0.00
PED-2023-000684,0.00,0,0.00
PED-2023-000685,0.00,0,0.00
PED-2023-000686,0.00,0,0.00
PED-2023-000687,0.00,0,0.00
PED-2023-000688,0.00,0,0.00
PED-2023-000689,0.00,0,0.00
PED-2023-000690,0.00,0,0.00
PED-2023-000691,0.00,0,0.00
PED-2023-000692,0.00,0,0.00
PED-2023-000693,0.00,0,0.00
PED-2023-000694,0.00,0,0.00
PED-2023-000695,0.00,0,0.00
PED-2023-000696,0.00,0,0.00
PED-2023-000697,0.00,0,0.00
PED-2023-000698,0.00,0,0.00
PED-2023-000699,0.00,0,0.00
PED-2023-000700,0.00,0,0.00
PED-2023-000701,0.00,0,0.00
PED-2023-000702,0.00,0,0.00
PED-2023-000703,0.00,0,0.00
PED-2023-000704,0.00,0,0.00
PED-2023-000705,0.00,0,0.00
PED-2023-000706,0.00,0,0.00
PED-2023-000707,0.00,0,0.00
PED-2023-000708,0.00,0,0.00
PED-2023-000709,0.00,0,0.00
PED-2023-000710,0.00,0,0.00
PED-2023-000711,0.00,0,0.00
PED-2023-000712,0.00,0,0.00
PED-2023-000713,0.00,0,0.00
PED-2023-000714,0.00,0,0.00
PED-2023-000715,0.00,0,0.00
PED-2023-000716,0.00,0,0.00
PED-2023-000717,0.00,0,0.00
PED-2023-000718,0.00,0,0.00
PED-2023-000719,0.00,0,0.00
PED-2023-000720,0.00,0,0.00
PED-2023-000721,0.00,0,0.00
PED-2023-000722,0.00,0,0.00
PED-2023-000723,0.00,0,0.00
PED-2023-000724,0.00,0,0.00
PED-2023-000725,0.00,0,0.00
PED-2023-000726,0.00,0,0.00
PED-2023-000727,0.00,0,0.00
PED-2023-000728,0.00,0,0.00
PED-2023-000729,0.00,0,0.00
PED-2023-000730,0.00,0,0.00
PED-2023-000731,0.00,0,0.00
PED-2023-000732,0.00,0,0.00
PED-2023-000733,0.00,0,0.00
PED-2023-000734,0.00,0,0.00
PED-2023-000735,0.00,0,0.00
PED-2023-000736,0.00,0,0.00
PED-2023-000737,0.00,0,0.00
PED-2023-000738,0.00,0,0.00
PED-2023-000739,0.00,0,0.00
PED-2023-000740,0.00,0,0.00
PED-2023-000741,0.00,0,0.00
PED-2023-000742,0.00,0,0.00
PED-2023-000743,0.00,0,0.00
PED-2023-000744,0.00,0,0.00
PED-2023-000745,0.00,0,0.00
PED-2023-000746,0.00,0,0.00
PED-2023-000747,0.00,0,0.00
PED-2023-000748,0.00,0,0.00
PED-2023-000749,0.00,0,0.00
PED-2023-000750,0.00,0,0.00
PED-2023-000751,0.00,0,0.00
PED-2023-000752,0.00,0,0.00
PED-2023-000753,0.00,0,0.00
PED-2023-000754,0.00,0,0.00
PED-2023-000755,0.00,0,0.00
PED-2023-000756,0.00,0,0.00
PED-2023-000757,0.00,0,0.00
PED-2023-000758,0.00,0,0.00
PED-2023-000759,0.00,0,0.00
PED-2023-000760,0.00,0,0.00
PED-2023-000761,0.00,0,0.00
PED-2023-000762,0.00,0,0.00
PED-2023-000763,0.00,0,0.00
PED-2023-000764,0.00,0,0.00
PED-2023-000765,0.00,0,0.00
PED-2023-000766,0.00,0,0.00
PED-2023-000767,0.00,0,0.00
PED-2023-000768,0.00,0,0.00
PED-2023-000769,0.00,0,0.00
PED-2023-000770,0.00,0,0.00
PED-2023-000771,0.00,0,0.00
PED-2023-000772,0.00,0,0.00
PED-2023-000773,0.00,0,0.00
PED-2023-000774,0.00,0,0.00
PED-2023-000775,0.00,0,0.00
PED-2023-000776,0.00,0,0.00
PED-2023-000777,0.00,0,0.00
PED-2023-000778,0.00,0,0.00
PED-2023-000779,0.00,0,0.00
PED-2023-000780,0.00,0,0.00
PED-2023-000781,0.00,0,0.00
PED-2023-000782,0.00,0,0.00
PED-2023-000783,0.00,0,0.00
PED-2023-000784,0.00,0,0.00
PED-2023-000785,0.00,0,0.00
PED-2023-000786,0.00,0,0.00
PED-2023-000787,0.00,0,0.00
PED-2023-000788,0.00,0,0.00
PED-2023-000789,0.00,0,0.00
PED-2023-000790,0.00,0,0.00
PED-2023-000791,0.00,0,0.00
PED-2023-000792,0.00,0,0.00
PED-2023-000793,0.00,0,0.00
PED-2023-000794,0.00,0,0.00
PED-2023-000795,0.00,0,0.00
PED-2023-000796,0.00,0,0.00
PED-2023-000797,0.00,0,0.00
PED-2023-000798,0.00,0,0.00
PED-2023-000799,0.00,0,0.00
PED-2023-000800,0.00,0,0.00
PED-2023-000801,0.00,0,0.00
PED-2023-000802,0.00,0,0.00
PED-2023-000803,0.00,0,0.00
PED-2023-000804,0.00,0,0.00
PED-2023-000805,0.00,0,0.00
PED-2023-000806,0.00,0,0.00
PED-2023-000807,0.00,0,0.00
PED-2023-000808,0.00,0,0.00
PED-2023-000809,0.00,0,0.00
PED-2023-000810,0.00,0,0.00
PED-2023-000811,0.00,0,0.00
PED-2023-000812,0.00,0,0.00
PED-2023-000813,0.00,0,0.00
PED-2023-000814,0.00,0,0.00
PED-2023-000815,0.00,0,0.00
PED-2023-000816,0.00,0,0.00
PED-2023-000817,0.00,0,0.00
PED-2023-000818,0.00,0,0.00
PED-2023-000819,0.00,0,0.00
PED-2023-000820,0.00,0,0.00
PED-2023-000821,0.00,0,0.00
PED-2023-000822,0.00,0,0.00
PED-2023-000823,0.00,0,0.00
PED-2023-000824,0.00,0,0.00
PED-2023-000825,0.00,0,0.00
PED-2023-000826,0.00,0,0.00
PED-2023-000827,0.00,0,0.00
PED-2023-000828,0.00,0,0.00
PED-2023-000829,0.00,0,0.00
PED-2023-000830,0.00,0,0.00
PED-2023-000831,0.00,0,0.00
PED-2023-000832,0.00,0,0.00
PED-2023-000833,0.00,0,0.00
PED-2023-000834,0.00,0,0.00
PED-2023-000835,0.00,0,0.00
PED-2023-000836,0.00,0,0.00
PED-2023-000837,0.00,0,0.00
PED-2023-000838,0.00,0,0.00
PED-2023-000839,0.00,0,0.00
PED-2023-000840,0.00,0,0.00
PED-2023-000841,1488.50,1488.50,0.00
PED-2023-000842,1917.42,1917.42,0.00
PED-2023-000843,1403.28,1403.28,0.00
PED-2023-000844,1345.60,1345.60,0.00
PED-2023-000845,2511.58,2511.58,0.00
PED-2023-000846,675.14,675.14,0.00
PED-2023-000847,1890.44,1890.44,0.00
PED-2023-000848,1493.00,1493.00,0.00
PED-2023-000849,710.34,710.34,0.00
PED-2023-000850,1588.62,1588.62,0.00
PED-2023-000851,1611.52,1611.52,0.00
PED-2023-000852,1126.40,1126.40,0.00
PED-2023-000853,1207.34,1207.34,0.00
PED-2023-000854,375.20,375.20,0.00
PED-2023-000855,866.64,866.64,0.00
PED-2023-000856,816.04,816.04,0.00
PED-2023-000857,627.11,627.11,0.00
