categoria_id,categoria,produto_id,sku,receita,posicao
4,Limpeza,12,AUR-00000012,39250.20,13
4,Limpeza,4,AUR-00000004,29987.35,14
4,Limpeza,116,AUR-00000116,0,15
5,Banho,109,AUR-00000109,113777.27,1
5,Banho,101,AUR-00000101,106823.62,2
5,Banho,93,AUR-00000093,99554.34,3
5,Banho,85,AUR-00000085,92916.05,4
5,Banho,77,AUR-00000077,86233.92,5
5,Banho,69,AUR-00000069,78785.25,6
5,Banho,61,AUR-00000061,72112.54,7
5,Banho,53,AUR-00000053,65132.08,8
5,Banho,45,AUR-00000045,58148.19,9
5,Banho,37,AUR-00000037,51203.14,10
5,Banho,29,AUR-00000029,44269.43,11
5,Banho,21,AUR-00000021,37287.90,12
5,Banho,13,AUR-00000013,30333.44,13
5,Banho,5,AUR-00000005,23380.33,14
5,Banho,117,AUR-00000117,0,15
6,Lavanderia,110,AUR-00000110,177810.06,1
6,Lavanderia,102,AUR-00000102,166517.04,2
6,Lavanderia,94,AUR-00000094,156718.80,3
6,Lavanderia,86,AUR-00000086,145456.14,4
6,Lavanderia,78,AUR-00000078,134282.28,5
6,Lavanderia,70,AUR-00000070,123962.40,6
6,Lavanderia,62,AUR-00000062,113103.06,7
6,Lavanderia,54,AUR-00000054,102350.43,8
6,Lavanderia,46,AUR-00000046,91602.69,9
6,Lavanderia,38,AUR-00000038,80786.04,10
6,Lavanderia,30,AUR-00000030,69963.66,11
6,Lavanderia,22,AUR-00000022,59179.86,12
6,Lavanderia,14,AUR-00000014,48396.06,13
6,Lavanderia,6,AUR-00000006,37609.74,14
6,Lavanderia,118,AUR-00000118,0,15
7,Jardim,111,AUR-00000111,140823.39,1
7,Jardim,103,AUR-00000103,132346.48,2
7,Jardim,95,AUR-00000095,123869.39,3
7,Jardim,87,AUR-00000087,114946.02,4
7,Jardim,79,AUR-00000079,106915.42,5
7,Jardim,71,AUR-00000071,98438.33,6
7,Jardim,63,AUR-00000063,89984.66,7
7,Jardim,55,AUR-00000055,81568.61,8
7,Jardim,47,AUR-00000047,73046.28,9
7,Jardim,39,AUR-00000039,64530.36,10
7,Jardim,31,AUR-00000031,56053.27,11
7,Jardim,23,AUR-00000023,47613.24,12
7,Jardim,15,AUR-00000015,39099.27,13
7,Jardim,7,AUR-00000007,30623.50,14
7,Jardim,119,AUR-00000119,0,15
8,Utilidades,112,AUR-00000112,206142.59,1
8,Utilidades,104,AUR-00000104,193826.26,2
8,Utilidades,96,AUR-00000096,180702.33,3
8,Utilidades,88,AUR-00000088,169193.60,4
8,Utilidades,80,AUR-00000080,157573.50,5
8,Utilidades,72,AUR-00000072,144078.69,6
8,Utilidades,64,AUR-00000064,132333.01,7
8,Utilidades,56,AUR-00000056,119928.43,8
8,Utilidades,48,AUR-00000048,107612.10,9
8,Utilidades,40,AUR-00000040,95378.80,10
8,Utilidades,32,AUR-00000032,83016.49,11
8,Utilidades,24,AUR-00000024,70663.26,12
8,Utilidades,16,AUR-00000016,58346.93,13
8,Utilidades,8,AUR-00000008,46030.60,14
8,Utilidades,120,AUR-00000120,0,15
