pedido_id,protocolo,data_solicitacao,status,motivo,data_encerramento
4051,DEV-2024-000051,2024-12-10T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-12-12T15:00:00+00
4052,DEV-2024-000052,2024-01-27T15:00:00+00,CONCLUIDA,AVARIA,2024-01-29T15:00:00+00
4053,DEV-2024-000053,2024-02-16T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-02-18T15:00:00+00
4054,DEV-2024-000054,2024-04-02T15:00:00+00,CONCLUIDA,ATRASO,2024-04-04T15:00:00+00
4055,DEV-2024-000055,2024-04-22T15:00:00+00,CONCLUIDA,OUTRO,2024-04-24T15:00:00+00
4056,DEV-2024-000056,2024-05-11T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-05-13T15:00:00+00
4057,DEV-2024-000057,2024-06-28T15:00:00+00,CONCLUIDA,AVARIA,2024-06-30T15:00:00+00
4058,DEV-2024-000058,2024-07-17T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-07-19T15:00:00+00
4059,DEV-2024-000059,2024-09-03T15:00:00+00,CONCLUIDA,ATRASO,2024-09-05T15:00:00+00
4060,DEV-2024-000060,2024-09-23T15:00:00+00,CONCLUIDA,OUTRO,2024-09-25T15:00:00+00
4061,DEV-2024-000061,2024-10-12T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-10-14T15:00:00+00
4062,DEV-2024-000062,2024-11-29T15:00:00+00,CONCLUIDA,AVARIA,2024-12-01T15:00:00+00
4063,DEV-2024-000063,2024-11-18T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-11-20T15:00:00+00
4064,DEV-2025-000064,2025-01-04T15:00:00+00,CONCLUIDA,ATRASO,2025-01-06T15:00:00+00
4065,DEV-2024-000065,2024-01-24T15:00:00+00,CONCLUIDA,OUTRO,2024-01-26T15:00:00+00
4066,DEV-2024-000066,2024-02-13T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-02-15T15:00:00+00
4067,DEV-2024-000067,2024-03-30T15:00:00+00,CONCLUIDA,AVARIA,2024-04-01T15:00:00+00
4068,DEV-2024-000068,2024-04-19T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-04-21T15:00:00+00
4069,DEV-2024-000069,2024-06-05T15:00:00+00,CONCLUIDA,ATRASO,2024-06-07T15:00:00+00
4070,DEV-2024-000070,2024-06-25T15:00:00+00,CONCLUIDA,OUTRO,2024-06-27T15:00:00+00
4071,DEV-2024-000071,2024-07-14T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-07-16T15:00:00+00
4072,DEV-2024-000072,2024-08-31T15:00:00+00,CONCLUIDA,AVARIA,2024-09-02T15:00:00+00
4073,DEV-2024-000073,2024-09-20T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-09-22T15:00:00+00
4074,DEV-2024-000074,2024-11-06T15:00:00+00,CONCLUIDA,ATRASO,2024-11-08T15:00:00+00
4075,DEV-2024-000075,2024-11-26T15:00:00+00,CONCLUIDA,OUTRO,2024-11-28T15:00:00+00
4076,DEV-2024-000076,2024-11-15T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-11-17T15:00:00+00
4077,DEV-2025-000077,2025-01-01T15:00:00+00,CONCLUIDA,AVARIA,2025-01-03T15:00:00+00
4078,DEV-2024-000078,2024-01-21T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-01-23T15:00:00+00
4079,DEV-2024-000079,2024-02-10T15:00:00+00,CONCLUIDA,ATRASO,2024-02-12T15:00:00+00
4080,DEV-2024-000080,2024-03-27T15:00:00+00,CONCLUIDA,OUTRO,2024-03-29T15:00:00+00
4081,DEV-2024-000081,2024-04-16T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-04-18T15:00:00+00
4082,DEV-2024-000082,2024-06-02T15:00:00+00,CONCLUIDA,AVARIA,2024-06-04T15:00:00+00
4083,DEV-2024-000083,2024-06-22T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-06-24T15:00:00+00
4084,DEV-2024-000084,2024-07-11T15:00:00+00,CONCLUIDA,ATRASO,2024-07-13T15:00:00+00
4085,DEV-2024-000085,2024-08-28T15:00:00+00,CONCLUIDA,OUTRO,2024-08-30T15:00:00+00
4086,DEV-2024-000086,2024-09-17T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-09-19T15:00:00+00
4087,DEV-2024-000087,2024-11-03T15:00:00+00,CONCLUIDA,AVARIA,2024-11-05T15:00:00+00
4088,DEV-2024-000088,2024-11-23T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-11-25T15:00:00+00
4089,DEV-2024-000089,2024-11-12T15:00:00+00,CONCLUIDA,ATRASO,2024-11-14T15:00:00+00
4090,DEV-2024-000090,2024-12-29T15:00:00+00,CONCLUIDA,OUTRO,2024-12-31T15:00:00+00
4091,DEV-2024-000091,2024-01-18T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-01-20T15:00:00+00
4092,DEV-2024-000092,2024-03-06T15:00:00+00,CONCLUIDA,AVARIA,2024-03-08T15:00:00+00
4093,DEV-2024-000093,2024-03-24T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-03-26T15:00:00+00
4094,DEV-2024-000094,2024-04-13T15:00:00+00,CONCLUIDA,ATRASO,2024-04-15T15:00:00+00
4095,DEV-2024-000095,2024-05-30T15:00:00+00,CONCLUIDA,OUTRO,2024-06-01T15:00:00+00
4096,DEV-2024-000096,2024-06-19T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-06-21T15:00:00+00
4097,DEV-2024-000097,2024-08-05T15:00:00+00,CONCLUIDA,AVARIA,2024-08-07T15:00:00+00
4098,DEV-2024-000098,2024-08-25T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-08-27T15:00:00+00
4099,DEV-2024-000099,2024-09-14T15:00:00+00,CONCLUIDA,ATRASO,2024-09-16T15:00:00+00
4100,DEV-2024-000100,2024-10-31T15:00:00+00,CONCLUIDA,OUTRO,2024-11-02T15:00:00+00
4101,DEV-2024-000101,2024-11-20T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-11-22T15:00:00+00
4102,DEV-2024-000102,2024-12-07T15:00:00+00,CONCLUIDA,AVARIA,2024-12-09T15:00:00+00
4103,DEV-2024-000103,2024-12-26T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-12-28T15:00:00+00
4104,DEV-2024-000104,2024-01-15T15:00:00+00,CONCLUIDA,ATRASO,2024-01-17T15:00:00+00
4105,DEV-2024-000105,2024-03-03T15:00:00+00,CONCLUIDA,OUTRO,2024-03-05T15:00:00+00
4106,DEV-2024-000106,2024-03-21T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-03-23T15:00:00+00
4107,DEV-2024-000107,2024-04-10T15:00:00+00,CONCLUIDA,AVARIA,2024-04-12T15:00:00+00
4108,DEV-2024-000108,2024-05-27T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-05-29T15:00:00+00
4109,DEV-2024-000109,2024-06-16T15:00:00+00,CONCLUIDA,ATRASO,2024-06-18T15:00:00+00
4110,DEV-2024-000110,2024-08-02T15:00:00+00,CONCLUIDA,OUTRO,2024-08-04T15:00:00+00
4111,DEV-2024-000111,2024-08-22T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-08-24T15:00:00+00
4112,DEV-2024-000112,2024-09-11T15:00:00+00,CONCLUIDA,AVARIA,2024-09-13T15:00:00+00
4113,DEV-2024-000113,2024-10-28T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-10-30T15:00:00+00
4114,DEV-2024-000114,2024-11-17T15:00:00+00,CONCLUIDA,ATRASO,2024-11-19T15:00:00+00
4115,DEV-2024-000115,2024-12-04T15:00:00+00,CONCLUIDA,OUTRO,2024-12-06T15:00:00+00
4116,DEV-2024-000116,2024-12-23T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-12-25T15:00:00+00
4117,DEV-2024-000117,2024-01-12T15:00:00+00,CONCLUIDA,AVARIA,2024-01-14T15:00:00+00
4118,DEV-2024-000118,2024-02-29T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-03-02T15:00:00+00
4119,DEV-2024-000119,2024-03-18T15:00:00+00,CONCLUIDA,ATRASO,2024-03-20T15:00:00+00
4120,DEV-2024-000120,2024-05-05T15:00:00+00,CONCLUIDA,OUTRO,2024-05-07T15:00:00+00
4121,DEV-2024-000121,2024-05-24T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-05-26T15:00:00+00
4122,DEV-2024-000122,2024-06-13T15:00:00+00,CONCLUIDA,AVARIA,2024-06-15T15:00:00+00
4123,DEV-2024-000123,2024-07-30T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-08-01T15:00:00+00
4124,DEV-2024-000124,2024-08-19T15:00:00+00,CONCLUIDA,ATRASO,2024-08-21T15:00:00+00
4125,DEV-2024-000125,2024-10-06T15:00:00+00,CONCLUIDA,OUTRO,2024-10-08T15:00:00+00
4126,DEV-2024-000126,2024-10-25T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-10-27T15:00:00+00
4127,DEV-2024-000127,2024-11-14T15:00:00+00,CONCLUIDA,AVARIA,2024-11-16T15:00:00+00
4128,DEV-2024-000128,2024-12-01T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-12-03T15:00:00+00
4129,DEV-2024-000129,2024-12-20T15:00:00+00,CONCLUIDA,ATRASO,2024-12-22T15:00:00+00
4130,DEV-2024-000130,2024-02-06T15:00:00+00,CONCLUIDA,OUTRO,2024-02-08T15:00:00+00
4131,DEV-2024-000131,2024-02-26T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-02-28T15:00:00+00
4132,DEV-2024-000132,2024-03-15T15:00:00+00,CONCLUIDA,AVARIA,2024-03-17T15:00:00+00
4133,DEV-2024-000133,2024-05-02T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-05-04T15:00:00+00
4134,DEV-2024-000134,2024-05-21T15:00:00+00,CONCLUIDA,ATRASO,2024-05-23T15:00:00+00
4135,DEV-2024-000135,2024-06-10T15:00:00+00,CONCLUIDA,OUTRO,2024-06-12T15:00:00+00
4136,DEV-2024-000136,2024-07-27T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-07-29T15:00:00+00
4137,DEV-2024-000137,2024-08-16T15:00:00+00,CONCLUIDA,AVARIA,2024-08-18T15:00:00+00
4138,DEV-2024-000138,2024-10-03T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-10-05T15:00:00+00
4139,DEV-2024-000139,2024-10-22T15:00:00+00,CONCLUIDA,ATRASO,2024-10-24T15:00:00+00
4140,DEV-2024-000140,2024-11-11T15:00:00+00,CONCLUIDA,OUTRO,2024-11-13T15:00:00+00
4141,DEV-2024-000141,2024-11-28T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-11-30T15:00:00+00
4142,DEV-2024-000142,2024-12-17T15:00:00+00,CONCLUIDA,AVARIA,2024-12-19T15:00:00+00
4143,DEV-2024-000143,2024-02-03T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-02-05T15:00:00+00
4144,DEV-2024-000144,2024-02-23T15:00:00+00,CONCLUIDA,ATRASO,2024-02-25T15:00:00+00
4145,DEV-2024-000145,2024-03-12T15:00:00+00,CONCLUIDA,OUTRO,2024-03-14T15:00:00+00
4146,DEV-2024-000146,2024-04-29T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-05-01T15:00:00+00
4147,DEV-2024-000147,2024-05-18T15:00:00+00,CONCLUIDA,AVARIA,2024-05-20T15:00:00+00
4148,DEV-2024-000148,2024-07-05T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-07-07T15:00:00+00
4149,DEV-2024-000149,2024-07-24T15:00:00+00,CONCLUIDA,ATRASO,2024-07-26T15:00:00+00
4150,DEV-2024-000150,2024-08-13T15:00:00+00,CONCLUIDA,OUTRO,2024-08-15T15:00:00+00
4151,DEV-2024-000151,2024-09-30T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-10-02T15:00:00+00
4152,DEV-2024-000152,2024-10-19T15:00:00+00,CONCLUIDA,AVARIA,2024-10-21T15:00:00+00
4153,DEV-2024-000153,2024-12-06T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-12-08T15:00:00+00
4154,DEV-2024-000154,2024-11-25T15:00:00+00,CONCLUIDA,ATRASO,2024-11-27T15:00:00+00
4155,DEV-2024-000155,2024-12-14T15:00:00+00,CONCLUIDA,OUTRO,2024-12-16T15:00:00+00
4156,DEV-2024-000156,2024-01-31T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-02-02T15:00:00+00
4157,DEV-2024-000157,2024-02-20T15:00:00+00,CONCLUIDA,AVARIA,2024-02-22T15:00:00+00
4158,DEV-2024-000158,2024-04-06T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-04-08T15:00:00+00
4159,DEV-2024-000159,2024-04-26T15:00:00+00,CONCLUIDA,ATRASO,2024-04-28T15:00:00+00
4160,DEV-2024-000160,2024-05-15T15:00:00+00,CONCLUIDA,OUTRO,2024-05-17T15:00:00+00
4161,DEV-2024-000161,2024-07-02T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-07-04T15:00:00+00
4162,DEV-2024-000162,2024-07-21T15:00:00+00,CONCLUIDA,AVARIA,2024-07-23T15:00:00+00
4163,DEV-2024-000163,2024-08-10T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-08-12T15:00:00+00
4164,DEV-2024-000164,2024-09-27T15:00:00+00,CONCLUIDA,ATRASO,2024-09-29T15:00:00+00
4165,DEV-2024-000165,2024-10-16T15:00:00+00,CONCLUIDA,OUTRO,2024-10-18T15:00:00+00
4166,DEV-2024-000166,2024-12-03T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-12-05T15:00:00+00
4167,DEV-2024-000167,2024-11-22T15:00:00+00,CONCLUIDA,AVARIA,2024-11-24T15:00:00+00
4168,DEV-2024-000168,2024-12-11T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-12-13T15:00:00+00
4169,DEV-2024-000169,2024-01-28T15:00:00+00,CONCLUIDA,ATRASO,2024-01-30T15:00:00+00
4170,DEV-2024-000170,2024-02-17T15:00:00+00,CONCLUIDA,OUTRO,2024-02-19T15:00:00+00
4171,DEV-2024-000171,2024-04-03T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-04-05T15:00:00+00
4172,DEV-2024-000172,2024-04-23T15:00:00+00,CONCLUIDA,AVARIA,2024-04-25T15:00:00+00
4173,DEV-2024-000173,2024-05-12T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-05-14T15:00:00+00
4174,DEV-2024-000174,2024-06-29T15:00:00+00,CONCLUIDA,ATRASO,2024-07-01T15:00:00+00
4175,DEV-2024-000175,2024-07-18T15:00:00+00,CONCLUIDA,OUTRO,2024-07-20T15:00:00+00
4176,DEV-2024-000176,2024-09-04T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-09-06T15:00:00+00
4177,DEV-2024-000177,2024-09-24T15:00:00+00,CONCLUIDA,AVARIA,2024-09-26T15:00:00+00
4178,DEV-2024-000178,2024-10-13T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-10-15T15:00:00+00
4179,DEV-2024-000179,2024-11-30T15:00:00+00,CONCLUIDA,ATRASO,2024-12-02T15:00:00+00
4180,DEV-2024-000180,2024-11-19T15:00:00+00,CONCLUIDA,OUTRO,2024-11-21T15:00:00+00
4181,DEV-2025-000181,2025-01-05T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2025-01-07T15:00:00+00
4182,DEV-2024-000182,2024-01-25T15:00:00+00,CONCLUIDA,AVARIA,2024-01-27T15:00:00+00
4183,DEV-2024-000183,2024-02-14T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-02-16T15:00:00+00
4184,DEV-2024-000184,2024-03-31T15:00:00+00,CONCLUIDA,ATRASO,2024-04-02T15:00:00+00
4185,DEV-2024-000185,2024-04-20T15:00:00+00,CONCLUIDA,OUTRO,2024-04-22T15:00:00+00
4186,DEV-2024-000186,2024-06-06T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-06-08T15:00:00+00
4187,DEV-2024-000187,2024-06-26T15:00:00+00,CONCLUIDA,AVARIA,2024-06-28T15:00:00+00
4188,DEV-2024-000188,2024-07-15T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-07-17T15:00:00+00
4189,DEV-2024-000189,2024-09-01T15:00:00+00,CONCLUIDA,ATRASO,2024-09-03T15:00:00+00
4190,DEV-2024-000190,2024-09-21T15:00:00+00,CONCLUIDA,OUTRO,2024-09-23T15:00:00+00
4191,DEV-2024-000191,2024-10-10T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-10-12T15:00:00+00
4192,DEV-2024-000192,2024-11-27T15:00:00+00,CONCLUIDA,AVARIA,2024-11-29T15:00:00+00
4193,DEV-2024-000193,2024-11-16T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-11-18T15:00:00+00
4194,DEV-2025-000194,2025-01-02T15:00:00+00,CONCLUIDA,ATRASO,2025-01-04T15:00:00+00
4195,DEV-2024-000195,2024-01-22T15:00:00+00,CONCLUIDA,OUTRO,2024-01-24T15:00:00+00
4196,DEV-2024-000196,2024-02-11T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-02-13T15:00:00+00
4197,DEV-2024-000197,2024-03-28T15:00:00+00,CONCLUIDA,AVARIA,2024-03-30T15:00:00+00
4198,DEV-2024-000198,2024-04-17T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-04-19T15:00:00+00
4199,DEV-2024-000199,2024-06-03T15:00:00+00,CONCLUIDA,ATRASO,2024-06-05T15:00:00+00
4200,DEV-2024-000200,2024-06-23T15:00:00+00,CONCLUIDA,OUTRO,2024-06-25T15:00:00+00
4201,DEV-2024-000201,2024-07-12T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-07-14T15:00:00+00
4202,DEV-2024-000202,2024-08-29T15:00:00+00,CONCLUIDA,AVARIA,2024-08-31T15:00:00+00
4203,DEV-2024-000203,2024-09-18T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-09-20T15:00:00+00
4204,DEV-2024-000204,2024-11-04T15:00:00+00,CONCLUIDA,ATRASO,2024-11-06T15:00:00+00
4205,DEV-2024-000205,2024-11-24T15:00:00+00,CONCLUIDA,OUTRO,2024-11-26T15:00:00+00
4206,DEV-2024-000206,2024-11-13T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-11-15T15:00:00+00
4207,DEV-2024-000207,2024-12-30T15:00:00+00,CONCLUIDA,AVARIA,2025-01-01T15:00:00+00
4208,DEV-2024-000208,2024-01-19T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-01-21T15:00:00+00
4209,DEV-2024-000209,2024-03-07T15:00:00+00,CONCLUIDA,ATRASO,2024-03-09T15:00:00+00
4210,DEV-2024-000210,2024-03-25T15:00:00+00,CONCLUIDA,OUTRO,2024-03-27T15:00:00+00
4211,DEV-2024-000211,2024-04-14T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-04-16T15:00:00+00
4212,DEV-2024-000212,2024-05-31T15:00:00+00,CONCLUIDA,AVARIA,2024-06-02T15:00:00+00
4213,DEV-2024-000213,2024-06-20T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-06-22T15:00:00+00
4214,DEV-2024-000214,2024-08-06T15:00:00+00,CONCLUIDA,ATRASO,2024-08-08T15:00:00+00
4215,DEV-2024-000215,2024-08-26T15:00:00+00,CONCLUIDA,OUTRO,2024-08-28T15:00:00+00
4216,DEV-2024-000216,2024-09-15T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-09-17T15:00:00+00
4217,DEV-2024-000217,2024-11-01T15:00:00+00,CONCLUIDA,AVARIA,2024-11-03T15:00:00+00
4218,DEV-2024-000218,2024-11-21T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-11-23T15:00:00+00
4219,DEV-2024-000219,2024-11-10T15:00:00+00,CONCLUIDA,ATRASO,2024-11-12T15:00:00+00
4220,DEV-2024-000220,2024-12-27T15:00:00+00,CONCLUIDA,OUTRO,2024-12-29T15:00:00+00
4221,DEV-2024-000221,2024-01-16T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-01-18T15:00:00+00
4222,DEV-2024-000222,2024-03-04T15:00:00+00,CONCLUIDA,AVARIA,2024-03-06T15:00:00+00
4223,DEV-2024-000223,2024-03-22T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-03-24T15:00:00+00
4224,DEV-2024-000224,2024-04-11T15:00:00+00,CONCLUIDA,ATRASO,2024-04-13T15:00:00+00
4225,DEV-2024-000225,2024-05-28T15:00:00+00,CONCLUIDA,OUTRO,2024-05-30T15:00:00+00
4226,DEV-2024-000226,2024-06-17T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-06-19T15:00:00+00
4227,DEV-2024-000227,2024-08-03T15:00:00+00,CONCLUIDA,AVARIA,2024-08-05T15:00:00+00
4228,DEV-2024-000228,2024-08-23T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-08-25T15:00:00+00
4229,DEV-2024-000229,2024-09-12T15:00:00+00,CONCLUIDA,ATRASO,2024-09-14T15:00:00+00
4230,DEV-2024-000230,2024-10-29T15:00:00+00,CONCLUIDA,OUTRO,2024-10-31T15:00:00+00
