devolucao_id,item_pedido_id,quantidade_devolvida,valor_reembolso
156,11911,1,103.98
157,11913,1,108.09
158,11915,1,112.20
159,11917,1,116.31
160,11919,1,120.42
161,11921,1,124.53
162,11923,1,128.64
163,11925,1,132.75
164,11927,1,136.86
165,11929,1,140.97
166,11931,1,145.08
167,11933,1,149.19
168,11935,1,153.30
169,11937,1,157.41
170,11939,1,161.52
171,11941,1,165.63
172,11943,1,169.74
173,11945,1,173.85
174,11947,1,177.96
175,11949,1,182.07
176,11951,1,32.74
177,11953,1,36.85
178,11955,1,40.96
179,11957,1,45.07
180,11959,1,49.18
181,11961,1,53.29
182,11963,1,45.92
183,11965,1,58.44
184,11967,1,55.78
185,11969,1,52.30
186,11971,1,66.46
187,11973,1,62.36
188,11975,1,77.96
189,11977,1,73.25
190,11979,1,67.71
191,11981,1,84.96
192,11983,1,78.80
193,11985,1,97.48
194,11987,1,90.72
195,11989,1,83.13
196,11991,1,103.45
197,11993,1,95.24
198,11995,1,117.01
199,11997,1,108.18
200,11999,1,98.54
201,12001,1,135.49
202,12003,1,139.60
203,12005,1,143.71
204,12007,1,147.82
205,12009,1,151.93
206,12011,1,156.04
207,12013,1,160.15
208,12015,1,164.26
209,12017,1,168.37
210,12019,1,172.48
211,12021,1,176.59
212,12023,1,180.70
213,12025,1,31.37
214,12027,1,35.48
215,12029,1,39.59
216,12031,1,43.70
217,12033,1,47.81
218,12035,1,51.92
219,12037,1,56.03
220,12039,1,60.14
221,12041,1,64.25
222,12043,1,68.36
223,12045,1,72.47
224,12047,1,76.58
225,12049,1,80.69
226,12051,1,84.80
227,12053,1,88.91
228,12055,1,93.02
229,12057,1,97.13
230,12059,1,101.24
231,12061,1,105.35
232,12063,1,87.57
233,12065,1,107.90
234,12067,1,100.03
235,12069,1,91.35
236,12071,1,113.31
237,12073,1,104.01
238,12075,1,127.42
239,12077,1,117.50
240,12079,1,106.76
241,12081,1,131.81
242,12083,1,120.45
243,12085,1,146.94
244,12087,1,134.97
245,12089,1,122.17
246,12091,1,150.30
247,12093,1,136.89
248,12095,1,166.46
249,12097,1,152.44
250,12099,1,137.58
251,12101,1,34.11
252,12103,1,38.22
253,12105,1,42.33
254,12107,1,46.44
255,12109,1,50.55
256,12111,1,54.66
257,12113,1,58.77
258,12115,1,62.88
259,12117,1,66.99
260,12119,1,71.10
261,12121,1,75.21
262,12123,1,79.32
263,12125,1,83.43
264,12127,1,87.54
265,12129,1,91.65
266,12131,1,95.76
267,12133,1,99.87
268,12135,1,103.98
269,12137,1,108.09
270,12139,1,112.20
271,12141,1,116.31
272,12143,1,120.42
273,12145,1,124.53
274,12147,1,128.64
275,12149,1,132.75
276,12151,1,136.86
277,12153,1,140.97
278,12155,1,145.08
279,12157,1,149.19
280,12159,1,153.30
281,12161,1,157.41
282,12163,1,129.22
283,12165,1,157.35
284,12167,1,144.28
285,12169,1,130.39
286,12171,1,160.17
287,12173,1,145.66
288,12175,1,31.11
289,12177,1,31.33
290,12179,1,30.72
291,12181,1,40.57
292,12183,1,39.35
293,12185,1,50.63
294,12187,1,48.79
295,12189,1,46.14
296,12191,1,59.06
297,12193,1,55.79
298,12195,1,70.15
299,12197,1,66.26
300,12199,1,61.55
301,12201,1,86.17
302,12203,1,90.28
303,12205,1,94.39
304,12207,1,98.50
305,12209,1,102.61
306,12211,1,106.72
307,12213,1,110.83
308,12215,1,114.94
309,12217,1,119.05
310,12219,1,123.16
311,12221,1,127.27
312,12223,1,131.38
313,12225,1,135.49
314,12227,1,139.60
315,12229,1,143.71
316,12231,1,147.82
317,12233,1,151.93
318,12235,1,156.04
319,12237,1,160.15
320,12239,1,164.26
321,12241,1,168.37
322,12243,1,172.48
323,12245,1,176.59
324,12247,1,180.70
325,12249,1,31.37
326,12251,1,35.48
327,12253,1,39.59
328,12255,1,43.70
329,12257,1,47.81
330,12259,1,51.92
331,12261,1,56.03
332,12263,1,48.12
333,12265,1,61.04
334,12267,1,58.11
335,12269,1,54.36
336,12271,1,68.93
337,12273,1,64.56
338,12275,1,80.56
339,12277,1,75.58
340,12279,1,69.77
341,12281,1,87.42
342,12283,1,81.00
343,12285,1,100.09
344,12287,1,93.05
345,12289,1,85.18
346,12291,1,105.92
347,12293,1,97.44
348,12295,1,119.61
349,12297,1,110.51
350,12299,1,100.59
351,12301,1,138.23
352,12303,1,142.34
353,12305,1,146.45
354,12307,1,150.56
355,12309,1,154.67
356,12311,1,158.78
357,12313,1,162.89
358,12315,1,167.00
359,12317,1,171.11
360,12319,1,175.22
361,12321,1,179.33
362,12323,1,183.44
363,12325,1,34.11
364,12327,1,38.22
365,12329,1,42.33
366,12331,1,46.44
367,12333,1,50.55
368,12335,1,54.66
369,12337,1,58.77
370,12339,1,62.88
371,12341,1,66.99
372,12343,1,71.10
373,12345,1,75.21
374,12347,1,79.32
375,12349,1,83.43
376,12351,1,87.54
377,12353,1,91.65
378,12355,1,95.76
379,12357,1,99.87
380,12359,1,103.98
381,12361,1,108.09
382,12363,1,89.76
383,12365,1,110.50
384,12367,1,102.36
385,12369,1,93.40
386,12371,1,115.78
387,12373,1,106.20
388,12375,1,130.02
389,12377,1,119.83
390,12379,1,108.81
391,12381,1,134.28
392,12383,1,122.64
393,12385,1,149.54
394,12387,1,137.30
395,12389,1,124.23
396,12391,1,152.77
397,12393,1,139.08
398,12395,1,169.07
399,12397,1,154.76
400,12399,1,24.56
401,12401,1,36.85
402,12403,1,40.96
403,12405,1,45.07
404,12407,1,49.18
405,12409,1,53.29
406,12411,1,57.40
407,12413,1,61.51
408,12415,1,65.62
409,12417,1,69.73
410,12419,1,73.84
411,12421,1,77.95
412,12423,1,82.06
413,12425,1,86.17
414,12427,1,90.28
415,12429,1,94.39
416,12431,1,98.50
417,12433,1,102.61
418,12435,1,106.72
419,12437,1,110.83
420,12439,1,114.94
421,12441,2,238.10
421,12442,3,427.02
422,12443,4,492.64
422,12444,5,732.25
423,12445,6,763.62
423,12446,7,1053.92
424,12447,8,1051.04
424,12448,1,154.67
425,12449,2,270.98
425,12450,3,476.34
426,12451,4,558.40
426,12452,5,814.45
427,12453,6,862.26
427,12454,7,1169.00
428,12455,8,1182.56
428,12456,1,171.11
429,12457,2,303.86
429,12458,3,525.66
430,12459,4,624.16
430,12460,5,896.65
431,12461,6,960.90
431,12462,7,1091.51
432,12463,8,1051.28
432,12464,1,25.59
433,12465,2,319.92
433,12466,3,103.20
434,12467,4,586.44
434,12468,5,169.35
435,12469,6,794.70
435,12470,7,308.84
436,12471,8,1301.04
436,12472,1,42.97
437,12473,2,50.20
437,12474,3,123.00
438,12475,4,134.84
438,12476,5,264.50
439,12477,6,201.96
439,12478,7,352.17
440,12479,8,262.24
440,12480,1,63.65
441,12481,2,86.06
441,12482,3,181.32
442,12483,4,166.16
442,12484,5,282.05
443,12485,6,319.38
443,12486,7,499.73
444,12487,8,408.96
444,12488,1,66.75
445,12489,2,96.38
445,12490,3,249.51
446,12491,4,246.12
446,12492,5,389.55
447,12493,6,347.88
447,12494,7,502.74
448,12495,8,582.08
448,12496,1,89.89
449,12497,2,137.18
449,12498,3,249.57
450,12499,4,254.40
450,12500,5,540.45
451,12501,6,533.46
451,12502,7,785.40
452,12503,8,744.16
452,12504,1,116.31
453,12505,2,194.26
453,12506,3,361.26
454,12507,4,404.96
454,12508,5,622.65
455,12509,6,632.10
455,12510,7,900.48
456,12511,8,875.68
456,12512,1,132.75
457,12513,2,227.14
457,12514,3,410.58
458,12515,4,470.72
458,12516,5,704.85
459,12517,6,730.74
459,12518,7,1015.56
460,12519,8,1007.20
460,12520,1,149.19
461,12521,2,260.02
461,12522,3,459.90
462,12523,4,536.48
462,12524,5,787.05
463,12525,6,829.38
463,12526,7,1130.64
464,12527,8,1138.72
464,12528,1,165.63
465,12529,2,292.90
465,12530,3,509.22
466,12531,4,602.24
466,12532,5,869.25
467,12533,6,928.02
467,12534,7,1245.72
468,12535,8,1270.24
468,12536,1,182.07
469,12537,2,325.78
469,12538,3,98.22
470,12539,4,668.00
470,12540,5,184.25
471,12541,6,1026.66
471,12542,7,286.72
472,12543,8,1401.76
472,12544,1,45.07
473,12545,2,358.66
473,12546,3,147.54
474,12547,4,733.76
474,12548,5,266.45
475,12549,6,204.66
475,12550,7,401.80
476,12551,8,305.76
476,12552,1,61.51
477,12553,2,84.66
477,12554,3,196.86
478,12555,4,185.76
478,12556,5,348.65
479,12557,6,303.30
479,12558,7,516.88
480,12559,8,437.28
480,12560,1,77.95
481,12561,2,117.54
481,12562,3,209.28
482,12563,4,201.24
482,12564,5,323.15
483,12565,6,381.90
483,12566,7,568.82
484,12567,8,483.52
484,12568,1,75.52
485,12569,2,112.82
485,12570,3,280.74
486,12571,4,285.56
486,12572,5,436.10
487,12573,6,400.50
487,12574,7,560.28
488,12575,8,665.36
488,12576,1,99.75
489,12577,2,155.82
489,12578,3,275.88
490,12579,4,287.28
490,12580,5,565.50
491,12581,6,539.34
491,12582,7,732.83
492,12583,8,665.52
492,12584,1,95.46
493,12585,2,205.38
493,12586,3,354.75
494,12587,4,381.48
494,12588,5,542.00
495,12589,6,523.44
495,12590,7,928.34
496,12591,8,867.04
496,12592,1,122.16
497,12593,2,199.26
497,12594,3,332.61
498,12595,4,488.84
498,12596,5,683.70
499,12597,6,677.04
499,12598,7,873.88
500,12599,8,821.20
500,12600,1,160.15
501,12601,2,281.94
501,12602,3,492.78
502,12603,4,580.32
502,12604,5,841.85
503,12605,6,895.14
503,12606,7,1207.36
504,12607,8,1226.40
504,12608,1,176.59
505,12609,2,314.82
505,12610,3,542.10
506,12611,4,646.08
506,12612,5,156.85
507,12613,6,993.78
507,12614,7,248.36
508,12615,8,1357.92
508,12616,1,39.59
509,12617,2,347.70
509,12618,3,131.10
510,12619,4,711.84
510,12620,5,239.05
511,12621,6,1092.42
511,12622,7,363.44
512,12623,8,261.92
512,12624,1,56.03
513,12625,2,73.70
513,12626,3,180.42
514,12627,4,163.84
514,12628,5,321.25
515,12629,6,270.42
515,12630,7,478.52
516,12631,8,393.44
516,12632,1,72.47
517,12633,2,106.58
517,12634,3,229.74
518,12635,4,229.60
518,12636,5,403.45
519,12637,6,369.06
519,12638,7,593.60
520,12639,8,524.96
520,12640,1,88.91
521,12641,2,139.46
521,12642,3,279.06
522,12643,4,295.36
522,12644,5,485.65
523,12645,6,467.70
523,12646,7,708.68
524,12647,8,656.48
524,12648,1,105.35
525,12649,2,172.34
525,12650,3,328.38
526,12651,4,361.12
526,12652,5,567.85
527,12653,6,566.34
527,12654,7,823.76
528,12655,8,788.00
528,12656,1,121.79
529,12657,2,205.22
529,12658,3,377.70
530,12659,4,426.88
530,12660,5,650.05
531,12661,6,664.98
531,12662,7,798.07
532,12663,8,735.68
532,12664,1,103.68
533,12665,2,226.20
533,12666,3,384.33
534,12667,4,418.76
534,12668,5,585.80
535,12669,6,572.76
535,12670,7,1001.28
536,12671,8,946.00
536,12672,1,131.47
537,12673,2,216.80
537,12674,3,357.27
538,12675,4,530.48
538,12676,5,733.05
539,12677,6,732.96
539,12678,7,935.20
540,12679,8,886.96
540,12680,1,162.56
541,12681,2,273.48
541,12682,3,446.82
542,12683,4,499.36
542,12684,5,672.50
543,12685,6,912.90
543,12686,7,1155.70
544,12687,8,1117.04
544,12688,1,27.29
545,12689,2,252.56
545,12690,3,108.93
546,12691,4,620.96
546,12692,5,179.95
547,12693,6,847.68
547,12694,7,243.81
548,12695,8,1373.36
548,12696,1,45.50
549,12697,2,53.34
549,12698,3,131.19
550,12699,4,106.44
550,12700,5,293.85
551,12701,6,237.54
551,12702,7,440.16
552,12703,8,349.60
552,12704,1,66.99
553,12705,2,95.62
553,12706,3,213.30
554,12707,4,207.68
554,12708,5,376.05
555,12709,6,336.18
555,12710,7,555.24
556,12711,8,481.12
556,12712,1,83.43
557,12713,2,128.50
557,12714,3,262.62
558,12715,4,273.44
558,12716,5,458.25
559,12717,6,434.82
559,12718,7,670.32
560,12719,8,612.64
560,12720,1,99.87
561,12721,2,161.38
561,12722,3,311.94
562,12723,4,339.20
562,12724,5,540.45
563,12725,6,533.46
563,12726,7,785.40
564,12727,8,744.16
564,12728,1,116.31
565,12729,2,194.26
565,12730,3,361.26
566,12731,4,404.96
566,12732,5,622.65
567,12733,6,632.10
567,12734,7,900.48
568,12735,8,875.68
568,12736,1,132.75
569,12737,2,227.14
569,12738,3,410.58
570,12739,4,470.72
570,12740,5,704.85
571,12741,6,730.74
571,12742,7,1015.56
572,12743,8,1007.20
572,12744,1,149.19
573,12745,2,260.02
573,12746,3,459.90
574,12747,4,536.48
574,12748,5,787.05
575,12749,6,829.38
575,12750,7,1130.64
576,12751,8,1138.72
576,12752,1,165.63
577,12753,2,292.90
577,12754,3,509.22
578,12755,4,602.24
578,12756,5,869.25
579,12757,6,928.02
579,12758,7,1245.72
580,12759,8,1270.24
580,12760,1,182.07
581,12761,2,325.78
581,12762,3,83.49
582,12763,4,534.40
582,12764,5,138.20
583,12765,6,975.36
583,12766,7,258.09
584,12767,8,1191.52
584,12768,1,36.06
585,12769,2,269.00
585,12770,3,140.19
586,12771,4,660.40
586,12772,5,226.50
587,12773,6,163.74
587,12774,7,301.35
588,12775,8,290.48
588,12776,1,55.36
589,12777,2,71.98
589,12778,3,157.50
590,12779,4,139.32
590,12780,5,331.25
591,12781,6,273.00
591,12782,7,439.39
592,12783,8,349.84
592,12784,1,58.47
593,12785,2,111.68
593,12786,3,221.58
594,12787,4,213.80
594,12788,5,344.70
595,12789,6,301.50
595,12790,7,600.39
596,12791,8,511.92
596,12792,1,80.24
597,12793,2,120.34
597,12794,3,221.64
598,12795,4,301.44
598,12796,5,461.75
599,12797,6,425.52
599,12798,7,597.66
600,12799,8,525.28
600,12800,1,110.83
601,12801,1,91.65
601,12802,1,114.94
602,12803,1,95.76
602,12804,1,119.05
603,12805,1,99.87
603,12806,1,123.16
604,12807,1,103.98
604,12808,1,127.27
605,12809,1,108.09
605,12810,1,131.38
606,12811,1,112.20
606,12812,1,135.49
607,12813,1,116.31
607,12814,1,139.60
608,12815,1,120.42
608,12816,1,143.71
609,12817,1,124.53
609,12818,1,147.82
610,12819,1,128.64
610,12820,1,151.93
611,12821,1,132.75
611,12822,1,156.04
612,12823,1,136.86
612,12824,1,160.15
613,12825,1,140.97
613,12826,1,164.26
614,12827,1,145.08
614,12828,1,168.37
615,12829,1,149.19
615,12830,1,172.48
616,12831,1,153.30
616,12832,1,176.59
617,12833,1,157.41
617,12834,1,180.70
618,12835,1,161.52
618,12836,1,31.37
619,12837,1,165.63
619,12838,1,35.48
620,12839,1,169.74
620,12840,1,39.59
621,12841,1,173.85
621,12842,1,43.70
622,12843,1,177.96
622,12844,1,47.81
623,12845,1,182.07
623,12846,1,51.92
624,12847,1,32.74
624,12848,1,56.03
625,12849,1,36.85
626,12851,1,40.96
627,12853,1,45.07
628,12855,1,49.18
629,12857,1,53.29
630,12859,1,57.40
631,12861,1,61.51
632,12863,1,52.50
633,12865,1,66.25
634,12867,1,62.77
635,12869,1,58.47
636,12871,1,73.86
637,12873,1,68.94
638,12875,1,85.77
639,12877,1,80.24
640,12879,1,73.88
641,12881,1,92.35
642,12883,1,85.38
643,12885,1,105.29
644,12887,1,97.70
645,12889,1,89.29
646,12891,1,110.85
647,12893,1,101.82
648,12895,1,124.82
649,12897,1,115.17
650,12899,1,104.70
651,12901,1,143.71
652,12903,1,147.82
653,12905,1,151.93
654,12907,1,156.04
655,12909,1,160.15
656,12911,1,164.26
657,12913,1,168.37
658,12915,1,172.48
659,12917,1,176.59
660,12919,1,180.70
661,12921,1,31.37
662,12923,1,35.48
663,12925,1,39.59
664,12927,1,43.70
665,12929,1,47.81
666,12931,1,51.92
667,12933,1,56.03
668,12935,1,60.14
669,12937,1,64.25
670,12939,1,68.36
671,12941,1,72.47
672,12943,1,76.58
673,12945,1,80.69
673,12946,1,103.98
674,12947,1,84.80
674,12948,1,108.09
675,12949,1,88.91
675,12950,1,112.20
676,12951,1,93.02
676,12952,1,116.31
677,12953,1,97.13
677,12954,1,120.42
678,12955,1,101.24
678,12956,1,124.53
679,12957,1,105.35
679,12958,1,128.64
680,12959,1,109.46
680,12960,1,132.75
681,12961,1,113.57
681,12962,1,116.34
682,12963,1,94.15
682,12964,1,105.73
683,12965,1,115.71
683,12966,1,130.58
684,12967,1,107.02
684,12968,1,119.36
685,12969,1,97.51
686,12971,1,120.71
687,12973,1,110.59
688,12975,1,135.23
689,12977,1,124.49
690,12979,1,112.92
691,12981,1,139.21
692,12983,1,127.03
693,12985,1,154.75
694,12987,1,141.95
695,12989,1,128.34
696,12991,1,157.70
697,12993,1,143.47
698,12995,1,174.27
699,12997,1,29.00
700,12999,1,28.67
701,13001,1,42.33
702,13003,1,46.44
703,13005,1,50.55
704,13007,1,54.66
705,13009,1,58.77
706,13011,1,62.88
707,13013,1,66.99
708,13015,1,71.10
709,13017,1,75.21
710,13019,1,79.32
711,13021,1,83.43
712,13023,1,87.54
713,13025,1,91.65
714,13027,1,95.76
715,13029,1,99.87
716,13031,1,103.98
717,13033,1,108.09
718,13035,1,112.20
719,13037,1,116.31
720,13039,1,120.42
