sku,nome,categoria_id,preco_lista_atual,custo_padrao_atual,data_lancamento,data_descontinuacao,ativo
AUR-00000027,Produto Aurora 027,3,66.99,26.79,2020-04-01,,true
AUR-00000028,Produto Aurora 028,4,68.36,29.39,2021-05-01,,true
AUR-00000029,Produto Aurora 029,5,69.73,32.07,2022-06-01,,true
AUR-00000030,Produto Aurora 030,6,71.10,34.83,2018-07-01,,true
AUR-00000031,Produto Aurora 031,7,72.47,37.68,2019-08-01,,true
AUR-00000032,Produto Aurora 032,8,73.84,40.61,2020-09-01,,true
AUR-00000033,Produto Aurora 033,1,75.21,43.62,2021-10-01,,true
AUR-00000034,Produto Aurora 034,2,76.58,46.71,2022-11-01,,true
AUR-00000035,Produto Aurora 035,3,77.95,49.88,2018-12-01,,true
AUR-00000036,Produto Aurora 036,4,79.32,53.14,2019-01-01,,true
AUR-00000037,Produto Aurora 037,5,80.69,56.48,2020-02-01,,true
AUR-00000038,Produto Aurora 038,6,82.06,28.72,2021-03-01,,true
AUR-00000039,Produto Aurora 039,7,83.43,31.70,2022-04-01,,true
AUR-00000040,Produto Aurora 040,8,84.80,34.76,2018-05-01,,true
AUR-00000041,Produto Aurora 041,1,86.17,37.91,2019-06-01,,true
AUR-00000042,Produto Aurora 042,2,87.54,41.14,2020-07-01,,true
AUR-00000043,Produto Aurora 043,3,88.91,44.45,2021-08-01,,true
AUR-00000044,Produto Aurora 044,4,90.28,47.84,2022-09-01,,true
AUR-00000045,Produto Aurora 045,5,91.65,51.32,2018-10-01,,true
AUR-00000046,Produto Aurora 046,6,93.02,54.88,2019-11-01,,true
AUR-00000047,Produto Aurora 047,7,94.39,58.52,2020-12-01,,true
AUR-00000048,Produto Aurora 048,8,95.76,62.24,2021-01-01,,true
AUR-00000049,Produto Aurora 049,1,97.13,66.04,2022-02-01,,true
AUR-00000050,Produto Aurora 050,2,98.50,69.93,2018-03-01,,true
AUR-00000051,Produto Aurora 051,3,99.87,35.95,2019-04-01,,true
AUR-00000052,Produto Aurora 052,4,101.24,39.48,2020-05-01,,true
AUR-00000053,Produto Aurora 053,5,102.61,43.09,2021-06-01,,true
AUR-00000054,Produto Aurora 054,6,103.98,46.79,2022-07-01,,true
AUR-00000055,Produto Aurora 055,7,105.35,50.56,2018-08-01,,true
AUR-00000056,Produto Aurora 056,8,106.72,54.42,2019-09-01,,true
AUR-00000057,Produto Aurora 057,1,108.09,58.36,2020-10-01,,true
AUR-00000058,Produto Aurora 058,2,109.46,62.39,2021-11-01,,true
AUR-00000059,Produto Aurora 059,3,110.83,66.49,2022-12-01,,true
AUR-00000060,Produto Aurora 060,4,112.20,70.68,2018-01-01,,true
AUR-00000061,Produto Aurora 061,5,113.57,74.95,2019-02-01,,true
AUR-00000062,Produto Aurora 062,6,114.94,79.30,2020-03-01,,true
AUR-00000063,Produto Aurora 063,7,116.31,83.74,2021-04-01,,true
AUR-00000064,Produto Aurora 064,8,117.68,43.54,2022-05-01,,true
AUR-00000065,Produto Aurora 065,1,119.05,47.62,2018-06-01,,true
AUR-00000066,Produto Aurora 066,2,120.42,51.78,2019-07-01,,true
AUR-00000067,Produto Aurora 067,3,121.79,56.02,2020-08-01,,true
AUR-00000068,Produto Aurora 068,4,123.16,60.34,2021-09-01,,true
AUR-00000069,Produto Aurora 069,5,124.53,64.75,2022-10-01,,true
AUR-00000070,Produto Aurora 070,6,125.90,69.24,2018-11-01,,true
AUR-00000071,Produto Aurora 071,7,127.27,73.81,2019-12-01,,true
AUR-00000072,Produto Aurora 072,8,128.64,78.47,2020-01-01,,true
AUR-00000073,Produto Aurora 073,1,130.01,83.20,2021-02-01,,true
AUR-00000074,Produto Aurora 074,2,131.38,88.02,2022-03-01,,true
AUR-00000075,Produto Aurora 075,3,132.75,92.92,2018-04-01,,true
AUR-00000076,Produto Aurora 076,4,134.12,46.94,2019-05-01,,true
AUR-00000077,Produto Aurora 077,5,135.49,51.48,2020-06-01,,true
AUR-00000078,Produto Aurora 078,6,136.86,56.11,2021-07-01,,true
AUR-00000079,Produto Aurora 079,7,138.23,60.82,2022-08-01,,true
AUR-00000080,Produto Aurora 080,8,139.60,65.61,2018-09-01,,true
AUR-00000081,Produto Aurora 081,1,140.97,70.48,2019-10-01,,true
AUR-00000082,Produto Aurora 082,2,142.34,75.44,2020-11-01,,true
AUR-00000083,Produto Aurora 083,3,143.71,80.47,2021-12-01,,true
AUR-00000084,Produto Aurora 084,4,145.08,85.59,2022-01-01,,true
AUR-00000085,Produto Aurora 085,5,146.45,90.79,2018-02-01,,true
AUR-00000086,Produto Aurora 086,6,147.82,96.08,2019-03-01,,true
AUR-00000087,Produto Aurora 087,7,149.19,101.44,2020-04-01,,true
AUR-00000088,Produto Aurora 088,8,150.56,106.89,2021-05-01,,true
AUR-00000089,Produto Aurora 089,1,151.93,54.69,2022-06-01,,true
AUR-00000090,Produto Aurora 090,2,153.30,59.78,2018-07-01,,true
AUR-00000091,Produto Aurora 091,3,154.67,64.96,2019-08-01,,true
AUR-00000092,Produto Aurora 092,4,156.04,70.21,2020-09-01,,true
AUR-00000093,Produto Aurora 093,5,157.41,75.55,2021-10-01,,true
AUR-00000094,Produto Aurora 094,6,158.78,80.97,2022-11-01,,true
AUR-00000095,Produto Aurora 095,7,160.15,86.48,2018-12-01,,true
AUR-00000096,Produto Aurora 096,8,161.52,92.06,2019-01-01,,true
AUR-00000097,Produto Aurora 097,1,162.89,97.73,2020-02-01,,true
AUR-00000098,Produto Aurora 098,2,164.26,103.48,2021-03-01,,true
AUR-00000099,Produto Aurora 099,3,165.63,109.31,2022-04-01,,true
AUR-00000100,Produto Aurora 100,4,167.00,115.23,2018-05-01,,true
AUR-00000101,Produto Aurora 101,5,168.37,121.22,2019-06-01,,true
AUR-00000102,Produto Aurora 102,6,169.74,62.80,2020-07-01,,true
AUR-00000103,Produto Aurora 103,7,171.11,68.44,2021-08-01,,true
AUR-00000104,Produto Aurora 104,8,172.48,74.16,2022-09-01,,true
AUR-00000105,Produto Aurora 105,1,173.85,79.97,2018-10-01,,true
AUR-00000106,Produto Aurora 106,2,175.22,85.85,2019-11-01,,true
AUR-00000107,Produto Aurora 107,3,176.59,91.82,2020-12-01,,true
AUR-00000108,Produto Aurora 108,4,177.96,97.87,2021-01-01,,true
AUR-00000109,Produto Aurora 109,5,179.33,104.01,2022-02-01,,true
AUR-00000110,Produto Aurora 110,6,180.70,110.22,2018-03-01,,true
AUR-00000111,Produto Aurora 111,7,182.07,116.52,2019-04-01,,true
AUR-00000112,Produto Aurora 112,8,183.44,122.90,2020-05-01,,true
AUR-00000113,Produto Aurora 113,1,184.81,129.36,2021-06-01,,true
AUR-00000114,Produto Aurora 114,2,186.18,65.16,2022-07-01,,true
AUR-00000115,Produto Aurora 115,3,187.55,71.26,2018-08-01,,true
AUR-00000116,Produto Aurora 116,4,188.92,77.45,2019-09-01,,true
AUR-00000117,Produto Aurora 117,5,30.29,13.32,2020-10-01,,true
AUR-00000118,Produto Aurora 118,6,31.66,14.88,2021-11-01,,true
AUR-00000119,Produto Aurora 119,7,33.03,16.51,2022-12-01,,true
AUR-00000120,Produto Aurora 120,8,34.40,18.23,2018-01-01,,true
