numero_pedido,data_pedido,cliente_id,canal_id,vendedor_id,status_logistico,status_devolucao,cidade_entrega,uf_entrega,valor_frete_cotado,data_faturamento,data_entrega,motivo_cancelamento
PED-2023-000016,2023-07-26T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000017,2023-08-15T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000018,2023-09-04T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000019,2023-10-21T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000020,2023-11-10T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000021,2023-11-27T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000022,2023-12-16T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000023,2023-01-05T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000024,2023-02-22T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000025,2023-03-11T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000026,2023-04-28T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000027,2023-05-17T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000028,2023-06-06T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000029,2023-07-23T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000030,2023-08-12T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000031,2023-09-01T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000032,2023-10-18T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000033,2023-11-07T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000034,2023-11-24T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000035,2023-12-13T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000036,2023-01-02T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000037,2023-02-19T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000038,2023-03-08T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000039,2023-04-25T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000040,2023-05-14T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000041,2023-06-03T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000042,2023-07-20T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000043,2023-08-09T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000044,2023-09-26T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000045,2023-10-15T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000046,2023-11-04T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000047,2023-11-21T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000048,2023-12-10T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000049,2023-01-27T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000050,2023-02-16T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000051,2023-03-05T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000052,2023-04-22T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000053,2023-05-11T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000054,2023-06-28T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000055,2023-07-17T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000056,2023-08-06T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000057,2023-09-23T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000058,2023-10-12T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000059,2023-11-01T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000060,2023-11-18T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000061,2023-12-07T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000062,2023-01-24T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000063,2023-02-13T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000064,2023-03-02T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000065,2023-04-19T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000066,2023-05-08T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000067,2023-06-25T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000068,2023-07-14T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000069,2023-08-03T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000070,2023-09-20T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000071,2023-10-09T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000072,2023-11-26T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000073,2023-11-15T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000074,2023-12-04T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000075,2023-01-21T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000076,2023-02-10T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000077,2023-03-27T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000078,2023-04-16T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000079,2023-05-05T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000080,2023-06-22T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000081,2023-07-11T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000082,2023-08-28T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000083,2023-09-17T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000084,2023-10-06T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000085,2023-11-23T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000086,2023-11-12T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000087,2023-12-01T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000088,2023-01-18T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000089,2023-02-07T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000090,2023-03-24T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000091,2023-04-13T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000092,2023-05-02T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000093,2023-06-19T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000094,2023-07-08T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000095,2023-08-25T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000096,2023-09-14T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000097,2023-10-03T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000098,2023-11-20T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000099,2023-11-09T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000100,2023-12-26T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000101,2023-01-15T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000102,2023-02-04T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000103,2023-03-21T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000104,2023-04-10T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000105,2023-05-27T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000106,2023-06-16T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000107,2023-07-05T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000108,2023-08-22T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000109,2023-09-11T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000110,2023-10-28T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000111,2023-11-17T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000112,2023-11-06T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000113,2023-12-23T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000114,2023-01-12T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000115,2023-02-01T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000116,2023-03-18T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000117,2023-04-07T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000118,2023-05-24T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000119,2023-06-13T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000120,2023-07-02T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000121,2023-08-19T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000122,2023-09-08T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000123,2023-10-25T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000124,2023-11-14T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000125,2023-11-03T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000126,2023-12-20T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000127,2023-01-09T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000128,2023-02-26T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000129,2023-03-15T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000130,2023-04-04T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000131,2023-05-21T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000132,2023-06-10T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000133,2023-07-27T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000134,2023-08-16T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000135,2023-09-05T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000136,2023-10-22T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000137,2023-11-11T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000138,2023-11-28T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000139,2023-12-17T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000140,2023-01-06T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000141,2023-02-23T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000142,2023-03-12T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000143,2023-04-01T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000144,2023-05-18T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000145,2023-06-07T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000146,2023-07-24T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000147,2023-08-13T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000148,2023-09-02T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000149,2023-10-19T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000150,2023-11-08T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000151,2023-11-25T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000152,2023-12-14T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000153,2023-01-03T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000154,2023-02-20T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000155,2023-03-09T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000156,2023-04-26T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000157,2023-05-15T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000158,2023-06-04T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000159,2023-07-21T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000160,2023-08-10T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000161,2023-09-27T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000162,2023-10-16T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000163,2023-11-05T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000164,2023-11-22T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000165,2023-12-11T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000166,2023-01-28T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000167,2023-02-17T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000168,2023-03-06T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000169,2023-04-23T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000170,2023-05-12T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000171,2023-06-01T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000172,2023-07-18T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000173,2023-08-07T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000174,2023-09-24T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000175,2023-10-13T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000176,2023-11-02T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000177,2023-11-19T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000178,2023-12-08T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000179,2023-01-25T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000180,2023-02-14T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000181,2023-03-03T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000182,2023-04-20T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000183,2023-05-09T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000184,2023-06-26T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000185,2023-07-15T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000186,2023-08-04T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000187,2023-09-21T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000188,2023-10-10T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000189,2023-11-27T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000190,2023-11-16T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000191,2023-12-05T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000192,2023-01-22T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000193,2023-02-11T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000194,2023-03-28T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
