pedido_id,numero_item,produto_id,quantidade,preco_unitario,desconto_unitario,custo_unitario
85,3,83,8,143.71,0.00,57.48
86,1,52,1,101.24,0.00,43.53
86,2,69,2,124.53,0.00,57.28
86,3,86,3,147.82,0.00,72.43
87,1,55,4,105.35,0.00,54.78
87,2,72,5,128.64,0.00,70.75
87,3,89,6,151.93,0.00,88.11
88,1,58,7,109.46,16.41,66.77
88,2,75,8,132.75,26.55,84.96
88,3,92,1,156.04,39.01,104.54
89,1,61,2,113.57,5.67,79.49
89,2,78,3,136.86,13.68,47.90
89,3,95,4,160.15,24.02,60.85
90,1,64,5,117.68,23.53,48.24
90,2,81,6,140.97,35.24,62.02
90,3,98,7,164.26,8.21,77.20
91,1,67,8,121.79,12.17,60.89
91,2,84,1,145.08,21.76,76.89
91,3,101,2,168.37,33.67,94.28
92,1,70,3,125.90,31.47,74.28
92,2,87,4,149.19,7.45,92.49
92,3,104,5,172.48,17.24,112.11
93,1,73,6,130.01,19.50,88.40
93,2,90,7,153.30,30.66,108.84
93,3,107,8,176.59,44.14,63.57
94,1,76,1,134.12,6.70,52.30
94,2,93,2,157.41,15.74,66.11
94,3,110,3,180.70,27.10,81.31
95,1,79,4,138.23,27.64,66.35
95,2,96,5,161.52,40.38,82.37
95,3,1,6,31.37,1.56,16.93
96,1,82,7,142.34,14.23,81.13
96,2,99,8,165.63,24.84,99.37
96,3,4,1,35.48,7.09,22.35
97,1,85,2,146.45,36.61,96.65
97,2,102,3,169.74,8.48,117.12
97,3,7,4,39.59,3.95,28.50
98,1,88,5,150.56,22.58,55.70
98,2,105,6,173.85,34.77,69.54
98,3,10,7,43.70,10.92,18.79
99,1,91,8,154.67,7.73,71.14
99,2,108,1,177.96,17.79,87.20
99,3,13,2,47.81,7.17,24.86
100,1,94,3,158.78,31.75,87.32
100,2,111,4,182.07,45.51,105.60
100,3,16,5,51.92,0.00,31.67
101,1,97,6,162.89,0.00,104.24
101,2,2,7,32.74,0.00,21.93
101,3,19,8,56.03,0.00,39.22
102,1,100,1,167.00,0.00,58.45
102,2,5,2,36.85,0.00,14.00
102,3,22,3,60.14,0.00,24.65
103,1,103,4,171.11,0.00,75.28
103,2,8,5,40.96,0.00,19.25
103,3,25,6,64.25,0.00,32.12
104,1,106,7,175.22,0.00,92.86
104,2,11,8,45.07,0.00,25.23
104,3,28,1,68.36,0.00,40.33
105,1,109,2,179.33,0.00,111.18
105,2,14,3,49.18,0.00,31.96
105,3,31,4,72.47,0.00,49.27
106,1,112,5,183.44,0.00,130.24
106,2,17,6,53.29,0.00,19.18
106,3,34,7,76.58,0.00,29.86
107,1,3,8,34.11,0.00,14.32
107,2,20,1,57.40,0.00,25.83
107,3,37,2,80.69,0.00,38.73
108,1,6,3,38.22,0.00,19.49
108,2,23,4,61.51,0.00,33.21
108,3,40,5,84.80,0.00,48.33
109,1,9,6,42.33,0.00,25.39
109,2,26,7,65.62,0.00,41.34
109,3,43,8,88.91,0.00,58.68
110,1,12,1,46.44,0.00,32.04
110,2,29,2,69.73,0.00,50.20
110,3,46,3,93.02,0.00,34.41
111,1,15,4,50.55,0.00,20.22
111,2,32,5,73.84,0.00,31.75
111,3,49,6,97.13,0.00,44.67
112,1,18,7,54.66,0.00,26.78
112,2,35,8,77.95,0.00,40.53
112,3,52,1,101.24,0.00,55.68
113,1,21,2,58.77,0.00,34.08
113,2,38,3,82.06,0.00,50.05
113,3,55,4,105.35,0.00,67.42
114,1,24,5,62.88,0.00,42.12
114,2,41,6,86.17,0.00,60.31
114,3,58,7,109.46,0.00,38.31
115,1,27,8,66.99,0.00,25.45
115,2,44,1,90.28,0.00,37.01
115,3,61,2,113.57,0.00,49.97
116,1,30,3,71.10,0.00,33.41
116,2,47,4,94.39,0.00,47.19
116,3,64,5,117.68,0.00,62.37
117,1,33,6,75.21,0.00,42.11
117,2,50,7,98.50,0.00,58.11
117,3,67,8,121.79,0.00,75.50
118,1,36,1,79.32,0.00,51.55
118,2,53,2,102.61,0.00,69.77
118,3,70,3,125.90,0.00,89.38
119,1,39,4,83.43,0.00,30.03
119,2,56,5,106.72,0.00,41.62
119,3,73,6,130.01,0.00,54.60
120,1,42,7,87.54,0.00,39.39
120,2,59,8,110.83,0.00,53.19
120,3,76,1,134.12,0.00,68.40
121,1,45,2,91.65,0.00,49.49
121,2,62,3,114.94,17.24,65.51
121,3,79,4,138.23,27.64,82.93
122,1,48,5,95.76,23.94,60.32
122,2,65,6,119.05,5.95,78.57
122,3,82,7,142.34,14.23,98.21
123,1,51,8,99.87,14.98,71.90
123,2,68,1,123.16,24.63,45.56
123,3,85,2,146.45,36.61,58.58
124,1,54,3,103.98,5.19,44.71
124,2,71,4,127.27,12.72,58.54
124,3,88,5,150.56,22.58,73.77
125,1,57,6,108.09,21.61,56.20
125,2,74,7,131.38,32.84,72.25
125,3,91,8,154.67,7.73,89.70
126,1,60,1,112.20,11.22,68.44
126,2,77,2,135.49,20.32,86.71
126,3,94,3,158.78,31.75,106.38
127,1,63,4,116.31,29.07,81.41
127,2,80,5,139.60,6.98,48.86
127,3,97,6,162.89,16.28,61.89
128,1,66,7,120.42,18.06,49.37
128,2,83,8,143.71,28.74,63.23
128,3,100,1,167.00,41.75,78.49
129,1,69,2,124.53,6.22,62.26
129,2,86,3,147.82,14.78,78.34
129,3,103,4,171.11,25.66,95.82
130,1,72,5,128.64,25.72,75.89
130,2,89,6,151.93,37.98,94.19
130,3,106,7,175.22,8.76,113.89
131,1,75,8,132.75,13.27,90.27
131,2,92,1,156.04,23.40,110.78
131,3,109,2,179.33,35.86,64.55
132,1,78,3,136.86,34.21,53.37
132,2,95,4,160.15,8.00,67.26
132,3,112,5,183.44,18.34,82.54
133,1,81,6,140.97,21.14,67.66
133,2,98,7,164.26,32.85,83.77
133,3,3,8,34.11,8.52,18.41
134,1,84,1,145.08,0.00,82.69
134,2,101,2,168.37,0.00,101.02
134,3,6,3,38.22,0.00,24.07
135,1,87,4,149.19,0.00,98.46
135,2,104,5,172.48,0.00,119.01
135,3,9,6,42.33,0.00,30.47
136,1,90,7,153.30,0.00,56.72
136,2,107,8,176.59,0.00,70.63
136,3,12,1,46.44,0.00,19.96
137,1,93,2,157.41,0.00,72.40
137,2,110,3,180.70,0.00,88.54
137,3,15,4,50.55,0.00,26.28
138,1,96,5,161.52,0.00,88.83
138,2,1,6,31.37,0.00,18.19
138,3,18,7,54.66,0.00,33.34
139,1,99,8,165.63,0.00,106.00
139,2,4,1,35.48,0.00,23.77
139,3,21,2,58.77,0.00,41.13
140,1,102,3,169.74,0.00,59.40
140,2,7,4,39.59,0.00,15.04
140,3,24,5,62.88,0.00,25.78
141,1,105,6,173.85,0.00,76.49
141,2,10,7,43.70,0.00,20.53
141,3,27,8,66.99,0.00,33.49
142,1,108,1,177.96,0.00,94.31
142,2,13,2,47.81,0.00,26.77
142,3,30,3,71.10,0.00,41.94
143,1,111,4,182.07,0.00,112.88
143,2,16,5,51.92,0.00,33.74
143,3,33,6,75.21,0.00,51.14
144,1,2,7,32.74,0.00,23.24
144,2,19,8,56.03,0.00,20.17
144,3,36,1,79.32,0.00,30.93
145,1,5,2,36.85,0.00,15.47
145,2,22,3,60.14,0.00,27.06
145,3,39,4,83.43,0.00,40.04
146,1,8,5,40.96,0.00,20.88
146,2,25,6,64.25,0.00,34.69
146,3,42,7,87.54,0.00,49.89
147,1,11,8,45.07,0.00,27.04
147,2,28,1,68.36,0.00,43.06
147,3,45,2,91.65,0.00,60.48
148,1,14,3,49.18,0.00,33.93
148,2,31,4,72.47,0.00,52.17
148,3,48,5,95.76,0.00,35.43
149,1,17,6,53.29,0.00,21.31
149,2,34,7,76.58,0.00,32.92
149,3,51,8,99.87,0.00,45.94
150,1,20,1,57.40,0.00,28.12
150,2,37,2,80.69,0.00,41.95
150,3,54,3,103.98,0.00,57.18
151,1,23,4,61.51,0.00,35.67
151,2,40,5,84.80,0.00,51.72
151,3,57,6,108.09,0.00,69.17
152,1,26,7,65.62,0.00,43.96
152,2,43,8,88.91,0.00,62.23
152,3,60,1,112.20,0.00,39.27
153,1,29,2,69.73,0.00,26.49
153,2,46,3,93.02,0.00,38.13
153,3,63,4,116.31,0.00,51.17
154,1,32,5,73.84,0.00,34.70
154,2,49,6,97.13,0.00,48.56
154,3,66,7,120.42,18.06,63.82
155,1,35,8,77.95,15.59,43.65
155,2,52,1,101.24,25.31,59.73
155,3,69,2,124.53,6.22,77.20
156,1,38,3,82.06,8.20,53.33
156,2,55,4,105.35,15.80,71.63
156,3,72,5,128.64,25.72,91.33
157,1,41,6,86.17,21.54,31.02
157,2,58,7,109.46,5.47,42.68
157,3,75,8,132.75,13.27,55.75
158,1,44,1,90.28,13.54,40.62
158,2,61,2,113.57,22.71,54.51
158,3,78,3,136.86,34.21,69.79
159,1,47,4,94.39,4.71,50.97
159,2,64,5,117.68,11.76,67.07
159,3,81,6,140.97,21.14,84.58
160,1,50,7,98.50,19.70,62.05
160,2,67,8,121.79,30.44,80.38
160,3,84,1,145.08,7.25,100.10
161,1,53,2,102.61,10.26,73.87
161,2,70,3,125.90,18.88,46.58
161,3,87,4,149.19,29.83,59.67
162,1,56,5,106.72,26.68,45.88
162,2,73,6,130.01,6.50,59.80
162,3,90,7,153.30,15.33,75.11
163,1,59,8,110.83,16.62,57.63
163,2,76,1,134.12,26.82,73.76
163,3,93,2,157.41,39.35,91.29
164,1,62,3,114.94,5.74,70.11
164,2,79,4,138.23,13.82,88.46
164,3,96,5,161.52,24.22,108.21
165,1,65,6,119.05,23.81,83.33
165,2,82,7,142.34,35.58,49.81
165,3,99,8,165.63,8.28,62.93
166,1,68,1,123.16,12.31,50.49
166,2,85,2,146.45,21.96,64.43
166,3,102,3,169.74,33.94,79.77
167,1,71,4,127.27,31.81,63.63
167,2,88,5,150.56,0.00,79.79
167,3,105,6,173.85,0.00,97.35
168,1,74,7,131.38,0.00,77.51
168,2,91,8,154.67,0.00,95.89
168,3,108,1,177.96,0.00,115.67
169,1,77,2,135.49,0.00,92.13
169,2,94,3,158.78,0.00,112.73
169,3,111,4,182.07,0.00,65.54
170,1,80,5,139.60,0.00,54.44
170,2,97,6,162.89,0.00,68.41
170,3,2,7,32.74,0.00,14.73
171,1,83,8,143.71,0.00,68.98
171,2,100,1,167.00,0.00,85.17
171,3,5,2,36.85,0.00,19.89
172,1,86,3,147.82,0.00,84.25
172,2,103,4,171.11,0.00,102.66
172,3,8,5,40.96,0.00,25.80
173,1,89,6,151.93,0.00,100.27
173,2,106,7,175.22,0.00,120.90
173,3,11,8,45.07,0.00,32.45
174,1,92,1,156.04,0.00,57.73
174,2,109,2,179.33,0.00,71.73
174,3,14,3,49.18,0.00,21.14
175,1,95,4,160.15,0.00,73.66
175,2,112,5,183.44,0.00,89.88
175,3,17,6,53.29,0.00,27.71
176,1,98,7,164.26,0.00,90.34
176,2,3,8,34.11,0.00,19.78
176,3,20,1,57.40,0.00,35.01
177,1,101,2,168.37,0.00,107.75
177,2,6,3,38.22,0.00,25.60
177,3,23,4,61.51,0.00,43.05
178,1,104,5,172.48,0.00,60.36
178,2,9,6,42.33,0.00,16.08
178,3,26,7,65.62,0.00,26.90
179,1,107,8,176.59,0.00,77.69
179,2,12,1,46.44,0.00,21.82
179,3,29,2,69.73,0.00,34.86
180,1,110,3,180.70,0.00,95.77
180,2,15,4,50.55,0.00,28.30
180,3,32,5,73.84,0.00,43.56
181,1,1,6,31.37,0.00,19.44
181,2,18,7,54.66,0.00,35.52
181,3,35,8,77.95,0.00,53.00
182,1,4,1,35.48,0.00,25.19
182,2,21,2,58.77,0.00,21.15
182,3,38,3,82.06,0.00,32.00
183,1,7,4,39.59,0.00,16.62
183,2,24,5,62.88,0.00,28.29
183,3,41,6,86.17,0.00,41.36
184,1,10,7,43.70,0.00,22.28
184,2,27,8,66.99,0.00,36.17
184,3,44,1,90.28,0.00,51.45
185,1,13,2,47.81,0.00,28.68
185,2,30,3,71.10,0.00,44.79
185,3,47,4,94.39,0.00,62.29
186,1,16,5,51.92,0.00,35.82
186,2,33,6,75.21,0.00,54.15
186,3,50,7,98.50,0.00,36.44
187,1,19,8,56.03,0.00,22.41
187,2,36,1,79.32,0.00,34.10
187,3,53,2,102.61,0.00,47.20
188,1,22,3,60.14,9.02,29.46
188,2,39,4,83.43,16.68,43.38
188,3,56,5,106.72,26.68,58.69
189,1,25,6,64.25,3.21,37.26
189,2,42,7,87.54,8.75,53.39
189,3,59,8,110.83,16.62,70.93
190,1,28,1,68.36,13.67,45.80
190,2,45,2,91.65,22.91,64.15
190,3,62,3,114.94,5.74,40.22
191,1,31,4,72.47,7.24,27.53
191,2,48,5,95.76,14.36,39.26
191,3,65,6,119.05,23.81,52.38
192,1,34,7,76.58,19.14,35.99
192,2,51,8,99.87,4.99,49.93
192,3,68,1,123.16,12.31,65.27
193,1,37,2,80.69,12.10,45.18
193,2,54,3,103.98,20.79,61.34
193,3,71,4,127.27,31.81,78.90
194,1,40,5,84.80,4.24,55.12
194,2,57,6,108.09,10.80,73.50
194,3,74,7,131.38,19.70,93.27
195,1,43,8,88.91,17.78,32.00
195,2,60,1,112.20,28.05,43.75
195,3,77,2,135.49,6.77,56.90
196,1,46,3,93.02,9.30,41.85
196,2,63,4,116.31,17.44,55.82
196,3,80,5,139.60,27.92,71.19
197,1,49,6,97.13,24.28,52.45
197,2,66,7,120.42,6.02,68.63
197,3,83,8,143.71,14.37,86.22
198,1,52,1,101.24,15.18,63.78
198,2,69,2,124.53,24.90,82.18
198,3,86,3,147.82,36.95,101.99
199,1,55,4,105.35,5.26,75.85
199,2,72,5,128.64,12.86,47.59
199,3,89,6,151.93,22.78,60.77
200,1,58,7,109.46,21.89,47.06
200,2,75,8,132.75,33.18,61.06
200,3,92,1,156.04,0.00,76.45
201,1,61,2,113.57,0.00,59.05
201,2,78,3,136.86,0.00,75.27
201,3,95,4,160.15,0.00,92.88
202,1,64,5,117.68,0.00,71.78
202,2,81,6,140.97,0.00,90.22
202,3,98,7,164.26,0.00,110.05
203,1,67,8,121.79,0.00,85.25
203,2,84,1,145.08,0.00,50.77
203,3,101,2,168.37,0.00,63.98
204,1,70,3,125.90,0.00,51.61
204,2,87,4,149.19,0.00,65.64
204,3,104,5,172.48,0.00,81.06
205,1,73,6,130.01,0.00,65.00
205,2,90,7,153.30,0.00,81.24
205,3,107,8,176.59,0.00,98.89
206,1,76,1,134.12,0.00,79.13
206,2,93,2,157.41,0.00,97.59
206,3,110,3,180.70,0.00,117.45
207,1,79,4,138.23,0.00,93.99
207,2,96,5,161.52,0.00,114.67
207,3,1,6,31.37,0.00,11.29
208,1,82,7,142.34,0.00,55.51
208,2,99,8,165.63,0.00,69.56
208,3,4,1,35.48,0.00,15.96
209,1,85,2,146.45,0.00,70.29
209,2,102,3,169.74,0.00,86.56
209,3,7,4,39.59,0.00,21.37
210,1,88,5,150.56,0.00,85.81
210,2,105,6,173.85,0.00,104.31
210,3,10,7,43.70,0.00,27.53
211,1,91,8,154.67,0.00,102.08
211,2,108,1,177.96,0.00,122.79
211,3,13,2,47.81,0.00,34.42
212,1,94,3,158.78,0.00,58.74
212,2,111,4,182.07,0.00,72.82
212,3,16,5,51.92,0.00,22.32
213,1,97,6,162.89,0.00,74.92
213,2,2,7,32.74,0.00,16.04
213,3,19,8,56.03,0.00,29.13
214,1,100,1,167.00,0.00,91.85
214,2,5,2,36.85,0.00,21.37
214,3,22,3,60.14,0.00,36.68
215,1,103,4,171.11,0.00,109.51
215,2,8,5,40.96,0.00,27.44
215,3,25,6,64.25,0.00,44.97
216,1,106,7,175.22,0.00,61.32
216,2,11,8,45.07,0.00,17.12
216,3,28,1,68.36,0.00,28.02
217,1,109,2,179.33,0.00,78.90
217,2,14,3,49.18,0.00,23.11
217,3,31,4,72.47,0.00,36.23
218,1,112,5,183.44,0.00,97.22
218,2,17,6,53.29,0.00,29.84
218,3,34,7,76.58,0.00,45.18
219,1,3,8,34.11,0.00,21.14
219,2,20,1,57.40,0.00,37.31
219,3,37,2,80.69,0.00,54.86
220,1,6,3,38.22,0.00,27.13
220,2,23,4,61.51,0.00,22.14
220,3,40,5,84.80,0.00,33.07
221,1,9,6,42.33,0.00,17.77
221,2,26,7,65.62,9.84,29.52
221,3,43,8,88.91,17.78,42.67
222,1,12,1,46.44,11.61,23.68
222,2,29,2,69.73,3.48,37.65
222,3,46,3,93.02,9.30,53.02
223,1,15,4,50.55,7.58,30.33
223,2,32,5,73.84,14.76,46.51
223,3,49,6,97.13,24.28,64.10
224,1,18,7,54.66,2.73,37.71
224,2,35,8,77.95,7.79,56.12
224,3,52,1,101.24,15.18,37.45
225,1,21,2,58.77,11.75,23.50
225,2,38,3,82.06,20.51,35.28
225,3,55,4,105.35,5.26,48.46
226,1,24,5,62.88,6.28,30.81
226,2,41,6,86.17,12.92,44.80
226,3,58,7,109.46,21.89,60.20
227,1,27,8,66.99,16.74,38.85
227,2,44,1,90.28,4.51,55.07
227,3,61,2,113.57,11.35,72.68
228,1,30,3,71.10,10.66,47.63
228,2,47,4,94.39,18.87,66.07
228,3,64,5,117.68,29.42,41.18
229,1,33,6,75.21,3.76,28.57
229,2,50,7,98.50,9.85,40.38
229,3,67,8,121.79,18.26,53.58
230,1,36,1,79.32,15.86,37.28
230,2,53,2,102.61,25.65,51.30
230,3,70,3,125.90,6.29,66.72
231,1,39,4,83.43,8.34,46.72
231,2,56,5,106.72,16.00,62.96
231,3,73,6,130.01,26.00,80.60
232,1,42,7,87.54,21.88,56.90
232,2,59,8,110.83,5.54,75.36
